签到类型/1七天 2每周 3国庆活动,天数/周几,日语,日语
SignInType,WhatDay,RewardName,RewardTips
1,1,晴雨花火,倉庫に格納済み
1,2,金庫,倉庫に格納済み
1,3,スターギフト,倉庫に格納済み
1,4,小さなスター花火,倉庫に格納済み
1,5,晴雨花火,倉庫に格納済み
1,6,スターギフト,倉庫に格納済み
1,7,大きなギフトパック,倉庫に格納済み
2,1,玉子福袋,倉庫に格納済み
2,2,スキンパッケージ,倉庫に格納済み
2,3,スターギフト,倉庫に格納済み
2,4,スキンパッケージ,倉庫に格納済み
2,5,スターギフト,倉庫に格納済み
2,6,ミニビーン,アカウントに追加済み
2,7,ミニビーン,アカウントに追加済み
3,1,スターギフト,倉庫に格納済み
3,2,ミニビーンの袋,倉庫に格納済み
3,3,伝送巻物,倉庫に格納済み
3,4,ミニビーンの袋,倉庫に格納済み
3,5,小さなスター花火,倉庫に格納済み
3,6,ミニビーンの袋,倉庫に格納済み
3,7,ミニマント,倉庫に格納済み
3,8,ミニビーンの袋,倉庫に格納済み
3,9,ミニビーンの袋,倉庫に格納済み
3,10,ミニビーンの袋,倉庫に格納済み
3,11,ミニビーンの袋,倉庫に格納済み
3,12,ドレスアップカード,倉庫に格納済み
3,13,ミニビーンの袋,倉庫に格納済み
3,14,ミニビーンの袋,倉庫に格納済み
3,15,ミニビーンの袋,倉庫に格納済み
3,16,ミニビーンの袋,倉庫に格納済み
3,17,ミニビーンの袋,倉庫に格納済み
3,18,ミニビーンの袋,倉庫に格納済み
3,19,ミニビーンの袋,倉庫に格納済み
3,20,ベレー帽,倉庫に格納済み
