ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,空気,君には見えないよ,@Null@
1,地心の礎石,最深部の地心はとても堅く、動かせない。,
2,スキルブロック,不思議なブロック。威力は不明,@Null@
3,静態水,静止している水ブロック,@Null@
4,ダイナミック水,流れる水,
5,静態マグマ,静止しているマグマブロック。熱いから気をつけて！,
6,ダイナミックマグマ,流れるマグマブロック。熱いから気をつけて。ヤケドするよ！,
7,転送光効果,魔法のブロックみたい,@Null@
8,彫刻のレンガ,レリーフで覆われ、固められた建築用ブロック,
9,加速度動くブロック,このブロックを通る人には、言いようのない突き上げがかかる,
10,スターエナジーブロック,放置されていると、連続して#c0aba1dスターエナジー信号#nを出力することができる。,
11,静態蜂蜜,静止している蜂蜜,@Null@
12,ダイナミック蜂蜜,流れる蜂蜜,
13,静的流砂,細かい砂の「川」、危険です!,
14,ダイナミック流砂,細かい砂の「川」、危険!,
15,呪いの岩,異臭を放つ岩、流砂に触れるとどうなるか？ 掘れば流血の呪いを受け取る！,地下遺跡の外壁にて
16,呪いの岩-アクティベート,異臭を放つ岩、流砂に触れるとどうなるか？ 掘れば流血の呪いを受け取る！,地下遺跡の外壁にて
17,静態猛毒,危険な臭いをする液体、近づかないでください。,
18,ダイナミック猛毒,危険な臭いをする液体、近づかないでください。,
19,風蝕岩,強風に浸食された後の砂漠の岩石、弱い。,
20,エイリアン空気,最新版をダウンロードしに行こう!,
21,@Null@,@Null@,@Null@
22,@Null@,@Null@,@Null@
23,深い積層の岩石,深海で何万年もしごかれてできたカスケード構造には、深海の藻類が必要とするあらゆる栄養素が含まれており、蛍光スティック藻や紅藻の育成に最適です,深層積岩石の破壊により得られる
24,マンガンノジュール鉱,深海の高圧に対抗するため、#c0aba1dダイビング器材の強化や硬質ガラスブロックの製造#nに使用される。,マンガン金属は、深層積岩石で常に合体しているため、深海ではわずかにしか生成されない。破壊することで落下するマンガンノジュール
25,サンゴ礁,サンゴの成長に最適で、サンゴが成熟するとサンゴ礁の色が変化する,
26,ドリフトボトル,海や川の生態系に利用される#c0aba1d力を蓄える#n投げ出すと流れは遠くまであなたの願いを運ぶ、おそらくいつか遠くで発見することができるだろう,ガラスの小瓶ブロックに革の巻物を入れて入手。
27,遠方からのドリフトボトル,漂流瓶に封印されたメモには、大切なメッセージや心からの願いが込められていることが多く、もちろん誰かがある時に考えていたことかもしれないし、山や海を越え、時を越えて旅してきたようにも見える...ボトルを地面に置き、メモを取り出して読んでみると...,釣りや海の探索で入手できるチャンスがある。
28,ガラス小瓶（ブロック）,それを並べ、文字を書いたレザーの巻物を置く。,
29,黄砂,水辺や砂漠に多く、素早く採取できるスコップ状の道具で、珪砂の焼成によく使われる珪砂の加工原料になる,#c0aba1d水辺#nや#c0aba1d砂漠地域によく見られる#n
30,@Null@,@Null@,@Null@
31,堅い氷柱,非常に#c0aba1d堅い#n氷柱、周りにいる時はヘルメットを着用してね,
32,脆い氷柱,#c0aba1d落ちやすい#n氷柱、周りにいる時はヘルメットを着用してね,
33,平凡な晶核鉱,@item_11013#以上のアイテムで採掘する必要がある,レアな鉱石、氷原の#c0aba1d雪山洞窟#n及び雨林の#c0aba1d地下#nで出現する可能性がある
34,霜火石鉱,寒気を感じさせる鉱石、@item_11011#以上のアイテムで採掘する必要がある。#c0aba1d周りの温度を下げる#n,レアな鉱石、氷原の#c0aba1d雪山洞窟#nで出現する可能性がある
35,霜火石のブロック,大量の@item_11824#を使って合成する、冷たい光を放つブロック。#c0aba1d周りの温度を大幅に下げる#n,
36,洞窟の入口で更新,,
37,洞窟の通路で更新,,
38,大洞窟で更新,,
39,小洞窟で更新,,
40,ボイドクリスタルブロック,ボイドクリスタルで合成されたブロック、周囲を照らせる。@item_596#の下に置くと、ナイト・オブ・ボイドの夜明けに最も強力なモンスターが襲ってくる。慎重に使ってください！,
100,草の生えた土ブロック,地表に出現するブロック、シャベルタイプのツールですばやく採取できる。#c0aba1dレーキタイプのツールを使えば@item_102#にすることができ、シャベルタイプのツールを使えば@item_103#にすることができる,@item_101#に@item_11226#を使えば獲得できる
101,土ブロック,どこにでも見られるブロック。シャベルなどの工具ですばやく採取できる。#c0aba1dクワなどの工具を使えば畑にできる。石のシャベルやさらに上級のシャベルなどの工具を使えば土ピットにできる。,地表の下ですぐに手に入る
102,畑,農作物を植えることができる。水分を保つため、水のそばに作る必要がある,
103,土ピット,花の種や木の苗を植えることができる。水分を保つため、水のそばに作る必要がある,
104,岩石,どこにでも見られるブロック。ツルハシなどの工具ですばやく採取できる。,
105,青い石,苔の生えた石ブロック。ツルハシなどの工具ですばやく採取できる。,
106,黄色い砂ブロック,水辺や砂漠エリアでよく見られるブロック。シャベルなどの工具ですばやく採取できる。珪砂の加工原料。#r重力の影響で落ちることがある。,水辺や砂漠地域によく見られる
107,砕石の山,崩れやすい砕石の山。シャベルなどの工具ですばやく採取できる。#r下が空の時は、上に乗ると崩れる。,
108,黄色い砂レンガ,砂ブロックを合成した建築素材。,
109,砂土,養分の乏しい土ブロック。植物は育たない。シャベルなどの工具ですばやく採取できる。,
110,散乱した石,表面にはキューブが散らばっていて、掘ると尖った石が出てくるので、それを使って石ころのような道具を作ることができる。,
111,ゲームのバージョンが古すぎます,今すぐ最新バージョンをダウンロードしましょう！,@Null@
112,黒晶石,虚空ファントムの影響で地質構造が大きく変わってしまい、もはや鉱石は存在しない。,
113,薄氷,水面に浮かぶ脆い氷は、天と地の間にある星のように割れて散っていく,
114,沈泥,水中で見られる土ブロック。シャベルなどの工具ですばやく採取できる。,
115,柔らかい雪,1/4マスの高さを持つ柔らかい雪の薄板、重ねて高さを変えることができる,
116,萌目プラネット石ブロック,萌目プラネットの特殊石ブロック。爆発に耐える力が強い。採取には#c0aba1dミスリルのツルハシ#nやさらに上級ツルハシなどの工具が必要。,
117,萌目プラネット草ブロック,植物の成長に必要な栄養素を含んだ外来星の草です。 獲得には #c0aba1dミスリルのツルハシ#nやさらに上級ツルハシなどの工具が必要。,
118,萌目プラネット雲団,萌目プラネット空島周辺の雲ブロック。乗ると壊れてしまう。,
119,乾土,萌目プラネットに着いたら、養分が流失してしまったミラプラネットの土ブロック。ミラプラネットの土は、プラネット植物の培地に置いた場合のみ養分と水分を保持できる。,
120,凍土,低温環境で、@item_100#と@item_101#は@item_120#になる。寒い環境が好きな植物はこの土に植える必要がある。,
121,凍土坑,寒い環境が好きな花の種や苗木を植えることができる,
122,厚く積もった雪,厚く積もった雪、高熱の#c0aba1dマグマ#nと接触する、または高温環境に置かれると水になり、#c0aba1d周りの温度を少しだけ下げる#n,
123,天然氷,寒冷氷雪地帯でよく見られるブロック、ツルハシタイプのツールですばやく採取できる。#c0aba1d高温環境#nに置かれると水になり、#c0aba1d周りの温度を少しだけ下げる#n,
124,硫黄岩,炎星によくある岩石で、製錬台@item_11214#を焼くことができ、つるはし型の道具ですぐに採掘できる。,
125,灼砂,熱気を放つ砂ブロック。シャベルなどの工具ですばやく採取できる。,
126,魔古岩,未知の土地の石。爆発させても壊れにくい。,商人が時々販売している。
127,バブルブロック,装飾に使うブロック。,
128,赤砂,鉱物元素を豊富に含む珍しい赤砂の山で、めたんと混ざると非常に不安定になる。,赤土ライトやサンゴ礁の島で時折見かける
129,厚く積もった雪,,
130,大きな雪キューブ,一緒に雪だるまを作る？それとも雪合戦する？,@Null@
131,堅い氷,とても堅い氷。何ものにも揺るがない,@Null@
132,硫黄砂,炎プラネットのマグマの中に出現する。#c0aba1dタングステンのシャベル#nでのみ採取可能。カオスの結晶を作る材料の1つ。液体に遮られると噴出する。,#c0aba1dゲーム内の行為を決してマネしないでください。#n
133,空のハチの巣,蜂の入っていないハチの巣は、#c0aba1d桃の木の葉#nの下に置くと蜂蜜がためられる。,
134,満杯のハチの巣,ハチミツでいっぱいの巣箱、ミツバチに気をつけよう その上にある小さなガラス瓶を使って、ハチミツの瓶を手に入れます,
135,神秘トーテム-大地,古代文明の重要な石像、今は飾りにしかなっていない,萌目プラネット古代文明遺跡で収集。
136,神秘トーテム-天空,古代文明の重要な石像、今は飾りにしかなっていない,萌目プラネット古代文明遺跡で収集。
137,萌目プラネット穴,@Null@,@Null@
138,汚染ブロック,@Null@,@Null@
139,ボス戦使用ブロック,@Null@,@Null@
140,生命の石シート,「古者」の文明が残した石座が、ミラプラネットの生命の力をつなぐ,@Null@
141,勇気の石シート,「古者」の文明が残した石座が、炎プラネットの勇気の力をつなぐ。,@Null@
142,知恵の石シート,「古者」の文明が残した石座が、萌え目プラネットの知恵の力をつなぐ。,@Null@
143,壊れた石の台座,原型をとどめないほど掘り出された古代石の台座,@Null@
144,レッドバタフライガラス瓶,置くと、周囲の小さなエリアを照らすことができる。,空島地形で、小さなガラス瓶で蝶々を捕まえて獲得。
145,ブルーバタフライガラス瓶,置くと、周囲の小さなエリアを照らすことができる。,空島地形で、小さなガラス瓶で蝶々を捕まえて獲得。
146,ピンクバタフライガラス瓶,置くと、周囲の小さなエリアを照らすことができる。,空島地形で、小さなガラス瓶で蝶々を捕まえて獲得。
147,白いバタフライガラス瓶,置くと、周囲の小さなエリアを照らすことができる。,空島地形で、小さなガラス瓶で蝶々を捕まえて獲得。
148,ドラゴンレターガラス瓶,置くと、周囲の小さなエリアを照らすことができる。,空島地形で、小さなガラス瓶で蝶々を捕まえて獲得。
149,トングクロックガラス瓶,置くと、周囲の小さなエリアを照らすことができる。,空島地形で、小さなガラス瓶で蝶々を捕まえて獲得。
150,赤土の畑,水辺での灌水やシャワーによる保湿が必要な特殊な作物にも対応できるような植栽が可能,クワで赤土を埋め立てることで入手可能
151,赤土のピット,水辺での灌水やシャワーによる保湿が必要な特殊な作物にも対応できるような植栽が可能,スパチュラで赤土を埋め立てることで入手可能
152,プラネット岩石縦薄型板,軽くて縦長の石板は、積み重ねて厚さを変えることができる,職人台で萌え目プラネット石ブロックで加工する
153,竹縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台で竹で加工する
154,赤い縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台でルージュ色の顔料で加工する
155,セメントレンガ縦薄型板,軽くて縦長の石板は、積み重ねて厚さを変えることができる,職人台でセメントレンガで加工する
156,硫黄レンガ縦薄型,軽くて縦長の石板は、積み重ねて厚さを変えることができる,職人台で硫黄レンガで加工する
157,石製縦薄型板,軽くて縦長の石板は、積み重ねて厚さを変えることができる,職人台で石で加工する
158,精製石レンガ縦薄型板,軽くて縦長の石板は、積み重ねて厚さを変えることができる,職人台で岩石で加工する
159,チタン縦薄型板,軽くて縦長の金属板は、積み重ねて厚さを変えることができる,職人台でチタンで加工する
160,銅製縦薄型板,軽くて縦長の金属板は、積み重ねて厚さを変えることができる,職人台で銅で加工する
161,雲母縦薄型板,軽くて縦長の金属板は、積み重ねて厚さを変えることができる,職人台で雲母で加工する
162,ミスリル縦薄型板,軽くて縦長の金属板は、積み重ねて厚さを変えることができる,職人台にミスリルで作る
163,炎縦薄型板,軽くて縦長の金属板は、積み重ねて厚さを変えることができる,職人台に炎で作る
164,レモンイエロー縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台にレモンイエロー顔料で作る
165,淡い石灰縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台に淡い石灰顔料で作る
166,深い栗色縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台に深い栗色顔料で作る
167,サンセットオレンジ縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台にサンセットオレンジ顔料で作る
168,ベゴニア縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台にベゴニア顔料で作る
169,薄白い縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台に薄白い顔料で作る
170,オータムリーフオレンジ縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台にオータムリーフオレンジ顔料で作る
171,縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台に木の材料で作る
172,黄色いレンガ縦薄型板,軽くて縦長の石板は、積み重ねて厚さを変えることができる,職人台に黄色いレンガで作る
173,マンガンブロック縦薄型板,軽くて縦長の金属板は、積み重ねて厚さを変えることができる,職人台にマンガンノジュールで作る
174,ライトペールグレー縦薄型板,軽くて縦長の木板は、積み重ねて厚さを変えることができる,職人台にライトペールグレー顔料で作る
200,チェリーウッド,さくらんぼの幹は、@item_800#で@item_11323#に加工でき、装飾にも燃料にも使える,斧類の道具に#c0aba1dをはめ込んで完全に#nルーンを獲得した後、伐採して獲得した
201,カラマツ,カラマツの幹は、@item_800#で@item_11323#に加工でき、装飾にも燃料にも使える,斧類の道具に#c0aba1dをはめ込んで完全に#nルーンを獲得した後、伐採して獲得した
202,ポプラの木,ポプラの幹は、@item_800#で@item_11323#に加工でき、装飾にも燃料にも使える,斧類の道具に#c0aba1dをはめ込んで完全に#nルーンを獲得した後、伐採して獲得した
203,レッドモミ,セコイアの幹は、@item_800#で@item_11323#に加工でき、装飾にも燃料にも使える,斧類の道具に#c0aba1dをはめ込んで完全に#nルーンを獲得した後、伐採して獲得した
204,くすのき,楠木の幹は、@item_800#で@item_11323#に加工でき、装飾にも燃料にも使える,斧類の道具に#c0aba1dをはめ込んで完全に#nルーンを獲得した後、伐採して獲得した
205,クルミの木,クルミの幹は、@item_800#で@item_11323#に加工でき、装飾にも燃料にも使える,斧類の道具に#c0aba1dをはめ込んで完全に#nルーンを獲得した後、伐採して獲得した
206,板,木造建築に多用される基本的な建築材料。,職人台に木の材料で作る
207,オータムリーフオレンジの板,木造建築に多用される基本的な建築材料。,職人台にオータムリーフオレンジ顔料で作る
208,薄白い板,木造建築に多用される基本的な建築材料。,職人台に薄白い顔料で作る
209,ベゴニアの板,木造建築に多用される基本的な建築材料。,職人台にベゴニア顔料で作る
210,サンセットオレンジの板,木造建築に多用される基本的な建築材料。,職人台にサンセットオレンジ顔料で作る
211,深い栗色の板,木造建築に多用される基本的な建築材料。,職人台に深い栗色顔料で作る
212,チェリーの苗木,燃料として使用可能だが、非常に早く燃焼してしまう,
213,カラマツの苗木,燃料として使用可能だが、非常に早く燃焼してしまう,
214,ポプラの苗木,燃料として使用可能だが、非常に早く燃焼してしまう,
215,セコイアの苗木,燃料として使用可能だが、非常に早く燃焼してしまう,
216,クスノキの苗木,燃料として使用可能だが、非常に早く燃焼してしまう,
217,クルミの苗木,燃料として使用可能だが、非常に早く燃焼してしまう,
218,チェリーの木の葉,@item_1200#の燃料や酸素製造の原料として使える。#c0aba1d雪だるまの頭飾り#nにもなれる,
219,カラマツの葉,@item_1200#の燃料や酸素製造の原料として使える。#c0aba1d雪だるまの頭飾り#nにもなれる,
220,アスペンの葉,@item_1200#の燃料や酸素製造の原料として使える。#c0aba1d雪だるまの頭飾り#nにもなれる,
221,セコイアの葉,@item_1200#の燃料や酸素製造の原料として使える。#c0aba1d雪だるまの頭飾り#nにもなれる,
222,ヘザーの葉,@item_1200#の燃料や酸素製造の原料として使える。#c0aba1d雪だるまの頭飾り#nにもなれる,
223,クルミの葉,@item_1200#の燃料や酸素製造の原料として使える。#c0aba1d雪だるまの頭飾り#nにもなれる,
224,グラス,#c0aba1d破壊した#n後#c0aba1d雑草一握り#nを手に入れる可能性がある。,空は青白く、荒野は広大で、風が草を吹き、羊が見える
225,枯れたグラス,枯れ草を刈るには#c0aba1dスペード#nタイプの道具を使い、それ以外は#c0aba1d雑草一握り#nを刈る。,平の草は年々生え枯れてゆく
226,土筍,薄暗い場所に生えている植物、料理の素材。直接に食べると#c0aba1dスタミナを回復できる#nけど、#c0aba1d下痢#nになる可能性がある。萌目プラネットの空島の#c0aba1d萌目プラネット胞子樹#nとは不思議な反応ができるらしい。,
227,シソ,薄暗い場所に生えている植物、料理の素材。直接に食べると#c0aba1dスタミナを回復できる#nけど、#c0aba1d下痢#nになる可能性がある。萌目プラネットの空島の#c0aba1d萌目プラネット胞子樹#nとは不思議な反応ができるらしい。,
228,独葵,#c0aba1dツノジカに食べさせる#nと#c0aba1d泌乳#n状態に入る,#c0aba1d雨林#nに生えている
229,トウモロコシ,@item_344#に加工できる。@item_344#は料理の基礎的な素材である。@item_1200#で焼ける,@item_11400#を@item_102#に植え、または野性のトウモロコシを収穫することで獲得。
230,巨大ブルフルーツ,,@item_11401#を@item_102#に植えることで獲得。
231,巨大ブルフルーツの苗,日光と水があれば、もう少し待てば、苗に実がなる,
232,根,大木から垂れ下がる気根は、人の体重に耐えられるほど格別に丈夫なので、登りすぎず、落下にも注意しましょう。,
233,赤土,エキゾチックな成分を豊富に含む希少な赤土は、そこに育つ植物を奇跡のように変化させる,海上に浮かぶ島には、一面に赤土が広がっているという伝説がある。
234,稲,#c0aba1d盆地の水辺#nで育つ、米に加工して石鍋で炊くとご飯になる#r ドードー鳥に食べさせると繁殖状態にすることができる。,底に土塊または黄色い砂を置き、高さを1ブロックの水面にイネの種を植えると手に入れる。
236,胡瓜,@item_102#に植えることができる。#r#c0aba1dアルパカ#nにエサとしてあげると@item_11311#を獲得できる。,陶製のツボを壊しあるいはばくばくエッグを倒すと手に入れる可能性がある。
237,レッドシダーフルーツ,レッドシダー材の果実、調理用原料,
238,いばら草,小さなとげのある雑草、#c0aba1d破壊#nされると、#c0aba1d一握りの雑草#nがもらえる可能性がある。,
239,巨大なプルマージュ,大きすぎて切って食べられない！？ 匠の技に手を入れる必要あり,耕作地に巨大なプルマージュの種を植えることでも利用可能
240,巨大なプルマージュの苗木,日光と水があれば、もう少し待てば、苗に実がなる,
241,サツマイモ,@item_101#に植えられる。@item_1200#で焼ける,陶製のツボを破壊することで確率で獲得。
242,セレウスの茎,#c0aba1d砂漠#nに生え、棒で加工してスパイクのついた武器を作ることができる!,サボテンの種は土ピットに植えて得ることもできる
243,野生トウモロコシ,壊すと#c0aba1dトウモロコシ#nを手に入れる可能性がある。,野生で育ったトウモロコシ、手入れが行き届かず栄養価は低い
244,クリスマスツリー,サンタのクリスマスツリー。建築装飾に使える。,クリスマスイベント期間中、サンタのお店で販売
245,水草,#c0aba1d浅瀬#nに生えている水草は、そこに止まっている生き物や小道具に絡まりやすいので、あまり長居はしないようにしましょう。運が良ければ、その中に珍しいお宝が見つかるかもしれません。,
246,昆布,#c0aba1d浅瀬#nに生えている水草で、破壊すると#c0aba1d生昆布#nを落とす可能性がある。,ルーンを完全に取得すれば、昆布が手に入る
247,ウキクサ,#c0aba1d水面#nに散りばめられており、水面に置いて飾ることができる,
248,浮き板,#c0aba1d重さに耐える#n、水の上に置かれる,職人台で浮き板を使って作業する
249,松ぼっくり,カラマツの実、美味しく調理できる,
250,ロータス,#c0aba1d水面に#n生えるので、水面に置いて飾ることもできます。,
251,竹,#c0aba1dパンダ#nを#c0aba1d飼いならす#nために使用#r飼いならされたパンダに#c0aba1d餌を与える#nと、竹の中が空洞になる。,#c0aba1d竹林#nに生育、タケノコを土ピットに植えることでも利用可能
252,笹の葉,装飾品として使用可能で、破壊するとタケノコを落とす可能性がある,
253,タケノコ,#c0aba1d土ピット#nに植え、竹に育てる。,笹の葉を壊すと手に入れる可能性がある。
254,桃花木,#c0aba1d斧類の道具で#n迅速に伐採でき#r@item_11323#に加工でき、燃料としても使用できる,
255,桃の木の葉,@item_1200#の燃料や酸素製造の原料として使える。#r飛鶏にエサとしてあげると繫殖状態に入る。#c0aba1d雪だるまの頭飾り#nにもなれる,
256,桃の木の苗木,#c0aba1dマウンド#nに植えて桃の木にする。,桃の木の葉を壊すと一定の確率でドロップする。
257,珍木,#c0aba1d斧類の道具で#n迅速に伐採でき#r@item_11323#に加工でき、燃料としても使用できる,
258,ジェーンの木の葉,@item_1200#の燃料や酸素製造の原料として使える。#c0aba1d雪だるまの頭飾り#nにもなれる,
259,珍木の苗木,珍木の苗木,珍木のの葉を壊すと一定の確率でドロップする。
260,葉なし珍木,酸素の実を植え、不毛な萌え目スターの表面に生える,#c0aba1dミスリルの斧#n以上の斧具で切断すること。
261,萌目プラネット胞子柱,たけのこを横に植えると、シソが#c0aba1d変異する#n,萌え目プラネット#c0aba1d空島の下#nの日陰に生える。
262,苔,湿って水分が豊富な苔は、その上に立つと滑って落ちるので注意が必要だ。破壊すると@item_11595##rをドロップする。陽ざしの届かない所に生えてくる,
263,萌目プラネット胞子の種,日陰の月見草の石のブロックに#c0aba1dを植える#nと、しばらくして萌目プラネット胞子が生えてきます。,
264,淡い石灰の木の板,木造建築に広く使われる基本的な建材,職人台で淡い石灰顔料で加工する
265,葉なし珍木の板,装飾用として使用可能,職人台によって葉のない珍木から作られる
266,変異たけのこ,#c0aba1d食べる#nと、スタミナを15回復し、以下の特殊効果#r#c0aba1d蛍光、掘削狂、掘削疲労状態を獲得します。,タケノコの近くでスターライト胞子を置けば突然変異する。
267,変異シソ,#c0aba1d食べる#nと、スタミナを15回復し、以下の特殊効果#r#c0aba1d蛍光、ライフ回復、毒殺状態を獲得します。,シソの近くでスターライト胞子を置けば突然変異する。
268,変異した植物ポール,,萌え目プラネット#c0aba1d空島の下#nの日陰に生える。
269,蛍光カラーグラス,小蛍光玉や大蛍光玉を作る材料の1つ。,萌え目プラネット#c0aba1d空島#nに生える。
270,萌目プラネット胞子,#c0aba1d食べる#nと15体力を回復。#c0aba1d蛍光BUFF#nを獲得、夜目BUFFまたはくらくらBUFFを獲得するチャンスがある。,萌え目プラネット空島の下の日陰に生える。萌目プラネット胞子の種を植える。
271,萌目プラネット胞子,#c0aba1d食べる#nと15体力を回復。#c0aba1d蛍光BUFF#nを獲得、夜目BUFFまたはくらくらBUFFを獲得するチャンスがある。,萌え目プラネット空島の下の日陰に生える。萌目プラネット胞子の種を植える。
272,萌目プラネット胞子,#c0aba1d食べる#nと15体力を回復。#c0aba1d蛍光BUFF#nを獲得、夜目BUFFまたはくらくらBUFFを獲得するチャンスがある。,萌え目プラネット空島の下の日陰に生える。萌目プラネット胞子の種を植える。
273,萌目プラネット胞子,#c0aba1d食べる#nと15体力を回復。#c0aba1d蛍光BUFF#nを獲得、夜目BUFFまたはくらくらBUFFを獲得するチャンスがある。,萌え目プラネット空島の下の日陰に生える。萌目プラネット胞子の種を植える。
274,萌目プラネット胞子,#c0aba1d食べる#nと15体力を回復。#c0aba1d蛍光BUFF#nを獲得、夜目BUFFまたはくらくらBUFFを獲得するチャンスがある。,萌え目プラネット空島の下の日陰に生える。萌目プラネット胞子の種を植える。
275,萌目プラネット胞子,#c0aba1d食べる#nと15体力を回復。#c0aba1d蛍光BUFF#nを獲得、夜目BUFFまたはくらくらBUFFを獲得するチャンスがある。,萌え目プラネット空島の下の日陰に生える。萌目プラネット胞子の種を植える。
276,萌目プラネット胞子,#c0aba1d食べる#nと15体力を回復。#c0aba1d蛍光BUFF#nを獲得、夜目BUFFまたはくらくらBUFFを獲得するチャンスがある。,萌え目プラネット空島の下の日陰に生える。萌目プラネット胞子の種を植える。
