ID,内容
ID,Content
1000000,眠らないでください！ 目覚めよ！
1000001,やっと目が覚めたんですね！ びっくりした！
1000002,ミラプラネットに到達する直前、突如として大量のボイドパワーブラが星鎖に合体した！
1000003,一瞬にして一行は全て散り散りになってしまい、今のところミラプラネットまでやっとたどり着いたのは私たちだけのようです。 他の人たちはどうなったんだろう……
1000004,大丈夫ですか。まずは状態を確認した方がいいですね。
1000011,HPとエネルギーの数値がわかるので、チェックしてね。
1000012,赤いバーは現在の健康度を示しており、低すぎると非常に危険なので、目を離さないようにしましょう！
1000013,黄色のバーがあなた現在のスタミナ残量です。
1000014,低すぎると非常に疲れて、効率も悪く、危険な時に無理をする可能性が高いので、そこにも気を配ってください！
1000021,一番下のエリアは「クイックバー」と呼ばれています。 これをクリックすると、持っているアイテムを素早く切り替えることができます。
1000022,あなたの体調が悪いんだから、何か食べて回復しようよ！
1000023,これをクリックして、手で持ってみてください。
1000031,一番下のエリアは「ショートカットバー」と呼ばれています。 対応する「数字キー」を押すことで、持っているアイテムを素早く切り替えることができます。
1000032,あなたの体調が悪いんだから、何か食べて回復しようよ！
1000033,このフレームに切り替えて、手にとってみてください。
1000041,見て！ 食べ物はあなたの手の中にあるのです。 さあ、この「使用ボタン」を長押しして食べましょう。
1000051,見よ！ 食べ物が手の中に入っています。 さあ、「マウスの右ボタン」を長押しして食べましょう。
1000061,これはだいぶいい状態のボディーコンディションを確認してみましょう。
1000062,ついてきて、2歩前に進む。 ロッカーをクリックし、前へと押し出せます。
1000063,前に進むのは問題ないですが、今度は少しバックしてみましょう。 ジョイスティックをクリックし、後ろへ押すと後戻りします。
1000064,よし、次は左に行こう。 ロッカーを左に押してみてください。
1000065,そうですよ。最後は右に寄ってね。 ロッカーを右に押しましょう。
1000071,これはだいぶいい状態ですね。健康状態を確認してみましょう。
1000072,私についてきて、前に歩いてください。 キーボードの「W」キーをクリックすると前に進みます。
1000073,では、後方に進んでみましょう。 キーボードの「S」キーをクリックすると、後ろに進みます。
1000074,よし、次は左に行って歩いてみましょう。 キーボードの「A」キーを押してみてください。
1000075,そうだ、最後が右だ。 キーボードの「D」キーを押してください。
1000081,身体的に問題なさそうなので、次はジャンピングに挑戦。
1000082,このボタンを押すとジャンプして、近くのブロックに飛び乗るようにしましょう！
1000083,ジャンプも普通にできそうだし、次に...スニーキングをやってみよう。 このボタンを押せば、スニーキングができるようになるんだ。
1000091,身体的に問題なさそうなので、次はジャンピングブラに挑戦。
1000092,「スペース」バーを押してジャンプし、近くのブロックに飛び乗るようにしましょう！
1000093,ジャンプも普通にできそうだし、さて...スニーキングをやってみましょう。「shift」キーを押してみましょう。スニーキングができるようになりますよ。
1000101,よし！ジャンプも潜水も全く問題なくできている。 潜ったままだと、ブロックの端から落ちないんだ、覚えておいてね。
1000102,最後の確認ですが、首を回して私の位置を見てみてください。
1000103,私の指示を見て、私が回る方向に画面をスワイプし、準備が整ったら始めます。
1000104,まず、左です。私はここにいます、画面を左に向かってスワイプしてください。
1000105,続いて、右です。 画面を右に向かってスワイプしてください。
