keyid,名字,属性描述
keyid,Name,AttrDesc
5001,吹き飛ばし,10%の確率で吹き飛ばし+
5002,吹き飛ばし,20%の確率で吹き飛ばし+
5003,吹き飛ばし,30%の確率で吹き飛ばし+
6001,シャープ,近接攻撃力+
6002,シャープ,近接攻撃力+
6003,シャープ,近接攻撃力+
7001,人間ハンター,人間ハンター+
7002,人間ハンター,人間ハンター+
7003,人間ハンター,人間ハンター+
8001,ビーストハンター,ビーストハンター+
8002,ビーストハンター,ビーストハンター+
8003,ビーストハンター,ビーストハンター+
9001,エリートハンター,エリートハンター+
9002,エリートハンター,エリートハンター+
9003,エリートハンター,エリートハンター+
10001,着火,着火レベル
10002,着火,着火レベル
10003,着火,着火レベル
11001,ノックバック距離増加,ノックバック距離増加
11002,ノックバック距離増加,ノックバック距離増加
11003,ノックバック距離増加,ノックバック距離増加
12001,狩猟幸運,狩猟幸運レベル
12002,狩猟幸運,狩猟幸運レベル
12003,狩猟幸運,狩猟幸運レベル
13001,ヘヴィーショット,弓のダメージ＋
13002,ヘヴィーショット,弓のダメージ＋
13003,ヘヴィーショット,弓のダメージ＋
14001,無限射撃,無限射撃
14002,無限射撃,無限射撃
14003,無限射撃,無限射撃
15001,耐久,耐久度+
15002,耐久,耐久度+
15003,耐久,耐久度+
16001,近接攻撃耐性,近接攻撃耐性+
16002,近接攻撃耐性,近接攻撃耐性+
16003,近接攻撃耐性,近接攻撃耐性+
17001,遠距離攻撃耐性,遠距離攻撃耐性+
17002,遠距離攻撃耐性,遠距離攻撃耐性+
17003,遠距離攻撃耐性,遠距離攻撃耐性+
18001,爆発耐性,爆発耐性+
18002,爆発耐性,爆発耐性+
18003,爆発耐性,爆発耐性+
19001,燃焼耐性,燃焼耐性+
19002,燃焼耐性,燃焼耐性+
19003,燃焼耐性,燃焼耐性+
20001,毒素耐性,毒素耐性+
20002,毒素耐性,毒素耐性+
20003,毒素耐性,毒素耐性+
21001,混乱耐性,混乱耐性+
21002,混乱耐性,混乱耐性+
21003,混乱耐性,混乱耐性+
22001,反撃,15%の確率で近接戦闘に対する反撃+
22002,反撃,30%の確率で近接戦闘に対する反撃+
22003,反撃,45%の確率で近接戦闘に対する反撃+
23001,ノックバック距離短縮,ノックバックの距離が短縮する
23002,ノックバック距離短縮,ノックバックの距離が短縮する
23003,ノックバック距離短縮,ノックバックの距離が短縮する
24001,完璧獲得,完璧獲得
24002,完璧獲得,完璧獲得
24003,完璧獲得,完璧獲得
25001,採掘速度,採掘速度+
25002,採掘速度,採掘速度+
25003,採掘速度,採掘速度+
26001,掘削幸運,掘削幸運レベル
26002,掘削幸運,掘削幸運レベル
26003,掘削幸運,掘削幸運レベル
27001,爆発射撃,爆発射撃+
27002,爆発射撃,爆発射撃+
27003,爆発射撃,爆発射撃+
28001,竜の着陸,落下ダメージ-
28002,竜の着陸,落下ダメージ-
28003,竜の着陸,落下ダメージ-
29001,野蛮人ハンター,野蛮人ハンター+
29002,野蛮人ハンター,野蛮人ハンター+
29003,野蛮人ハンター,野蛮人ハンター+
30001,快速落下（レギンス）,空中蹲居、落下速度+
30002,快速落下（レギンス）,空中蹲居、落下速度+
30003,快速落下（レギンス）,空中蹲居、落下速度+
31001,壁登り（靴）,壁を登れるが、速度
31002,壁登り（靴）,壁を登れるが、速度
31003,壁登り（靴）,壁を登れるが、速度
32001,出血,出血レベル
32002,出血,出血レベル
32003,出血,出血レベル
33001,ライトニングウィップ,ライトニングウィップレベル1
33002,ライトニングウィップ,ライトニングウィップLv2
33003,ライトニングウィップ,ライトニングウィップLv3
34003,ライトニングウィップ,ライトニングウィップLv4
35003,ライトニングウィップ,ライトニングウィップLv5
36001,釣り幸運,釣り幸運レベル
36002,釣り幸運,釣り幸運レベル
36003,釣り幸運,釣り幸運レベル
37001,防寒,防寒+
37002,防寒,防寒+
37003,防寒,防寒+
38001,凍結耐性,凍結耐性+
38002,凍結耐性,凍結耐性+
38003,凍結耐性,凍結耐性+
39003,ツールの加護,ツールの加護
40003,武器の加護,武器の加護
41003,装備の加護,装備の加護
42001,凍傷,凍傷レベル
42002,凍傷,凍傷レベル
42003,凍傷,凍傷レベル
43001,近接物理ダメージボーナス,近接物理ダメージ+
