ID,名字,描述
ID,Name,Desc
1,マウントベビー,このスキルを持つマウントは、マップ上でしばらく遊んでいると、マウントベビー（部屋にいる他の仲間にプレゼント可）を1体生みだす
2,ダッシュ,力を溜めている間、移動速度+30%。
3,水面歩行,水面上を素早く歩くことができる（ジャンプ不可）。
4,スーパージャンプ,超強力なジャンプ能力を持っている。
5,滑空,風に乗って空中で滑空できる。
6,炎走り,マグマの上を歩くことができる。
7,ラッシュ,ジャンプ後、空中でジャンプキーを押すと、前方へ高速突進する。
9,二人乗り,二人乗りが可能。仲間をつれて散歩しよう！
10,ホップステップ,ジャンプキーで上へ上へと跳んでいける。だがその分落ちる速度も速くなるぞ。
11,強固,高い生命力を持つ。
12,浮き輪,水面に浮かぶことができる。
13,潜水,水中で泳ぐことができる。
14,急流,水中でジャンプキーを押すと、前方へ向かって高速突進する。
15,オートボッツ突撃,前方に向かって突撃する
16,デストロンミサイル。,直線上にミサイルを発射する。
17,バンブルビーラッシュ,前方へ向かって一定時間突進する。
18,飛びかかり,ジャンプキー長押しで力を溜め、着地した瞬間に目の前の生物に減速デバフを付与する。
19,脅かす,ジャンプキー長押しで力を溜め、着地した瞬間に目の前の生物を少しノックバックさせる。
20,漂う,少しの間、空中に浮かんで飛ぶことができる。着地中にHPが減ることはない。
21,飛行,暫くの間、空中で飛ぶことができる。着地中にHPが減ることはない。
22,二人乗り,二人乗りが可能。仲間をつれて散歩しよう！
23,エネルギーシールド,エネルギーシールドを作り出し、キミと仲間を守ることができる。
24,一人乗り,一人だけ乗せることができる。
25,空中警報,暫くの間、空中で飛ぶことができる。着地中にHPが減ることはない。
26,赤い雷,前方へ向かって一定時間突進する。
27,チェンジングレーザー,直線上にミサイルを発射する。
28,煉獄の炎,攻撃キーをタップすると火を噴出し、目の前の生物に灼熱のデバフを付与する。
29,幽冥の炎,攻撃キーをタップすると火を噴出し、目の前の生物に灼熱のデバフを付与する。
30,羽ばたき,ジャンプキーを長押しすることで、少しの間空中で飛ぶことができる。着地中にHPが減ることはない。
31,飛翔,ジャンプキーを長押しすることで、長めに間空中で飛ぶことができる。着地中にHPが減ることはない。
32,竜の咆哮,攻撃キーをタップすると吼えだし、目の前の生物に減速のデバフを付与する。
33,高速の翼,ジャンプキーを長押しすることで、少しの間空中で飛ぶことができる。着地中にHPが減ることはない。
34,スパイクスラッシュ,攻撃キーをタップすると尻尾を振り、後方の扇形の範囲内にいる生物に3ptのダメージを与える。
35,スターライト,上に向かって星を打ち上げて辺りを照らす（クールダウン15秒）。
36,月の誕生,ジャンプキーを長押しすることで、少しの間空中で飛ぶことができる。着地中にHPが減ることはない。
37,大至急,一定時間、前方に向かって高速で走る。
38,二人乗り,二人乗りが可能。仲間をつれて散歩しよう！
39,スノーステップ,雪の結晶を踏んで空中を歩くことができる。着地中にHPが減ることはない。
40,行け行けピーッピー,クラクションのような音を出し、ヘッドライトが点滅する。
41,五穀豊穰,使用後、辺りに向かって元宝や銅貨をばらまく。
42,四人乗り,四人乗りが可能。仲間をつれて散歩しよう！
43,天の川を超えて,空中で一定時間飛ぶことができる。着地中にHPが減ることはない。
44,クジラの浮島,水中で泳ぐことができる。
45,暴れ牛の威嚇,ジャンプキー長押しで力を溜め、着地した瞬間に目の前の生物に減速デバフを付与する。
46,暴れ牛の突撃,ジャンプキー長押しで力を溜め、着地した瞬間に目の前の生物を少しノックバックさせる。
47,飛花,空中で一定時間飛ぶことができる。着地中にHPが減ることはない。
48,天翔け,空中で一定時間飛ぶことができる。着地中にHPが減ることはない。
49,葉舞,周りに葉っぱを降らせる。
50,日輪,使用すると、ダメージを20ptまで吸収できるシールドを獲得する。
51,神の光,使用すると、プレイヤーの与ダメージ+5%。
52,魔法花火,蓄積条件を満たし、ジャンプや着陸時に触発する。マウント周辺で花火を打ち上げ、効果音を鳴らす
53,ゴージャスな花火,蓄積条件を満たし、ジャンプや着陸時に触発する。マウント周辺でゴージャスな花火を打ち上げ、効果音を鳴らす
54,突撃,前に突撃する
55,ノックバック,前方に突撃すると、目の前の生き物を近距離でノックバックできる。
