keyid,名字,属性描述
keyid,Name,AttrDesc
5001,يطلق,يحتمل بنسبة 10٪ أن يطرح +
5002,إطلاق,لديه فرصة 20% لصدم العدو وإبعاده. +
5003,إطلاق,لديه فرصة 30% لدفعها بعيدًا +
6001,حاد,هجوم المشاجرة+
6002,حاد,هجوم المشاجرة+
6003,حاد,هجوم المشاجرة+
7001,صياد بشري,صياد بشري +
7002,صياد بشري,صياد بشري +
7003,صياد بشري,صياد بشري +
8001,صياد الوحوش,صياد الوحوش +
8002,صياد الوحوش,صياد الوحوش +
8003,صياد الوحوش,صياد الوحوش +
9001,الصياد النخبة,الصياد النخبة +
9002,الصياد النخبة,الصياد النخبة +
9003,صائد نخبة,صائد نخبة +
10001,مُحرق,مستوى الاحتراق
10002,مُحرق,مستوى الاحتراق
10003,مُحرق,مستوى الاحتراق
11001,زيادة مسافة الدفع عند الضرب,زيادة مسافة الدفع عند الضرب
11002,تزيد مسافة الإبعاد,تزيد مسافة الإبعاد
11003,زيادة مسافة الدفع الخلفي,زيادة مسافة الدفع الخلفي
12001,الصيد المحظوظ,مستوى الصيد المحظوظ
12002,الصيد المحظوظ,مستوى الصيد المحظوظ
12003,الصيد المحظوظ,مستوى الصيد المحظوظ
13001,تصوير قوي,ضرر القوس والسهم+
13002,تصوير قوي,ضرر القوس والسهم+
13003,تصوير قوي,ضرر القوس والسهم+
14001,لقطة غير محدودة,لقطة غير محدودة
14002,لقطة غير محدودة,لقطة غير محدودة
14003,لقطة غير محدودة,لقطة غير محدودة
15001,المتانه,المتانة+
15002,المتانه,المتانة+
15003,المتانه,المتانة+
16001,مقاومة المشاجرة,مقاومة المشاجرة +
16002,مقاومة المشاجرة,مقاومة المشاجرة +
16003,مقاومة المشاجرة,مقاومة المشاجرة +
17001,مقاومة بعيدة المدى,مقاومة المدى +
17002,مقاومة بعيدة المدى,مقاومة المدى +
17003,مقاومة بعيدة المدى,مقاومة المدى +
18001,مقاومة الانفجار,مقاومة الانفجار+
18002,مقاومة الانفجار,مقاومة الانفجار+
18003,مقاومة الانفجار,مقاومة الانفجار+
19001,حرق المقاومة,مقاومة الحرق+
19002,حرق المقاومة,مقاومة الحرق+
19003,حرق المقاومة,مقاومة الحرق+
20001,مقاومة السموم,مقاومة السموم+
20002,مقاومة السموم,مقاومة السموم+
20003,مقاومة السموم,مقاومة السموم+
21001,مقاومة الفوضى,مقاومة الفوضى +
21002,مقاومة الفوضى,مقاومة الفوضى +
21003,مقاومة الفوضى,مقاومة الفوضى +
22001,الهجوم المضادّ.,لديه فرصة 15٪ للرد بالهجوم على الوحدات القتالية القريبة +
22002,ضربة مضادة.,لديه فرصة 30٪ للرد على هجمات الوحدات القريبة +
22003,الهجوم المضاد.,لديه فرصة 45٪ للرد على الهجوم من الوحدات القتالية +
23001,تم خفض مسافة الدفع الخلفي.,تم خفض مسافة الدفع الخلفي
23002,تم تخفيض مسافة الدفعة,تم تخفيض مسافة الدفعة الخلفية
23003,تم تقليل مسافة النطح,المسافة التي يتم طردها بها تم تقليلها
24001,الاستحواذ الكامل,الاستحواذ الكامل
24002,الاستحواذ الكامل,الاستحواذ الكامل
24003,الاستحواذ الكامل,الاستحواذ الكامل
25001,سرعة الحفر,سرعة الحفر +
25002,سرعة الحفر,سرعة الحفر +
25003,سرعة الحفر,سرعة الحفر +
26001,لاكي ديجينج,مستوى الحفر المحظوظ
26002,لاكي ديجينج,مستوى الحفر المحظوظ
26003,لاكي ديجينج,مستوى الحفر المحظوظ
27001,طلقة الانفجار,طلقة الانفجار+
27002,طلقة الانفجار,طلقة الانفجار+
27003,طلقة الانفجار,طلقة الانفجار+
28001,سقوط التنين,ضرر سقوط-
28002,سقوط التنين,ضرر سقوط-
28003,سقوط التنين,ضرر سقوط-
29001,عفريت الرمح,عفريت الرمح +
29002,عفريت الرمح,عفريت الرمح +
29003,عفريت الرمح,عفريت الرمح +
30001,انحدار (جريفز),الانحناء في الهواء ، سرعة السقوط +
30002,انحدار (جريفز),الانحناء في الهواء ، سرعة السقوط +
30003,انحدار (جريفز),الانحناء في الهواء ، سرعة السقوط +
31001,تسلق الجدران (الأحذية),تمكين تسلق الجدار ، ولكن السرعة
31002,تسلق الجدران (الأحذية),تمكين تسلق الجدار ، ولكن السرعة
31003,تسلق الجدران (الأحذية),تمكين تسلق الجدار ، ولكن السرعة
32001,نزف,مستوى التسييل
32002,نزف,مستوى التسييل
32003,نزف,مستوى التسييل
33001,سوط البرق,سوط البرق المستوى 1
33002,سوط البرق,لايتنينج ووط المستوى 2
33003,سوط البرق,لايتنينج ووط المستوى 3
34003,سوط البرق,سوط البرق المستوى 4
35003,سوط البرق,لايتنينج ووط المستوى 5
36001,لاكي فيشينج,مستوى الصيد المحظوظ
36002,لاكي فيشينج,مستوى الصيد المحظوظ
36003,لاكي فيشينج,مستوى الصيد المحظوظ
37001,مقاومة البرد,مقاومة للبرد+
37002,مقاومة البرد,مقاومة للبرد+
37003,مقاومة البرد,مقاومة للبرد+
38001,مقاومة التجمد,مقاومة التجمد+
38002,مقاومة التجمد,مقاومة التجمد+
38003,مقاومة التجمد,مقاومة التجمد+
39003,أداة نعمة,أداة نعمة
40003,نعمة السلاح,نعمة السلاح
41003,نعمة المعدات,نعمة المعدات
42001,أضرار الجليد,مستوى تلف الجليد
42002,أضرار الجليد,مستوى تلف الجليد
