ID,名字,描述
ID,Name,Desc
1,طفل الجبل,يمكنك الحصول علي طفل الجبل بعد اللعب لفتره علي الخريطه .يمكنك ارسال الطفل بعد ذلك لاي من اللاعبين الاخرين في الغرفة.
2,الجري السريع,تزيد سرعة التحرك بنسبة 30% اثناء الشحن
3,المشي علي المياه,"يمكن التحرك بسرعة علي سطح الماء,ولكن لا يمكن القفز علي سطح الماء."
4,القفز المرتفع,يتمتع بقدرات عالية علي القفز
5,التزلق,يمكن التزلق والطيران في السماء
6,المشي المنصهر,يمكنه المشي علي السطح المنصهر
7,اندفاع,اضغط علي زر القفز بعد القفز للجري بسرعة الي الامام.
9,ركوب مزدوج,"يمكن ان يحمل 2 من الركاب , يمكنك استدعاء صديق."
10,قفزة الهواء,القفز الحر في الهواء ، ولكن هذا سيجعلك تسقط أسرع من أي وقت مضى.
11,عنيد,الحصول على المزيد من نقاط الصحّة
12,سباحة,يطفو على الماء
13,غطس,الغطس في الماء
14,استعجال,اضغط على زرّ القفز وأنت في الماء، أطلق مهارة الاستعجال للغوص في الاتجاه الحاليّ
15,هجوم روبوتات,اركض بسرعة واضرب الى الأمام
16,مدفع منصهر,أطلق نيران المدفعيّة في خطوط مستقيمة
17,جرح نحلة طنّانة,اركض بسرعة لفترة
18,هجوم,اضغط مطوّلاً على القفز لتجميع القوّة. ما سيبطئ المخلوق الذي يقابلك عند الهبوط.
19,ترهيب,اضغط مطوّلاً على القفز لتجميع القوّة. ما سيبعد المخلوق الذي يقابلك في مسافة قصيرة عند الهبوط.
20,عائم,تعوم في الهواء وتحرّك لمسافة قصيرة. بدون خسارة ايتش بي عند السقوط.
21,طيران,طيران لمسافة في الهواء. بدون خسارة ايتش بي عند السقوط.
22,ركوب مزدوج,"يمكن ان يحمل 2 من الركاب , يمكنك استدعاء صديق."
23,درع الطاقة,انتاج درع طاقة تحميك وتحمي أصدقاءك
24,ركوب فرديّ,يمكن حمل راكب واحد
25,انذاء جوّي,طيران لمسافة في الهواء. بدون خسارة ايتش بي عند السقوط.
26,برق أحمر,اركض سريعًا لفترة
27,لايزر منصهر,أطلق نيران المدفعيّة في خطوط مستقيمة
28,نار الجحيم,اضغط على [هجوم] لاطلاق النيران، والحاق ردّ ناريّ على المخلوق الذي يقابلك
29,شبح من نار,اضغط على [هجوم] لاطلاق النيران، والحاق ردّ ناريّ على المخلوق الذي يقابلك
30,رفرفة أجنحة,اضغط مطوّلاً على [قفز] لتطير مسافة قصيرة. بدون خسارة ايتش بي عند السقوط.
31,فرد الجناح,اضغط مطوّلاً على [قفز] لتطير مسافة طويلة. بدون خسارة ايتش بي عند السقوط.
32,زمجرة تنين,اضغط للزمجرة. ما يبطّئ المخلوق الذي أمامك.
33,جناح سريع,اضغط مطوّلاً على القفز للطيران لمسافة قصيرة. بدون خسارة ايتش بي عند السقوط.
34,مسح عظميّ,اضغط على الهجوم لهزّ الذيل ما يسبّب 3 أضرار لمخلوقات في المنطقة الخلفيّة على شكل مروحة
35,وميض النجوم,إرم النجوم صعودًا للإضاءة، سي دي 15 ثانية.
36,ضوء القمر,اضغط مطوّلاً على القفز للطيران لمسافة قصيرة. بدون خسارة ايتش بي عند السقوط.
37,استعجال,أركض سريعًا الى الأمام لفترة
38,ركوب مزدوج,"يمكن ان يحمل 2 من الركاب , يمكنك استدعاء صديق."
39,فوق الثلج,دس الثلج وامش في الهواء. بدون خسارة ايتش بي عند السقوط.
40,شحن التوك توك,تسمح لك استخدام زمّور السيارة وإضاءة المصابيح الأماميّة
41,حصاد عظيم,عند استخدامها، ترمي سائك وقطع نقود في المحيط.
42,مركبة انسان 4,يمكنها نقل 4 لاعبين
43,فضاء سرعة ضوئيّة,يمكنها المحافظة على وقت الرحلة الجويّة لمسافة محدّدة، ولن يسبّبب السقوط بأي ضرر.
44,جزيرة لوياثان,يمكن الغطس في الماء.
45,قوّة الثور,اضغط مطوّلاً على القفز لتجميع القوّة. ستبطئ المخلوق الذي يقابلك عند الهبوط.
46,ضربة الثور,اضغط مطوّلاً على القفز لتجميع القوّة. ستبطئ المخلوق الذي يقابلك عند الهبوط.
47,رفرفة أزهار,يمكنها الانزلاق في الهواء لمسافة معيّنة، ولن تتضرّر عند السقوط
48,انتشار بجع,يمكنها الانزلاق في الهواء لمسافة معيّنة، ولن تتضرّر عند السقوط
49,رقصة ورق الشجر,عند الاستخدام، تشغّل تأثير الأوراق العائمة
50,دولاب شمس,استخدمها للحصول على درع يمكنه امتصاص 20 من الضرر
51,شعاع الله,استخدمه لزيادة ضرر اللاعب بنسبة 5%
52,ألعاب ناريّة سحريّة,بعد الشحن، أطلق عند الهبوط بعد القفز، سترمى الألعاب الناريّة حول المطيّة وتسمع الموسيقى
53,ألعاب ناريّة برّاقة,بعد الشحن، أطلق عند الهبوط بعد القفز، سترمى الألعاب الناريّة حول المطيّة وتسمع الموسيقى
54,شحن,إشحن الى الأمام
55,عودة,اشحن الى الأمام لايقاع المخلوقات التي تقابلك
56,يحوم,عند استخدام الجبل، ستكون الشخصية تحوم من الأرض وسيتم تشغيل تأثير الصوت الدوارة المروحة تلقائيا في نفس الوقت.
57,تزلّق منخفض,انزلاق على ارتفاع منخفض لمسافة قصيرة مع امساك زرّ القفز عند السقوط لمنع الحاق الضرر بنفسك
58,تزلّق مرتفع,انزلاق على ارتفاع منخفض لمسافة أطول، مع امساك زرّ القفز عند السقوط لمنع الحاق الضرر بنفسك
59,أضواء وريش,استدعاء 3 أشباح بجع صغيرة لتسبح حول المطيّة بعد استخدامها
60,بحيرة البجع,امكانيّة الغطس في الماء للسباحة
61,تحليق صباحيّ,امكانيّة الطيران لمسافة معيّنة في الهواء، بدون نفاذ الصحّة خلال الخريف.
62,موجة ضوئيّة فائقة,عند التحرّك، يصدر تلقائيًا موجات ضوئيّة جميلة
63,شعاع للهدم,عند التحرّك، يصدر تلقائيًا موجات ضوئيّة ذهبيّة-حمراء جميلة
64,موجة ضوئيّة الهيّة,عند التحرّك، يصدر تلقائيًا موجات ضوئيّة جميلة
65,أشعّة مطهّرة,عند التحرّك، يصدر تلقائيًا موجات ضوئيّة فضيّة-بنفسجيّة جميلة
66,سحاب مرتفع,امكانيّة ان يطفو على السطح بدون النفاذ خلال الخريف
67,اختراق,امكانيّة الطيران لمسافة معيّنة في الهواء، بدون النفاذ خلال الخريف.
68,قفزة بعديّة,سيظهر على بعد 15 كتلة في الإتّجاه المصوّب بعد استخدام المهارة
69,اعصار,بعد الاستخدام، سيتبع إعصار صغير السيّارة.
70,فقّاعة سحريّة,ستظهر العديد من الفقاعات حول الجسم.
71,أجنحة الزفير,امكانيّة الطيران لمسافة معيّنة في الهواء، بدون النفاذ خلال الخريف.
72,تدفق سحريّ,ظهور تدفّق للماء الأزرق حولك.
73,دموع معجزيّة,يمكن تشكيل درع طاقة.
74,بريق أحمر,تحاط بالبريق الأحمر.
75,شعاع ذهبيّ,تحاط بشعاع ذهبيّ.
76,بريق أزرق,تحاط بالبريق الأزرق.
77,هبوط البتلات,بتلات صغيرة تسقط من حولك
78,رفرفة الفراشة,تتفتح الفراشات والزهور من حولك
79,بتلات طائرة,بتلات الزهور الوردية والزهور تحلق حولك
80,أبحر,اضغط على زر Jump لتسريع 20٪ لمدة 10 ثوانٍ.
81,استدعاء المبتدئين,اضغط على زر Jump لاستدعاء جني صغير يتبعك.
82,استدعاء وسيطة,انقر فوق الزر Jump و STAR GENIE سوف يتبع.
83,الاستدعاءات المتقدمة,انقر فوق الزر Jump وسيظهر جني لؤلؤة متابعة.
84,الله الخفي,"بعد النقر فوق الزر ""القفز""، انقر فوق الزر Jump مرة أخرى في منتصف الهواء لإدخال حالة غير مرئية."
85,مخطوف,سوف تظهر التروس الذهبية حول الجسم.
86,البرق الأرجواني,سوف تظهر البرق الأرجواني حول الجسم.
87,وينديفري,اضغط لفترة طويلة على زر القفز لتجميع الطاقة لاستدعاء إعصار لتفجير أي شخص أمامك.
88,رحلة دوامة,"بعد النقر فوق الزر ""اقفز""، انقر فوق الزر ""القفز"" مرة أخرى في منتصف الهواء لتحويله في السماء."
89,موجات الصوت,تأثير ضوء الليزر المحيط بالجسم.
90,الصوت الإلكتروني,البرق الملونة المحيطة الجسم.
91,إيقاع الأرجوحة,اضغط لفترة طويلة على زر القفز لزيادة الصحة لنفسك وزملاء الفريق في نطاق معين.
92,نجم يصل,اضغط لفترة طويلة على زر القفز لزيادة صحة الحلفاء في نطاق معين وتقليل صحة الوحوش داخل النطاق.
93,ترفرف الزهور,هناك بتلات تحلق في جميع أنحاء الجسم.
94,السحب العائمة,اضغط لفترة طويلة على مفتاح القفز للطيران مسافة معينة في الهواء.
95,linglong.,يمكنك المشي على الماء.
96,نسيم لطيف,هناك بتلات تحلق في جميع أنحاء الجسم.
97,مروحة الرقص,هناك بتلات تحلق في جميع أنحاء الجسم.
