ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,عرض الفاكهة المقدسة,"ضع على طاولة الحياة العنصر @item_587#@1#r ( "" الفاكهة المقدسة"" يعبر عن "" الزمن السابق"" أكثر تقنيات التعديل الوراثي ذكاءً على الإطلاق)",ضع على طاولة الحياة العنصر @item_587#
1001002,ضع السيف المكسور الملتهب,"ضعها في حجرة الشجاعة @item_588#@1#r ( "" السيف المكسور الملتهب"" يمثل "" أيام ماضية "" تعاون التنين الأسود)",ضع @item_588# على طاولة الشجاعة
1001003,ضع عين الرجل الحجري,"ضعها في طاولة الحكمة @item_589#@1#r ( "" عين الرجل الحجري"" يمثل "" الرجل الماضي"" الذكاء الاصطناعي الذي كان يفخر به ذات يوم)",ضعها في طاولة الحكمة @item_589#
1001004,معركة الفراغ الوهمية!,اهزم معرك الفراغ الوهمي! #r ( لا يمكن العودة، من أجل أن تكون صغير),اهزم معرك الفراغ الوهمي!
1001005,احتك بالفراغ,احصل على @item_11333##r ( هذا ... بداية جديدة؟...),احصل على @item_11333##r
1002001,العودة إلى كوكب ميرا,وصلت أخيرا إلى كوكب ميرا بأمان. #r لكن عند احتراق حصار سلسلة النجوم، تم تفكيك الفريق بأكمله، لا أعرف ما إذا كان هنالك شركاء آخرون وصلوا الى كوكب ميرا؟,الوصول إلى كوكب ميرا
1002002,أنا أحتاج بعض الأحجار,اجمع @item_110# للحصول على @item_11627#@1#r ( انقر باستمرار على الأحجار للجمع، ايضا يمكن فتح لوحة التحكم، وقم بمعالجتها في الواجهة @item_104# للحصول على @item_11627#),اجمع @item_110# للحصول على @item_11627#@1
1002003,العديد من المواد,اجمع الجذور من@item_11006#@1#r ( انقر على جذع الشجرة، لكن يوجد بعض الجذوع تنمو في اماكن كبيرة),احصل على الأشجار من@item_11006#@1
1002004,بداية عيشة جميلة,استخدم@item_11627# و@item_11006# وعالجها@item_11002#@1#r (يمكن للأدوات اليدوية جمع الموارد بشكل أسرع),قم بفتح لوحة التحكم لمعالجة@item_11002#@1
1002005,حطاب,في حالة تملك@item_11002# جمع جذوع الشجرة للحصول على @item_11323#@1#r(@item_11323# و حاسمة لبقية الرحلة,جمع الأشجار المقطوعة@item_11323#@1
1002006,خبير البناء,استخدم @item_11323# لمعالجة @item_206#@1#r ( ما عدا @item_206# ، اغلب العناصر تحتاج بعضا من @item_11323# عند المعالجة  قم بتجميع المزيد ),عالج @item_206#@1
1002007,مَأوىً,ضع @item_206#@1#r ( يبدو أن هناك منزلًا متهدمًا بالقرب من محطة النجوم التي تم الإبلاغ عنها للتو ، ربما يمكن استخدامه @item_206# عالجه ولا تقلق ),ضع @item_206#@1
1002008,Arm Yourself,"Use @item_11323# and @item_11627# to craft @item_12012#@1#r (Surviving in the wilderness can be dangerous, so having a handy weapon is essential!)",Craft @item_12012#@1
1002009,استخدم يدك,اهزم اي مخلوق @1#r #r ( افضل حل للدفاع هو الهجوم؟ جرب كيف يشعر السلاح المصنوع حديثًا),اهزم أي مخلوق @1
1002010,النور في الظلام,استخدم@item_11006# و@item_11226# عالج@item_298#@1#r ( ملاحظة: يلاحظ! تتمتع الشعلة الصغيرة بوقت احتراق محدود وتحتاج إلى إعادة إشعالها إذا خرجت ، لكنها جيدة تمامًا كأداة إضاءة مؤقتة),عالج@item_298#@1
1002011,نار المعسكر,استخدم @item_298# لايقاد @item_1200#@1#r ( قد تكون هناك منازل جاهزة في المنزل المكسور بالقرب من محطة النجوم @item_1200#، قم بعمل معالجة بنفسك),اوقد@item_1200#@1
1002012,الحرفي,استخدم @item_11323# و @item_11627 وعالج @item_800#@1#r ( طاولة الحرفيين ، ضرورية للسفر والمنزل! نجاح باهر ~ يمكن معالجة المزيد من العناصر),عالج@item_800#@1
1002013,ضروري للبقاء,استخدم @item_12600# و @item_11226# عالج @item_828#@1#r عند استخدامها سوف تحتاج لـ @item_800# بعد المعالجة اذكر @item_828# قم بوضعه في مكان امن ، لا يمكنك النوم إذا كان هناك تهديد قريب!),عالج@item_828#@1
1002014,استريح,استخدم @item_828# نام #r ( انقر @item_828# واستلقي ، لكن لا تنام صباحا، يحتاج للانتظار الى المساء ، كوكب ميرا يبدا من 20:00 تأكد من الوقت ),بالنقر عليه سوف يتم وضع @item_828# نام
1003001,مشاوي لحم,خذ @item_12513# مطبوخ على نار المخيم ، احصل عليه @item_12514#@1#r ( يمكن تحميص اللحوم التي تسقطها معظم الحيوانات ، ومن الخطورة جدًا تناول اللحوم النيئة في البرية ، يرجى تحميصها قبل تناولها.),استخدم @item_1200# خبز للحصول عليها @item_12514#@1
1003002,عزاها اللشواء,تناول @item_12514# من أجل استعادة الطاقة @1#r ( بعد تناولها سوف تفعم بالطاقة والحيوية),تناول @item_12514#@1
1003003,المعدن المنحوس,استخدم@item_11627# و@item_11006# عالجها بـ@item_11012#@1#r ( عند امتلاك@item_11012# سوف تتمكن من تجميع العديد من المعادن ، التعدين بأيدي عارية مؤلم للغاية!),عالج@item_11012#@1
1003004,الطاقة الجديدة؟,احمل بيدك @item_11012# ونقب عن @item_402# للحصول على @item_11201#@1#r(@item_11201# ( @item_11201# إنه وقود الصهر الأكثر شيوعًا في ميرا ، وهو شائع سواء على الأرض أو تحت الأرض ، لذلك تذكر أن تنتبه.),جمع@item_402#@1
1003005,معدن جديد بالكامل,احمل بيدك @item_11012# ونقب عن @item_451#@1#r ( @item_451# يوجد متوزع في  كوكب ميرا، ينتج الكثير في الأسفل والأعلى),اجمع @item_451#@1
1003006,معالج المصهر,استخدم @item_11226# و @item_101# عالج @item_802#@1 #r ( بعد امتلاك @item_802# يمكنك صهر المعدن ، فقد حان الوقت لترقية الأدوات باستخدام المنجم بأكمله),عالج@item_802#@1
1003007,Metal smelting: Brass,Use fuel to smelt @item_451# in @item_802# to refine @item_11329#@1#r (@item_11329# is a very basic metal with a wide range of uses. It can be used to upgrade tools to improve efficiency),Smelt to get @item_11329#@1
1003008,المزيد من الأدوات اليدوية,استخدم@item_11329# و@item_11006# عالج@item_11011#@1#r ( عند المعالجة  سوف تحتاج@item_800# ، لا يمكن أن تكون سرعة التعدين هي نفسها),عالج@item_11011#@1
1003009,البقاء على قيد الحياة في البرية الدرس الأول,"انجزالأهداف في المهمات الخاصة بـ "" المستكشف المبتدئ"" #r ( بعد أن تعلمت أهم الوسائل الأساسية للبقاء في البرية ، حان الوقت لاستخلاص الاستنتاجات من حالة واحدة. لم تتحطم حيل الفراغ الوهمية ، فلنعمل بجد أكثر!)",أكمل جميع المهام في هدف المستكشفين المبتدئين
1004001,بداية الزراعة,استخدم@item_11627# و@item_11006# عالج@item_11032#@1#r ( مع ذلك ، يمكننا استصلاح الأراضي الصالحة للزراعة),عالج@item_11032#@1
1004002,زراعة الأراضي الصالحة للزراعة,امتلك @item_11032# مقابل @item_100# أو @item_101# استخدم تحويلها إلى أرض صالحة للزراعة @1#r ( عن طريق PC صوب إلى المربع واضغط على الزر الأيمن لفترة طويلة ، واضغط مع الاستمرار على المربع الموجود على المحطة المتنقلة لاستعادة الأرض المزروعة),احمل بيدك @item_11032# لزراعة الأراضي  الزراعية @1
1004003,ملك الطعام,خذ بـ @item_11400#   في@item_102# فوق @1#r ( احمل بيدك @item_11400# انقر على @item_102# فسوف يكون من الممكن الزراعة),
1004004,سماد,للاستخدام على المحاصيل استخدم @item_11311#@1#r ( @item_11311# يمكن أن يسرع من نمو معظم النباتات ، ولكن لن تنجح كل عملية إخصاب ),تستخدم في المحاصيل@item_11311#@1
1004005,المحاصيل !,المحصول الناضج @item_229#@1#r ( الحصاد الأول دائمًا لا يُنسى),احصل على@item_229#@1
1004006,The first step to be a chef,"Use @item_104# to craft @item_200108#@1#r (@item_800# will be needed when crafting. You can also ignite the bonfire with @item_298#, remember? Place @item_200108# on the @item_1200# you ignited to make more delicious food)",Craft @item_200108#@1
1004007,تحضير المواد الخام,استخدم @item_229# عالج @item_344#@1#r ( عند المعالجة ستحتاج إلى @item_800# . @item_344# يعتبر العديد من المواد كمواد أساسية),عالج@item_344#@1
1004008,Delicious Dish,Cook @item_12502#@1#r (Use @item_344# in @item_200108# and wait for the delicious dish to be prepared),Cook @item_12502#@1 in @item_200108#
1004009,تتغذى على,تناول @item_12502#@1#r ( فقط عندما تشبع يمكنك أن تعمل بشكل جيد !),تناول@item_12502#@1
1004010,لا يمكن تغليفه,استخدم@item_11323#  و@item_11006# عالج@item_1180#@1#r ( يمكن تخزين العناصر التي لا يمكن وضعها في حقيبة الظهر في صندوق التخزين),عالج@item_1180#@1
1004011,الدفاع ضد الأعداء الأقوياء,استخدم@item_11323# و@item_11006# وعالج@item_812# وقم بوضعه@1#r ( بعد تجهيز المنزل بباب ، لا يمكن فقط تسهيل الدخول والخروج ، ولكن أيضًا منع الوحوش من دخول المنزل. لكن كن حذرا@item_812# قد يدمرها المتوحشون! ),عالجه وضعه في@item_812#@1
1004012,العمل الدفاعي,استخدم @item_11323# عالج @item_821# وضعها في @1#r ( قم باخذ @item_821# قام بوضعه بشكل جيد  @item_821# فقد يكون من المحتمل الارتباط),عالجها وضعها في@item_821#@1
