ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,تحويل الموقع الى المنطقة,عامّ,ضع |@1| في الوسط، مناطق بمساحات (|@2|، |@3|، |@4|)
10002,موازنة المنطقة,عامّ,اضغط shift |@1 مع احداثية المحور (|@2|، |@3|، |@4|)
10003,توسيع المنطقة,عامّ,وسّع محور احداثية |@1| مع X|@2|، وY|@3|، وZ|@4| لتوسيع الكتلة
10005,منطقة التنسيق المحدّدة,عامّ,تموضع X|@1|Y|@2|Z|@3
10006,موازنة المنطقة (تغيّرات المنطقة الرئيسيّة),عامّ,اضغط shift |@1 مع احداثية المحور (|@2|، |@3|، |@4|)
10007,المكان المركزيّ للمنطقة,عامّ,الموقع المركزيّ ل|@1
10008,المكان العشوائيّ للمنطقة,عامّ,الموقع العشوائي ل |@1
10009,المؤقّت,عامّ,وقت |@1
10010,طول شعاع الاتجاه المطلوب,عامّ,ابدأ بواسطة |@1| خطّط |@3| اشعّة الشبكات في |@2|، لاعادة طول الشعاع بين البدء والكتلة
10011,شريط سلاسل,عامّ,اضافة @1|  و|@2
10012,تحويل القيمة الى سلسلة,عامّ,تحويل |@1| الى شريط
10013,مقارنة منطقية,عامّ,@1||@2||@3
10014,مقارنة القيمة,عامّ,@1||@2||@3
10015,نوع الكتلة الذي يضربه الشعاع,عامّ,ابدأ بواسطة |@1| خطّط |@3| اشعّة الشبكات في |@2|، اظهار نوع الكتلة الذي يوقف الشعاع
10016,مقابل ثلاث محاور احداثيات,عامّ,انّ |@1 هو مقابل X|@2| وY|@3| وZ|@4
10017,مقابل احداثيات كرويّة,عامّ,انّ |@1 هو مقابل زاوية سمت |@2| ارتفاع |@3
10018,اختيار اللاعب,عامّ,اختيار |@1
10019,اختيار المخلوق,عامّ,اختيار |@1
10020,اختيار القذيفة,عامّ,اختيار |@1
10021,اختيار القطرات,عامّ,اختيار |@1
10022,درجة تتحوّل الى رقم,عامّ,يتحوّل |@1 الى رقم
10023,مقارنة شريط الشخصية,عامّ,@1||@2||@3
10024,موازنة المكان (المكان الأصليّ بدون تغيير),عامّ,ضغط |@1 shift مع احداثية المحور (|@2|، |@3|، |@4|)
10025,قيمة منطقيّة,عامّ,|@1
10026,قيمة,عامّ,|@1
10027,شريط الشخصية,عامّ,|@1
10028,نوع الشكل,عامّ,|@1
10029,مجموعة منطقيّة,عامّ,|@1
10030,رقم الفريق,عامّ,|@1
10031,شريط المجموعة,عامّ,|@1
10032,الحصول على قيمة عدد مجموعة,عامّ,الحصول على رقم القيمة في |@1
10033,الحصول على قيمة عدد القيمة في مجموعة,عامّ,الحصول على عدد قيمة |@2| في |@1
10034,الحصول على هويّة قيمة ما في فريق ما,عامّ,الحصول على هويّة |@2| في |@1
10035,تحديد وجود قيمة ما في فريق ما,عامّ,تجد |@2| موجودًا في |@1
10036,تحديد وجود هوية محددة في فريق ما,عامّ,تأكّد من وجود هويّة تموضع |@2| في |@1
10037,,عامّ,استخراج |@1| من |@2| - |@3| سلسلة الموضع
10038,,عامّ,@1| تحويل إلى عدد صحيح
10039,,عامّ,الحصول على الجهاز |@1| زمن
10040,,عامّ,الحصول على ضبط وقت الجهاز الرئيسي الكامل
10041,,عامّ,نوع الكتلة العشوائية
10042,تقسيم السلسلة,عام,انقسام|@1|، الفاصل هو |@2| ، اعتراض |@3| المقطع بعد التقسيم
10043,يحصل على سلسلة العلامة المحددة,عام,احصل على |@1| ، محتوى اسم المفتاح |@2|
10044,الحصول على وقت خادم اللعبة,عام,احصل على |@1| وقت خادم اللعبة
10045,تحويل الطابع الزمني إلى وحدة زمنية,عام,تحويل الطابع الزمني |@1| إلى |@2
10046,الحصول على وقت الخادم الكامل,عام,الحصول على وقت الخادم الكامل
10047,تحويل الطابع الزمني إلى دوام كامل,عام,تحويل الطابع الزمني |@1| إلى دوام كامل
20001,حساب رقميّ,رياضيّات,@1||@2||@3
20002,المتبقي,رياضيّات,مود |@1| مود |@2
20003,رقم عشوائيّ,رياضيّات,خلق رقم عشوائي بين |@1| و|@2
20004,القيمة القصوى,رياضيّات,ايجاد |@3| في |@1| و |@2
20005,القسمة الدقيقة,رياضيّات,@1| يقسم |@2
20006,القيمة المنسّقة للمكان,رياضيّات,قيمة احداثية |@2| ل |@1
20007,الزاوية الافقية بين الاماكن,رياضيّات,زاوية افقيّة بين |@1| و |@2
20008,زاوية عاموديّة بين الأماكن,رياضيّات,زاوية عاموديّة بين |@1| و|@2
20009,الأسية,رياضيّات,استخدام |@1، لدعم قوّة |@2
20010,تجذير,رياضيّات,الجذر التربيعي ل |@2| في |@1
20011,قيمة مطلقة,رياضيّات,القيمة المطلقة ل|@1
20012,وظيفة الدوال المثلثيّة,رياضيّات,@1||@2||@3
20013,وظيفة قاعدة مدوّنة ثابتة,رياضيّات,@1||@2
20014,وظيفة قاعدة مدوّنة,رياضيّات,تسجيل |@1||@2
20015,رقم مدوّر,رياضيّات,الرقم الدائري ل|@1| بشكل |@2
20016,تحويل الزاوبة الى الراديان,رياضيّات,تحويل |@1| الى |@2
20017,نقطة ونقطة,رياضيّات,اضافة |@1 و|@2
20018,نقطة أو نقطة,رياضيّات,تخيير |@1| أو |@2
20019,حصريّ أو,رياضيّات,حصرية |@1| أو |@2
20020,نقطة ليست نقطة,رياضيّات,ليس |@1
20021,مقارنة قيمة عشوائية,رياضيّات,@1||@2||@3
30001,وقت اللعب الحالي,اللعبة,وقت اللعبة الحالي
30002,اختيار فريق مصنّف,اللعبة,رتبة الفريق |@1
30003,مضاعفات جاذبيّة حاليّة,اللعبة,مضاعفات الجاذبيّة الحاليّة
40001,صفات الفريق,فريق,وجود |@1| في |@2
40002,مقارنة الفريق,فريق,@1||@2||@3
50001,موقع اللاعب,لاعب,موقع |@1
50002,الحصول على رؤية اللاعب,لاعب,رؤية |@1
50003,صفات اللاعب,لاعب,ال|@2| الخاصّ ب|@1
50004,عدد العناصر التي تملكها,لاعب,حصول |@1 على رقم |@2
50006,لاعب مواجه للزاوية,لاعب,زاوية |@1 المقابلة
50007,اسم اللاعب,لاعب,اسم |@1
50008,تحديد الفرد,لاعب,@1||@2||@3
50009,تحديد مجموعة اللاعبين,لاعب,وجود |@1||@2 في |@3
