ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,الهواء,لن تتمكن من رؤيتي!,@Null@
1,حجر اللهب,"يقع في اعماق باطن الارض , قوي جداً , لا يمكن تحريكه",
2,مربعات الامكانيات,مربع ذو قوة سحرية,@Null@
3,مياه ساكنه,مربع مائي ساكن,@Null@
4,المياة النشطة,المياة المتدفقة,
5,حمم بركانية ساكنه,"مربع بركاني ساكن , احترس انه ساخن جداً",
6,حمم بركانية,"مربعات حمم بركانية يمكنها التحرك , احترس فانها ساخنة جداً , يمكن ان تصيبك بالضرر",
7,ارسال الضوء,يبدو انه مربع سحري,@Null@
8,بوابة باطن الارض,بفعل تأثير القوّة الغريبة، اختفى الرابط مع باطن الأرض. إنّ هذا الحجر قويّ جدّا ويمكن استخدامه في البناء,
9,بوابة باطن الارض,بفعل تأثير القوّة الغريبة، اختفى الرابط مع باطن الأرض، مع العلم أنّ المرور من خلال هذه البوّابة يجعل حركة البشر أكثر سرعة,
10,الكريستال,"كريستال مناسب للاعبين الجدد , ولكن ليس له اي #c0aba1d استخدم حقيقي #n",
11,عسل ثابت,عسل ثابت,@Null@
12,عسل,عسل متدفق,
13,الرمال المتحركة الساكنة,"""النهر"" التي شكلتها الرمال الناعمة أمر خطير!",
14,الرمال المتحركة,النهر التي شكلتها الرمال الناعمة أمر خطير!,
15,لعنة الحجر,صخور مخيفة، عند ملامسة #c0aba1d الرمال المتحركة سوف يحصل ؟ عند الحفر سوف يكتسب لعنة النزيف!,الجدران الخارجية لواحة الصحراء تحت الأنقاض
16,لعنة الحجر المنشط,صخور مخيفة، عند ملامسة #c0aba1d الرمال المتحركة سوف يحصل ؟ عند الحفر سوف يكتسب لعنة النزيف!,الجدار الخارجي لأطلال تحت الأرض
17,السم الساكن,السوائل التي تنضح برائحة خطيرة ، ابتعد قدر الإمكان.,
18,شديدة السمية,السوائل التي تنضح برائحة خطيرة ، ابتعد قدر الإمكان.,
19,الرياح تآكل الصخور,الصخور الصحراوية التي تآكلتها الرياح القوية هشة إلى حد ما.,
20,اصدار اللعبة الحالي قديم,قم بتحميل الاصدار الجديد من اللعبة الآن!,قم بتحميل الاصدار الجديد من اللعبة الآن!
21,الاصدرا الحالي قديم,قم بتحميل الاصدار الجديد من اللعبة الآن!,قم بتحميل الاصدار الجديد من اللعبة الآن!
22,اصدرا اللعبة الحالي قديم,قم بتحميل الاصدار الجديد من اللعبة الآن!,قم بتحميل الاصدار الجديد من اللعبة الآن!
23,اصدرا اللعبة الحالي قديم,قم بتحميل الاصدار الجديد من اللعبة الآن!,قم بتحميل الاصدار الجديد من اللعبة الآن!
24,عقيدات المنغنيز,يستخدم في #c0aba1d تعزيز معدات الغوص والصناعات اليدوية @item_1206##n تحمل الضغط المرتفع لأعماق البحار,معدن المنغنيز باستمرار@item_23# المعادن التي ينتجها التكثيف في الوسط ، لذلك فهي تنتج بشكل طفيف فقط في أعماق البحار ، وسوف تنخفض بعد تدميرها @item_12614#
25,صخرة,مناسب جدًا لنمو الشعاب المرجانية. عندما تنضج الشعاب المرجانية ، يتغير لونها أيضًا.,قم بتحميل الاصدار الجديد من اللعبة الآن!
26,زجاجة الانجراف,في علم البيئة البحرية والنهرية #c0aba1d شحن #n واضاعة، سيحمل تدفق المياه رغبتك إلى مكان بعيد ، ربما في يوم من الأيام سيكتشفها شخص ما في مكان بعيد,خذ @item_11806# ضعه في موقع @item_28# للحصول عليه
