ID,名字,Desc
ID,Name,Desc
1053,,
1054,,
1055,,
1056,زين الشاشة,اجعل شاشة عرض الشخصية تزين
1057,إيقاف العمل,اجعل الحرف يتوقف عند الإطار الحالي
1058,تغيير الملمس,تغيير نسيج الشخصية إلى مادة ثلجية
1059,تأثير الجليد الخاص,أضف مؤثرات خاصة للثلج إلى الشخصية
1060,إنهاء تغير درجة الحرارة,اضبط درجة حرارة الحرف على @2 عند انتهاء الحالة
1061,إنهاء تشغيل المؤثرات الخاصة والمؤثرات الصوتية,تشغيل المؤثرات الخاصة والمؤثرات الصوتية عند انتهاء الحالة
1062,درجة الحرارة تؤثر على المدة,ستتغير مدة الحالة بسبب درجة الحرارة المحيطة
1063,إزالة الحالة عند أخذ الضرر التراكمي,تتم إزالة الحالة عندما يصل الضرر التراكمي @1 إلى @2
1064,تغيير درجة الحرارة مع مرور الوقت,قم بتغيير درجة حرارة الحرف بمقدار @ 2 كل @1s
1065,التغير الواضح في درجة الحرارة,قم بتغيير درجة الحرارة البيئية التي تؤثر على الحرف بمقدار @1
1066,تغير درجة الحرارة المحيطة,زيادة درجة الحرارة البيئية داخل شبكات @1 حول الحرف بواسطة @2
1067,كتلة التكثيف والذوبان,اجعل الماء يتجمد داخل شبكات @1 حول الحرف ، مع اختلاف ارتفاع @ 2 شبكات أعلى وأسفل
1068,إنشاء كتل قريبة بشكل عشوائي,داخل المنطقة الأسطوانية حول المشغل بنصف قطر @1 وارتفاع @2 ، قم بإنشاء @4 على السطح العلوي لكتلة عشوائية كل @3s
1069,لجعل المهاجم يحصل على حالة,عند تعرّض اللاعب لـ @1 هجوم ، هناك احتمال بنسبة @2% لجعل المهاجم يحصل على @3
1070,تغيير معدل مضاعف الشفاء الغذائي,تحسين كمية الشفاء الغذائي بنسبة @2 مع ز@1يادة كمية الغذاء المستهلك بنسبة @3
