ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,أنا أحتاج بعض الخشب,تجميع الخشب، احصل على كتل الخشب #r ( جمعها عبر النقر الطويل للجذوع),جمع #cfa7a0f الكتل الخشبية
1001,"العمل الحرفي ",استخدم أي نوع من أنواع الأخشاب لصناعة الألواح، واستخدم 4 ألواح لصناعة صندوق خشبي  #r افتح حقيبة الظهر اولا واختر صنع الملصق على اليسار.,قم بصناعة #cfa7a0fT  صندوق الأدوات
1002,يجب أن يموت البرابرة !,اصنع عصا خشبية مع ألواح خشبية وعصي #r ( تحتاج إلى صندوق الأدوات وسلاح المبتدئين),اصنع #cfa7a0f بذور الخشب
1003,عامل منجم مبتدئ,اصنع فأس تعدين الخشب باستخدام الألواح الخشبية والعصي #r (تحتاج لصندوق الأدوات، احفر حفرة للاختبار بعد غروب الشمس),اصنع  #cfa7a0fبيكاكس الخشبية
1004,حياة الفلاحين!,اصنع معول خشبي من الألواح الخشبية والعصي  #r( تحتاج لصندوق الأدوات وتحويل التربة إلى أرض مزروعة ),اصنع  #cfa7a0fمجرفة خشبية
1005,أول معركة,هزيمة أحد الوحوش، يبدو أن الوحوش يرتدون رؤوس وحوش#r ( المتوحشون خطيرين ويظهرون في الليل),اهزم #cfa7a0f وحش بري
1006,وقت الشواء !,اصنع فرنًا صهرًا من 8 أحجار @1 #r ( تحتاج إلى صندوق الأدوات يمكنه اذابة المعادن),"اصنع #cfa7a0f فرن الصهر "
1007,البركة,الأعشاب والحصول على بذور القمح  @1#r ( انقر بشكل مستمر حتى تتمكن من الحصول على بذور القمح),احصل على #cfa7a0f بذور القمح
1008,"سلة فحم ",احرق الخشب بمواد حشبية للحصول على الفحم @1#r ( تحتاج إلى بحاجة إلى فرن الصهر. يمكن استخدامها لصنع الشعلة للإضاءة),اصنع #cfa7a0f سلة الفحم
1009,"سبائك الحديد ",قم بصهر خامات الحديد للحصول على سبائك الحديد  @1#r( تحتاج إلة فرن الصهر),اصنع  #cfa7a0f سبائك الحديد
1010,"عامل منجم متقدم ",اصنع فأس لتصنيع الحديد باستخدام سبائك الحديد وعصا الخشب #r ( يمكن لفأس تعدين الحديد أن يجمع الماس),اصنع #cfa7a0f معول حديدي
1011,"أنا غني ",قم بتجميع خامات الذهب باستخدام فأس تعدين الحديد أو معول الماس #r (في أعماق الأرض),اجمع  #cfa7a0fالذهب الخام
