角色ID,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,زعيم القبيلة,"قائد القبيلة البدائية , يحب المغامرات وفتح الاراضي للقبيلة",قوي,زيادة الاضرار الاساسية(غير مفعلة),@Null@
2,زعيم القبيلة,"قائد القبيلة البدائية , يحب المغامرات وفتح الاراضي للقبيلة",قوي,زيادة الاضرار الاساسية +5,@Null@
3,زعيم القبيلة,"قائد القبيلة البدائية , يحب المغامرات وفتح الاراضي للقبيلة",قوي,زيادة الاضرار الاساسية +10,@Null@
4,زوجة زعيم القبيلة,"ام بدائية قوية , من امهر الصيادين بالقبيلة",سيد الصيد,زيادة حصيلة الصيد(غير مفعله),@Null@
5,زوجة زعيم القبيلة,"ام بدائية قوية , من امهر الصيادين بالقبيلة",سيد الصيد,زيادة احتمالية الحصول علي ضعف المتساقطات بنسبة 25% في حالة التغلب علي الوحوش,@Null@
6,زوجة زعيم القبيلة,"ام بدائية قوية , من امهر الصيادين بالقبيلة",سيد الصيد,زيادة احتمالية الحصول علي ضعف المتساقطات مرتين او ثلاث مرات بنسبة 25% في حالة التغلب علي الوحوش,@Null@
7,كاكا,"لقد ترعرع في قبيلة بدائية , لذلك يمتلك القدره علي النجاة في البرية.",عنيد,خفض معدل الاضرار الناتجة عن الهجوم عن بعد(غير مفعله),@Null@
8,كاكا,"لقد ترعرع في قبيلة بدائية , لذلك يمتلك القدره علي النجاة في البرية.",عنيد,خفض معدل الاضرار الناتجة عن الهجوم عن بعد بنسبة 20 %,@Null@
9,كاكا,"لقد ترعرع في قبيلة بدائية , لذلك يمتلك القدره علي النجاة في البرية.",عنيد,خفض معدل الاضرار الناتجة عن الهجوم عن بعد بنسبة 40 %,@Null@
10,ني ني,"الاخت البدائية النشيطة, تعمل بكل جد.",نشيط,زيادة سرعة التجميع (غير مفعله),@Null@
11,ني ني,"الاخت البدائية النشيطة, تعمل بكل جد.",نشيط,زيادة سرعة التجميع بنسبة 50%,@Null@
12,ني ني,"الاخت البدائية النشيطة, تعمل بكل جد.",نشيط,زيادة سرعة التجميع بنسبة 100 %,@Null@
13,طفل الدب,"كل بيت لديه طفل الدب,انتظر , ماذا يحمل في يديه؟",عبقري المتفجرات,خفض معدل الاضرار الناتجة عن التفجيرات (غير مفعله),@Null@
14,طفل الدب,"كل بيت لديه طفل الدب,انتظر , ماذا يحمل في يديه؟",عبقري المتفجرات,خفض معدل الاضرار الناتجة عن التفجيرات بنسبة 20%,@Null@
