购买ID,道具ID,阿拉伯语
ProductID,ID,Desc
1,24601,الاستخدام بعد الشراء: يمكن شراء معظم الجلود المخصّصة التي يمكنك صنعها بنفسك لمدة 30 يومًا
4,12856,الاستخدام بعد الشراء: إعادة التسمية مرّة واحدة
8,12965,"الحصول علي 3 منها يمكنك من العوده الي المنزل في الحال , بكل سهولة."
13,10025,تحتوي على 3 بطاقات يمكن استخدامها للنقل الفوريّ الى موقع الكوكب الأمّ، وذلك مناسب جدًا
10,1055,صندوق صغير مشفّر للمضيف. على الضيوف ادخال كلمة السرّ لفتحه.
11,1056,صندوق كبير مشفّر للمضيف. على الضيوف ادخال كلمة السرّ لفتحه.
5,845,"لا يمكن استخدامه الا من قبل صاحب المنزل , قوي جداً ,شئ اساسي لمقاومة الدببة"
6,846,"لا يمكن استخدامه الا من قبل صاحب المنزل , كبير وقوي ,شئ اساسي لمقاومة الدببة"
2,12751,الألعاب النارية التي يمكن أن تطلق نمط البيض الملتوي في السما c0AAA1Aكوبون البيض الملتوي*1#n عند الشرا
3,12752,استخدم الألعاب النارية التي يمكن أن تطلق نمط الفواكه في السماء اهداء #c0AAA1Aكوبون النشاطات*1#n عند الشراء
7,12831,"اطلاق الالعاب النارية في السماء , يسقط بعض من الخبره"
9,12750,يمكنه إطلاق وجوهًا ضاحكة من خلال الألعاب الناريّة الى السماء. (إحصل على 300 #c5aea0a حبوب فاصوليا صغيرة من #nx أيّ شراء.)
12,10023,بعد الاستخدام، يمكنك الحصول على نقاط مرور الفصل
