ID,名称,描述,说明
ID,Name,Desc,Notes
100001,وضع الطقس العالمي الحالي,وضع الطقس العالمي الحالي,
100002,المسافة من موقع إلى موقع,المسافة بين%1 و%2,
100006,الموقف في حكم المنطقة,%1%2 في%3,
100007,نوع الكتلة في الموقع المحدد,نوع الحجب لـ%1,
100008,موقف إلى موقف التوجه,الاتجاه من%1 إلى%2,
100009,المطلق ثلاثي المحور تنسيق الاتجاه,"إتجاه X%1, Y%2, Z%3",
10001,تحويل الموقع إلى منطقة,"مساحة الحجم (%2,%3,%4) مع%1 كنقطة مركزية",
100010,اتجاه الإحداثيات الكروية المطلقة,السمت%1 ، اتجاه الارتفاع%2,
100011,الموقع,المركز%1,
100012,المنطقة,المنطقة%1,
100013,مؤقت,مؤقت%1,
100014,مجموعة الموقع,مجموعة الموقع%1,
100015,المجموعة الإقليمية,المجموعة الإقليمية%1,
100016,مجموعة الموقت,مجموعة الموقت%1,
100017,طقس عشوائي,طقس عشوائي,
100018,الطقس لمجموعات التضاريس,الطقس لـ%1,
10002,إزاحة المنطقة,"%1 إزاحة على طول المحور (%2,%3,%4)",
10003,توسيع المنطقة,"قم بتوسيع حجم المحاور الثلاثة%1 بواسطة X%2, Y%3, Z%4 مربعات على التوالي",
10005,تحديد موضع التنسيق,موضع قيمة الإحداثيات X%1Y%2Z%3,
10006,تغيير الموقف (تغيير الموضع الأصلي),"%1 إزاحة على طول المحور (%2,%3,%4)",
10007,الموقع المركزي للمنطقة,الموقع المركزي لـ%1,
10008,موقع عشوائي في المنطقة,موقع عشوائي لـ%1,
10009,وقت الموقت,%1 مرة,
10010,تحديد طول شعاع الاتجاه,صب%3 أشعة من%1 إلى%2 ، مع إعادة طول الشعاع بين الكتلة وموضع البداية,
10011,خيط خياطة,%1 و%2,
10012,تحويل القيمة إلى سلسلة,حول%1 إلى سلسلة,
10015,نوع مربع ضربه راي,نوع المربع الذي ضرب بإطلاق%3 مربعات من%1 إلى%2,
10016,الاتجاه بالنسبة إلى نظام الإحداثيات ثلاثي المحاور,"إتجاه X%2, Y%3, Z%4 يواجه%1",
10017,الاتجاه بالنسبة لنظام الإحداثيات الكروية,السمت%2 يواجه%1 ، اتجاه الارتفاع%3,
10018,كائن اللاعب,كائن%1,
10019,كائن بيولوجي,كائن%1,
10020,رمي الكائن,كائن%1,
10021,إسقاط كائن,كائن%1,
10022,تحويل النغمات إلى القيم,حول%1 إلى قيمة,
10024,إزاحة الموقف (دون تغيير الموضع الأصلي),"%1 إزاحة على طول المحور (%2,%3,%4)",
10025,منطقي,منطقي%1,
10026,القيمة العددية,القيمة%1,
10027,خيط,السلسلة%1,
10028,نوع المظهر,نوع المظهر%1,
10029,مجموعة القيمة المنطقية,المجموعة المنطقية%1,
10030,المجموعة العددية,المجموعة العددية%1,
10031,مجموعة سلسلة,مجموعة السلاسل%1,
10032,الحصول على عدد القيم في أي مجموعة,احصل على عدد القيم الوسيطة في%1,
10033,احصل على عدد القيم التعسفية في أي مجموعة,احصل على رقم%2 في%1,
10034,الحصول على رقم أي قيمة في أي مجموعة,احصل على رقم%2 في%1,
10035,أي حكم قيمة موجود في أي مجموعة,%2 في%1,
10036,أي مجموعة عدد محدد وجود قيمة الحكم,القيمة موجودة عند رقم الموضع%2 في%1,
10037,سلسلة اعتراض,اعتراض%2%3 أرقام من%1,
10038,تحويل السلسلة إلى قيمة,حول%1 إلى قيمة,
10039,الحصول على وقت الجهاز المضيف,احصل على الجهاز%1 مرة,
10040,الحصول على كامل الوقت الجهاز المضيف,الحصول على الوقت الجهاز الكامل,
10041,نوع كتلة عشوائية,نوع كتلة عشوائية,
10042,تقسيم السلسلة,انقسام%1 ، انقسام عند%2 ، اعتراض الجزء%3 بعد الانقسام,
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,الحصول على وقت خادم اللعبة,احصل على%1 وقت وقت خادم اللعبة,
10045,تحويل الطابع الزمني إلى وحدة زمنية,حول الطابع الزمني%1 إلى%2,
10046,الحصول على وقت الخادم الكامل,الحصول على وقت الخادم الكامل,
10047,تحويل الطابع الزمني إلى دوام كامل,تحويل الطابع الزمني%1 إلى دوام كامل,
10048,الحصول على طول السلسلة,الحصول على طول%1,
10049,الحالة نوع الاسم,اسم النوع لـ%1,
10050,وصف نوع الدولة,وصف الملحق لـ%1,
10051,الحصول على إحداثيات نوع الكتلة,احصل على أقرب%2 إحداثيات من%1 ، ابحث في محور XYZ عن نصف قطر%3 مربعات,
10052,شريط دعامة الظهر,احصل على%1,
10053,زر شريط الاختصار,احصل على%1,
10054,عمود المعدات,احصل على%1,
10055,تحويل نوع الكتلة إلى نوع العنصر,%1 يحول إلى نوع العنصر,
10056,تحويل نوع البند إلى نوع كتلة,حول%1 إلى نوع الحظر,
10057,الحصول على هوية الغرفة الحالية,الحصول على هوية الغرفة الحالية,
1010001,تغير الطقس,عندما يتغير الطقس,يتغير الطقس من مشمس إلى ممطر ، عندما يكون ممطرًا إلى مشمس
1010002,عندما يتغير الطقس في مجموعة التضاريس,عندما يتغير الطقس لـ%1,المجموعة المشتركة: سهل / غابة / جرف / غابة / حوض / جزيرة فارغة / نهر ؛ مجموعة المحيط: الشاطئ / أعماق البحار / البحر الضحل / الجزيرة ؛ مجموعة الصحراء: الصحراء / واحة ؛ المنطقة الباردة العادية: الغابات الصنوبرية / حقل الجليد ؛ منطقة الذروة الباردة: جبل الجليد ؛ المجموعة البركانية: بركان ؛ مجموعة الأراضي الرطبة: الغابات المطيرة / المستنقعات ؛ شقة ، جزيرة فارغة
1020001,إنشاء اللعبة,عندما يتم إنشاء اللعبة,بعد انتهاء العد التنازلي لدخول اللعبة 3 ، 2 ، 1 ، عندما تبدأ اللعبة
1020002,وقت اللعب,عندما يكون وقت اللعب%1,عندما يكون الوقت الحالي للعبة في الوقت المحدد
1020003,وقت تشغيل اللعبة,عند تشغيل اللعبة%1 ثانية,بعد دخول اللعبة ، تشغيل بعد الوقت المحدد
1020004,يفوز اللاعب,عندما يفوز اللاعب,
1020005,فشل اللاعب,"عندما, لاعب, فشل",
1020007,يدخل اللاعب اللعبة,عندما يدخل اللاعب اللعبة,
1020008,اللاعب يترك اللعبة,عندما يغادر اللاعب اللعبة,
1020009,تغيير الموقت,عندما يتغير المؤقت,عندما يتغير أي متغير مؤقت في مكتبة المتغيرات
1020010,تحديد تغيير الموقت,عندما يتغير%1,عند تغيير متغير المؤقت المحدد في مكتبة المتغيرات
1020011,كلما تم تشغيل اللعبة (حلقة),كل%1 ثانية تجري اللعبة,"1. الحد الأدنى للقيمة هو 0.05 ثانية ، 0.01-0 .09 سيستغرق 0.05
2. ستؤدي اللعبة (حلقة) في كل مرة يتم تشغيلها لفترة محددة"
1020012,عندما تتلقى غرفة الخدمة السحابية أي رسالة,عندما تتلقى غرفة الخادم السحابي أي معلومات,
1020013,استقبل بث,عند الاستلام ، البث%1,
1020014,يتم تأسيس الشروط,عندما يتم تأسيس%1,
1020015,عند وضع المخططات,عندما يتم وضع المخطط,
1020016,عندما تتلقى غرفة الخادم السحابي رسالة بث الخادم,عندما تستقبل غرفة الخادم السحابي بث الخادم%1,
1030001,ينهزم اللاعب,عندما ينهزم اللاعب,
1030002,قيامة اللاعب,عندما يبعث اللاعب,
