iD,阿拉伯语,阿拉伯语
ID,Name,AttrDesc
5,الطيران,الهجوم المتلاحم سوف يلقي بالهدف ليطير بارتفاع 4 مربعات في السماء
5,الطيران,الهجوم المتلاحم سوف يلقي بالهدف ليطير بارتفاع 6 مربعات في السماء
5,الطيران,الهجوم المتلاحم سوف يلقي بالهدف ليطير بارتفاع 8 مربعات في السماء
5,الطيران,الهجوم المتلاحم سوف يلقي بالهدف ليطير بارتفاع 10 مربعات في السماء
5,الطيران,الهجوم المتلاحم سوف يلقي بالهدف ليطير بارتفاع 12 مربعات في السماء
6,حاد,زيادة معدل اضرار الهجوم المتلاحم +5
6,حاد,زيادة معدل اضرار الهجوم المتلاحم +10
6,حاد,زيادة معدل اضرار الهجوم المتلاحم +16
6,حاد,زيادة معدل اضرار الهجوم المتلاحم +24
6,حاد,زيادة معدل اضرار الهجوم المتلاحم +35
7,صائد الاشخاص,زيادة معدل اضرار الهجوم المتلاحم مع البشر +8
7,صائد الاشخاص,زيادة معدل اضرار الهجوم المتلاحم مع البشر +16
7,صائد الاشخاص,زيادة معدل اضرار الهجوم المتلاحم مع البشر +25
7,صائد الاشخاص,زيادة معدل اضرار الهجوم المتلاحم مع البشر +40
7,صائد الاشخاص,زيادة معدل اضرار الهجوم المتلاحم مع البشر +60
8,صائد الحيوانات,زيادة معدل اضرار الهجوم المتلاحم مع الحيوانات +8
8,صائد الحيوانات,زيادة معدل اضرار الهجوم المتلاحم مع الحيوانات +16
8,صائد الحيوانات,زيادة معدل اضرار الهجوم المتلاحم مع الحيوانات +25
8,صائد الحيوانات,زيادة معدل اضرار الهجوم المتلاحم مع الحيوانات +40
8,صائد الحيوانات,زيادة معدل اضرار الهجوم المتلاحم مع الحيوانات +60
9,صائد الوحوش,زيادة معدل اضرار الهجوم المتلاحم مع رماة الكبريت ووحوش اللهب +8
9,صائد الوحوش,زيادة معدل اضرار الهجوم المتلاحم مع رماة الكبريت ووحوش اللهب +16
9,صائد الوحوش,زيادة معدل اضرار الهجوم المتلاحم مع رماة الكبريت ووحوش اللهب +25
9,صائد الوحوش,زيادة معدل اضرار الهجوم المتلاحم مع رماة الكبريت ووحوش اللهب +40
9,صائد الوحوش,زيادة معدل اضرار الهجوم المتلاحم مع رماة الكبريت ووحوش اللهب +60
29,صائد المتوحشين,زيادة معدل اضرار الهجوم المتلاحم مع المتوحشين +8
29,صائد المتوحشين,زيادة معدل اضرار الهجوم المتلاحم مع المتوحشين +16
29,صائد المتوحشين,زيادة معدل اضرار الهجوم المتلاحم مع المتوحشين +25
29,صائد المتوحشين,زيادة معدل اضرار الهجوم المتلاحم مع المتوحشين +40
29,صائد المتوحشين,زيادة معدل اضرار الهجوم المتلاحم مع المتوحشين +60
10,اشعال,"سوف يشعل الهجوم الهدف لمدة 3 ثواني , وسوف يتسبب في 5 نقط من الاضرار في كل ثانية"
10,اشعال,"سوف يشعل الهجوم الهدف لمدة 3 ثواني , وسوف يتسبب في 10 نقط من الاضرار في كل ثانية"
10,اشعال,"سوف يشعل الهجوم الهدف لمدة 3 ثواني , وسوف يتسبب في 15 نقط من الاضرار في كل ثانية"
10,اشعال,"سوف يشعل الهجوم الهدف لمدة 3 ثواني , وسوف يتسبب في 20 نقط من الاضرار في كل ثانية"
10,اشعال,"سوف يشعل الهجوم الهدف لمدة 3 ثواني , وسوف يتسبب في 25 نقط من الاضرار في كل ثانية"
11,الصد,سوف يلقي الهجوم بالهدف بعيدا لمسافة 2 مربع
11,الصد,سوف يلقي الهجوم بالهدف بعيدا لمسافة 4 مربع
11,الصد,سوف يلقي الهجوم بالهدف بعيدا لمسافة 6 مربع
11,الصد,سوف يلقي الهجوم بالهدف بعيدا لمسافة 8 مربع
11,الصد,سوف يلقي الهجوم بالهدف بعيدا لمسافة 10 مربع
12,صيد محظوظ,تزيد احتمالية الحصول علي سقوط مضاعف بنسبة 20% في حالة التغلب علي المخلوقات.
12,صيد محظوظ,تزيد احتمالية الحصول علي سقوط مضاعف او مضاعف 3 مرات بنسبة 20% او 15 % في حالة التغلب علي المخلوقات.
12,صيد محظوظ,تزيد احتمالية الحصول علي سقوط مضاعف مرتين او ثلاثة او اربعة مرات بنسبة 20% او 15 % او 15 في حالة التغلب علي المخلوقات.
13,الرمي بقوة,زيادة معدل اضرار الرمي بنسبة 25%
13,الرمي بقوة,زيادة معدل اضرار الرمي بنسبة 50%
13,الرمي بقوة,زيادة معدل اضرار الرمي بنسبة 75%
13,الرمي بقوة,زيادة معدل اضرار الرمي بنسبة 100%
13,الرمي بقوة,زيادة معدل اضرار الرمي بنسبة 125%
14,الرمي بلا حدود,"لن يقوم الرامي باستهلاك السهام , سوف تتحول الي استهلاك 5 نقط من نقاط الاستمرارية والتحمل."
14,الرمي بلا حدود,"لن يقوم الرامي باستهلاك السهام , سوف تتحول الي استهلاك 4 نقط من نقاط الاستمرارية والتحمل."
14,الرمي بلا حدود,"لن يقوم الرامي باستهلاك السهام , سوف تتحول الي استهلاك 3 نقط من نقاط الاستمرارية والتحمل."
14,الرمي بلا حدود,"لن يقوم الرامي باستهلاك السهام , سوف تتحول الي استهلاك 2 نقط من نقاط الاستمرارية والتحمل."
14,الرمي بلا حدود,"لن يقوم الرامي باستهلاك السهام , سوف تتحول الي استهلاك 1 نقط من نقاط الاستمرارية والتحمل."
15,الاستمرارية,زيادة معدل استمرارية الادوات بنسبة 40%
15,الاستمرارية,زيادة معدل استمرارية الادوات بنسبة 80%
15,الاستمرارية,زيادة معدل استمرارية الادوات بنسبة 160%
15,الاستمرارية,زيادة معدل استمرارية الادوات بنسبة 240%
15,الاستمرارية,زيادة معدل استمرارية الادوات بنسبة 320%
16,مقاومة الهجوم المتلاحم,زيادة مقاومة الهجوم المتلاحم +1
16,مقاومة الهجوم المتلاحم,زيادة مقاومة الهجوم المتلاحم +3
16,مقاومة الهجوم المتلاحم,زيادة مقاومة الهجوم المتلاحم +5
16,مقاومة الهجوم المتلاحم,زيادة مقاومة الهجوم المتلاحم +9
16,مقاومة الهجوم المتلاحم,زيادة مقاومة الهجوم المتلاحم +15
17,مقاومة الهجوم عن بعد,زيادة نقاط مقاومة الهجوم عن بعد +1
17,مقاومة الهجوم عن بعد,زيادة نقاط مقاومة الهجوم عن بعد +3
17,مقاومة الهجوم عن بعد,زيادة نقاط مقاومة الهجوم عن بعد +5
