接口ID,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,لعبة,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,نهاية اللعبة,local result = Game:doGameEnd()
10002,لعبة,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,تحديد صفة المخطوطة للتخصيص,"local result = Game:setScriptVar(index, val)"
10003,لعبة,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",الحصول على صفة المخطوطة للتخصيص,local result = Game:getScriptVar(index)
10004,لعبة,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,تحميل صفة المخطوطة,local result = Game:sendScriptVars2Client()
10005,لعبة,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",تأثير جديد شامل,local result = Game:addRenderGlobalEffect(path)
10006,لعبة,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,مسح التأثير الشامل,local result = Game:removeRenderGlobalEffect(effectid)
10007,لعبة,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,تحديد تموضع التأثير الشامل,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,لعبة,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,تحديد تأثير زوم الشامل,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,لعبة,msgBox,Game:msgBox(msg),,,صندوق الرسائل,local result = Game:msgBox(msg)
20001,عالم,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",إن كان وقت النهار,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,عالم,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",ان كانت اللعبة مخصّصة,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,عالم,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",ان كان وضع الخلق,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,عالم,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",وضع الخلق للاعبين متعددين أو محصّصين في وضع التعديل,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,عالم,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",عزف صاخب,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,عالم,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",وضع النجاة - وضع حرّ,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,عالم,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",وضع مفرد أو وضع النجاة - وضع حرّ,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,عالم,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",وضع النجاة بعد تحويله من وضع الخلق,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,عالم,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",وضع تعديل مخصّص,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,عالم,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",وضع تشغيل مخصّص,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,عالم,getHours,World:getHours(),none,"ErrorCode.OK, result:number",الوقت الحالي (ساعة),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,عالم,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",الحصول على رؤية حالة التعديل,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
