签到类型/1七天 2每周 3国庆活动,天数/周几,阿拉伯语,阿拉伯语
SignInType,WhatDay,RewardName,RewardTips
1,1,العاب الشمس والمطر النارية,تم وضعه في المخزن
1,2,خزنة,تم وضعه في المخزن
1,3,علبة هدايا النجوم,تم وضعه في المخزن
1,4,العاب النجوم النارية الصغيرة,تم وضعه في المخزن
1,5,العاب الشمس والمطر النارية,تم وضعه في المخزن
1,6,علبة هدايا النجوم,تم وضعه في المخزن
1,7,هدايا Mini,تم وضعه في المخزن
2,1,كيس بيض السعادة,تم وضعه في المخزن
2,2,حفنة الملابس,تم وضعه في المخزن
2,3,علبة هدايا النجوم,تم وضعه في المخزن
2,4,حفنة الملابس,تم وضعه في المخزن
2,5,علبة هدايا النجوم,تم وضعه في المخزن
2,6,الفاصوليا,تم اضافته الي الحساب
2,7,الفاصوليا,تم اضافته الي الحساب
3,1,علبة هدايا النجوم,تم وضعه في المخزن
3,2,كيس من الفاصوليا,تم وضعه في المخزن
3,3,لفائف الارسال,تم وضعه في المخزن
3,4,كيس من الفاصوليا,تم وضعه في المخزن
3,5,العاب النجوم النارية الصغيرة,تم وضعه في المخزن
3,6,كيس من الفاصوليا,تم وضعه في المخزن
3,7,عباءة Mini,تم وضعه في المخزن
3,8,كيس من الفاصوليا,تم وضعه في المخزن
3,9,كيس من الفاصوليا,تم وضعه في المخزن
3,10,كيس من الفاصوليا,تم وضعه في المخزن
3,11,كيس من الفاصوليا,تم وضعه في المخزن
3,12,كارت الملابس,تم وضعه في المخزن
3,13,كيس من الفاصوليا,تم وضعه في المخزن
3,14,كيس من الفاصوليا,تم وضعه في المخزن
3,15,كيس من الفاصوليا,تم وضعه في المخزن
3,16,كيس من الفاصوليا,تم وضعه في المخزن
3,17,كيس من الفاصوليا,تم وضعه في المخزن
3,18,كيس من الفاصوليا,تم وضعه في المخزن
3,19,كيس من الفاصوليا,تم وضعه في المخزن
3,20,بيريت,تم وضعه في المخزن
