ID,内容
ID,Content
1000000,لا تنم! استيقظ!
1000001,لقد استيقظت أخيرا! لقد أخفتني!
1000002,سارت الأمور بسلاسة في البداية ، ولكن قبل الوصول كوكب ميرا ، تكثف مقدار كبير من القوة الفراغية فجأة في سلسلة النجوم!
1000003,في لحظة تفرق الجميع، على ما يبدو أنه فقط نحن من وصلنا إلى كوكب ميرا ، لا أعرف شيئ عن الآخرون
1000004,هل أنت على ما يرام؟ يرجى تفقد حالتك أولا.
1000011,انظر إلى هنا، تظهر هنا درجة الحياة ودرجة الطاقة.
1000012,يظهر الخط الأحمر درجة صحتك ، في حالة انخفاضه سوف تكون في خطر يرجى الاهتمام بذلك!
1000013,الخط الأصفر يعبر عن قوة الطاقة الحالية.
1000014,في حالة انخفض الخط الأصفر سوف تكون الكفائة قليلة جدا، في حالة واجهت خطورة ما لن تستطيع المقاومة يرجى منك الاهتمام
1000021,يوجد في الأسفل اختصار الازرار ، انقر عليهم لتتمكن من الانتقال الى العناصر
1000022,حالتك الحالية سيئة تناول بعض المأكولات حتى تتمكن من الاستعادة!
1000023,انقر على هذا حتى تتمكن من نقله إلى يدك
1000031,"يوجد أسفل هذا منطقة تسمى ""شريط الاختصار"". من خلال الضغط على ""مفاتيح الأرقام"" المقابلة ، يمكنك تبديل الأدوات في يدك بسرعة."
1000032,حالتك الحالية سيئة تناول بعض المأكولات حتى تتمكن من الاستعادة!
1000033,قم بالتبديل إلى هذه الكتلة واحتفظ بها في يدك.
1000041,انظر هنا! لقد تمكنت من أخذها بعد  النقر المستمر على هذا الزر ستتمكن من أكلها
1000051,"انظر هنا! الطعام في متناول اليد ، هههه. الآن اضغط لفترة طويلة على ""زر الفأرة الأيمن"" لتناول الطعام."
1000061,الحالة الحالية أفضل من السابق ، يجب أن نفحص كل عضو في جسدنا
1000062,اتبعني وتقدم خطوتين إلى الأمام، انقر على العصا في المقدمة لتتمكن من التقدم
1000063,الأمام أمن يرجى التأخر خطوتين ،انقر فوق عصا التحكم وادفعها للخلف للرجوع للخلف.
1000064,جيد جدًا ، الآن نذهب إلى اليسار. حاول دفع عصا التحكم إلى اليسار.
1000065,هذا صحيح ، الأخير على اليمين. ادفع عصا التحكم إلى اليمين.
1000071,الحالة أفضل بكثير الآن ، دعنا نتحقق من الحالة الجسدية.
1000072,"اتبعني وامشي الى الامام. اضغط على مفتاح ""W"" على لوحة المفاتيح للمضي قدمًا."
1000073,"المضي قدمًا أمر جيد ، والآن دعنا نتراجع قليلاً. اضغط على مفتاح ""S"" بلوحة المفاتيح للعودة."
1000074,"جيد جدًا ، الآن نذهب إلى اليسار. حاول الضغط على المفتاح ""A"" على لوحة المفاتيح."
1000075,"هذا صحيح ، الأخير على اليمين. اضغط على مفتاح ""D"" على لوحة المفاتيح."
1000081,يبدو أنه لا توجد مشكلة كبيرة في الجسم ، فلنجرّب القفز على البورفيرين بعد ذلك.
1000082,اضغط على هذا الزر للقفز ، حاول القفز على الكتل القريبة
1000083,يبدو أن القفز من البورفيرين الطبيعي. الشيء التالي الذي أفكر فيه ... حاول التسلل. يمكننا الدخول في حالة التخفي بالضغط على هذا الزر.
1000091,يبدو أنه لا توجد مشكلة كبيرة في الجسم ، فلنجرّب القفز على البورفيرين بعد ذلك.
1000092,"اضغط على مفتاح ""space"" للقفز ، حاول القفز على الكتل المجاورة"
1000093,"يبدو أن القفز من البورفيرين الطبيعي. الشيء التالي الذي أفكر فيه ... حاول التسلل. يمكننا الدخول في حالة التخفي بالضغط على مفتاح ""shift""."
1000101,عظيم ، القفز والتسلل أمر طبيعي جدًا. لن نسقط من على حافة الكتلة عندما نتخفى ، تذكر الأسرى.
1000102,هناك عنصر أخير متبقي للتحقق منه ، يرجى محاولة إدارة رأسك للنظر إلى موقفي.
1000103,انتبه لتعليماتي ، اسحب الشاشة في اتجاهي للانعطاف ، وسنبدأ في البورفير عندما نكون مستعدين.
1000104,الأول هو البورفيرين الأيسر ، أنا هنا ، اسحب الشاشة إلى اليسار.
1000105,ثم البورفيرين على اليمين. اسحب الشاشة إلى اليمين.
1000106,يمكنك الآن أن نرى الأعلى، قم بالتحريك لتعرف أين موقعي. هه
1000107,ومن ثم حرك إلى الأسفل. هل وجدتني؟
1000108,آخر شيئ هو الخلف، بعد القيام بالتحريك إلى الخلف سوف تبعد المسافة
1000111,عظيم ، القفز والتسلل أمر طبيعي جدًا. لن نسقط من على حافة الكتلة عندما نتخفى ، تذكر ذلك.
1000112,المتبقي مرحلة واحدة للفحص، قم بتجربة تحريك الرأس من أجل أن ترى موقعي
1000113,انتبه إلى تعليماتي ، تحرك نحو الاتجاه الماوس لتتحرك بعد الاستعداد سوف تبدأ
1000114,في البداية الجهة اليسرى، انا هنا قم بالتحرك إلى الشمال
1000115,ومن ثم الجهة اليمنى، قم بالتحرك إلى الماوس الأيمن
1000116,يجب علينا الآن أن نرى إلى الأعلى والتحرك نحو الفأرة لتبحث عن موقعي
1000117,استمر في النظر الى الاسفل هل وجدتني
1000118,اخيرا الجزء الخلفي يحتاج لأن تحرك الماوس بشكل أطول
1000121,"لقد تم فحص جميع الأجزاء ، رائع جدا كل شيئ طبيعي , ما هو ذاك  ؟"
1000122,على ما يبدو أنها بيت مهدوم، في حالة قمنا باصلاحه من الممكن ان يصبح نقطة تجمع جديدة لنا!
