ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Luft,Du kannst mich nicht sehen,
1,Geozentrischer Eckpfeiler,"Im tiefsten Zentrum der Erde gelegen, superhart und unerschütterlich",
2,Funktionsblock,"Zauberwürfel, unbekannte Kraft",
3,Statisches Wasser,Würfel mit stillem Wasser,
4,Dynamisches Wasser,Fließfähiges Wasser,
5,Statisches Magma,"Immer noch Lavawürfel, pass auf, das ist heiß!",
6,Dynamisches Magma,"Fließende Magmawürfel, pass auf, das ist heiß und tut weh!",
7,Transmissionslichteffekt,Sieht aus wie ein Zauberwürfel,
8,Geschnitzter Ziegelstein,Geprägte Bausteine mit harter Textur,
9,Beschleunigen Sie den Umzugsblock,"Menschen, die diesen Block passieren, erhalten einen unerklärlichen Schub",
10,Stern-Energieblock,Nach der Platzierung kann es kontinuierlich #c0aba1d Sternenergiesignal ausgeben #n,
11,Statischer Honig,Immer noch Honig,
12,Dynamischer Honig,Fließfähiger Honig,
13,Statischer Treibsand,"Der aus feinem Sand bestehende ""Fluss"" ist gefährlich!",
14,Dynamischer Treibsand,"Der aus feinem Sand bestehende ""Fluss"" ist gefährlich!",
15,Mantra Rock,"Was passiert mit Steinen, die eine seltsame Aura ausstrahlen, wenn sie Treibsand berühren? Du wirst einen blutigen Fluch bekommen, wenn du gräbst!",Die Außenwände der unterirdischen Ruinen
16,Mantra Rock - Aktivieren,"Was passiert mit Steinen, die eine seltsame Aura ausstrahlen, wenn sie Treibsand berühren? Du wirst einen blutigen Fluch bekommen, wenn du gräbst!",Die Außenwände der unterirdischen Ruinen
17,Statisches Gift,"Gefährliche Flüssigkeiten, so weit wie möglich fernhalten",
18,Dynamisches Gift,"Gefährliche Flüssigkeiten, so weit wie möglich fernhalten",
19,Wind erodiertes Gestein,"Wüstenfelsen durch starke Winde erodiert, etwas zerbrechlich",
20,fremde Luft,Laden Sie die neueste Spielversion herunter!,
21,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
22,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
23,Hydrit,"Die laminierte Struktur, die durch Zehntausende von Jahren in der Tiefsee gepresst wurde, enthält alle Arten von Nährstoffen, die von Tiefseealgen benötigt werden, und eignet sich sehr gut für die Züchtung von Leuchtalgen und Rotalgen",Zerstörung von Akkretikgestein
24,Manganknollenerz,"Wird verwendet, um #c0aba1d Tauchausrüstung zu verstärken, gehärtete Glasblöcke herzustellen #n dem hohen Druck der Tiefsee standzuhalten","Manganmetall ist ein Mineral, das durch die kontinuierliche Kondensation von Manganmetall in tiefliegenden Gesteinen entsteht, daher wird es in der Tiefsee nur geringfügig produziert, und Manganknollen, die nach der Zerstörung fallen"
25,Riff,"Sehr gut geeignet für Korallenwachstum, mit zunehmender Reife der Korallen ändert sich auch die Farbe des Riffs",
26,Drift-Flasche,"In der Meeres- und Flussökologie #c0aba1d #n weggeworfen, wird die Strömung Ihren Wunsch in die Ferne bringen, vielleicht wird er eines Tages in der Ferne gefunden","Legen Sie die Lederrolle in ein kleines Glasflaschenquadrat, um die"
27,Driftflasche in der Ferne,"Der in der treibenden Flasche versiegelte Zettel enthält oft wichtige Informationen oder herzliche Segnungen. Natürlich kann es sich auch um die Gedanken von jemandem zu einem bestimmten Zeitpunkt handeln. Es sieht so aus, als hätte er Berge und Meere überquert und die Zeit überquert... Stellen Sie die Flasche auf den Boden und nehmen Sie den Zettel heraus, um nachzusehen...","Angeln und die Erkundung des Ozeans haben die Möglichkeit, die"
28,Kleine Glasflasche (quadratisch),Legen Sie es aus und legen Sie die beschriebene Lederrolle hinein,
29,Gelber Sand,"Schaufelwerkzeuge, die häufig in Ufer- und Wüstengebieten zu finden sind, lassen sich schnell abbauen und sind Rohstoffe für die Verarbeitung von Quarzsand, der häufig zum Brennen von Glas verwendet wird",Häufig in #c0aba1d  #n und #c0aba1d Wüstengebieten #n
30,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
31,Solide Eisstacheln,"Die Eisstacheln sind ziemlich #c0aba1dstable#n. Stellen Sie sicher, dass Sie einen Helm tragen, wenn Sie in ihrer Nähe sind!",
32,Schwebende Eisstacheln,"Diese Eisstacheln sind sehr wahrscheinlich #c0aba1ddrop#n. Stellen Sie sicher, dass Sie einen Helm tragen, wenn Sie in ihrer Nähe sind!",
33,Gewöhnliches Kristallkernerz,Muss mit @item_11013# oder fortgeschritteneren gesammelt werden.,"Seltene Erze, die in den #c0aba1dSnow Berghöhlen#n des Eisfeldes und im #c0aba1dunderground#n des Regenwaldes vorkommen können."
34,Frostfeuer-Erz,"Erze, die eisige Kälte ausstoßen. Muss mit @item_11011# oder fortgeschritteneren gesammelt werden. Es wird die Umgebungstemperatur #c0aba1dlower#n.","Seltene Erze, die in den #c0aba1dSnow Berghöhlen#n des Eisfeldes vorkommen können."
35,Frostfeuer-Stein,Ein chilliger Block aus viel @item_11824#. Es wird #c0aba1dsignificantly die Umgebungstemperatur senken#n.,
36,Auffrischung des Höhleneingangs,,
37,Höhlentunnel-Auffrischung,,
38,Höhlenhöhle Auffrischung,,
39,Höhlenloch-Auffrischung,,
