角色ID,德语,德语,德语,德语,德语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Häuptling,"Der Häuptling eines primitiven Stammes, der gerne überall Abenteuer erlebt, um seine Ländereien zu erweitern.",Robustheit,Erhöhung des Basisschadens (nicht aktiviert),@Null@
2,Häuptling,"Der Häuptling eines primitiven Stammes, der gerne überall Abenteuer erlebt, um seine Ländereien zu erweitern.",Robustheit 1,Basisschaden + 5,@Null@
3,Häuptling,"Der Häuptling eines primitiven Stammes, der gerne überall Abenteuer erlebt, um seine Ländereien zu erweitern.",Robustheit 2,Basisschaden + 10,@Null@
4,Frau des Häuptlings,"Eine muskulöse, aber primitive Mutter, die ist gut jagen kann.",Jagd-Meister,Erhöhung des Jagdertrags (nicht aktiviert)  ,@Null@
5,Frau des Häuptlings,"Eine muskulöse, aber primitive Mutter, die ist gut jagen kann.",Jagd-Meister 1,25% höhere Chance auf doppelt so viele Gegenstände beim Besiegen von Monstern,@Null@
6,Frau des Häuptlings,"Eine muskulöse, aber primitive Mutter, die ist gut jagen kann.",Jagd-Meister 2,25%/15% höhere Chance auf doppelt so viele Gegenstände beim Besiegen von Monstern,@Null@
7,Kaka,Er wuchs in einem primitiven Stamm auf und hat Fähigkeiten zum Überleben in der Wildnis entwickelt.,Sturheit,Verringert erlittenen Fernschaden (nicht aktiviert),@Null@
8,Kaka,Er wuchs in einem primitiven Stamm auf und hat Fähigkeiten zum Überleben in der Wildnis entwickelt.,Sturheit 1,Verringert erlittenen Fernschaden um 20% ,@Null@
9,Kaka,Er wuchs in einem primitiven Stamm auf und hat Fähigkeiten zum Überleben in der Wildnis entwickelt.,Sturheit 2,Verringert erlittenen Fernschaden um 40% ,@Null@
10,Nini,"Die fleißige, primitive Schwester, die besonders aktiv bei der Arbeit ist.",Fleiß,Erhöht die Aufnahmegeschwindigkeit (nicht aktiviert),@Null@
11,Nini,"Die fleißige, primitive Schwester, die besonders aktiv bei der Arbeit ist.",Fleiß 1,Erhöht die Aufnahmegeschwindigkeit um 50%,@Null@
12,Nini,"Die fleißige, primitive Schwester, die besonders aktiv bei der Arbeit ist.",Fleiß 2,Erhöht die Aufnahmegeschwindigkeit um 100%,@Null@
13,Wildes Kind,Jede Familie hat ein wildes Kind. Warte! Was ist in der Hand?,Bombengenie,Verringert Explosionsschaden (nicht aktiviert),@Null@
14,Wildes Kind,Jede Familie hat ein wildes Kind. Warte! Was ist in der Hand?,Bombengenie 1,Verringert Explosionsschaden um 20%,@Null@
15,Wildes Kind,Jede Familie hat ein wildes Kind. Warte! Was ist in der Hand?,Bombengenie 2,Verringert Explosionsschaden um 40%,@Null@
16,Kapitän Tom,"Ein ehemaliger Soldat der Weltfriedenstruppen, der gut im Überleben auf dem Feld und Schießen ist.",Feldüberleben,Erhöht Nahrungseffekte und Wasseratmung (nicht aktiviert),Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
17,Kapitän Tom,"Ein ehemaliger Soldat der Weltfriedenstruppen, der gut im Überleben auf dem Feld und Schießen ist.",Feldüberleben 1,Sättigungs-/Heilungserholung und Wasseratmungszeit erhöht um 15%,Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
18,Kapitän Tom,"Ein ehemaliger Soldat der Weltfriedenstruppen, der gut im Überleben auf dem Feld und Schießen ist.",Feldüberleben 2,Sättigungs-/Heilungserholung und Wasseratmungszeit erhöht um 15%,Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
19,Agent Laura,"Die Göttin einer Sicherheitsfirma, die aufregende Abenteuer liebt.",Prophezeiung,Einmalig immun gegen tödlichen Schaden (nicht aktiviert),Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
20,Agent Laura,"Die Göttin einer Sicherheitsfirma, die aufregende Abenteuer liebt.",Prophezeiung 1,"Wenn der Schaden mehr als 45 Punkte beträgt und Tod verursacht, wird es sofort mit 25% des Gesundheitswerts regeneriert. Das Triggerintervall beträgt 5 Minuten.",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
21,Agent Laura,"Die Göttin einer Sicherheitsfirma, die aufregende Abenteuer liebt.",Prophezeiung 2,"Wenn der beschädigte Schaden größer als 25 Punkte ist und den Tod verursacht, wird es sofort mit einer Gesundheit von 50% regeneriert, und das Triggerintervall beträgt 3 Minuten.",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
22,Freche Cindy,Ein scharfsinniger Pilot des primitiven Archäologie-Teams.,Supersprung,Stärkt die Sprungfähigkeit. Sie kann einen Doppelsprung ab Level II ausführen (nicht aktiviert),Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
23,Freche Cindy,Ein scharfsinniger Pilot des primitiven Archäologie-Teams.,Supersprung 1,"Sprunghöhe + 50%, Fallschaden -10.",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
24,Freche Cindy,Ein scharfsinniger Pilot des primitiven Archäologie-Teams.,Supersprung 2,"Sprunghöhe + 50%, Fallschaden -20. Kann Doppelsprung ausführen.",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
25,Assistent Peter,Er tritt dem archäologischen Team für eine perfekte Abschlussarbeit bei.,Spürsinn,"Er hat eine Chance, beim Zerbrechen von Krügen verschiedene Gegenstände zu finden (nicht aktiviert)",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
26,Assistent Peter,Er tritt dem archäologischen Team für eine perfekte Abschlussarbeit bei.,Spürsinn 1,"Er hat eine Chance von 18%, beim Zerbrechen von Krügen seltene Materialien zu finden",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
27,Assistent Peter,Er tritt dem archäologischen Team für eine perfekte Abschlussarbeit bei.,Spürsinn 2,"Er hat eine Chance von 27%, beim Zerbrechen von Krügen mehr seltene Materialien und spezielle Würfel zu finden",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
28,Professor Stephen,Warum kommt ein alter Professor der Nationalen Akademie der Wissenschaften in dieses wilde Land?,Großes Lernen,"Er hat eine Chance, beim Graben von Steinen verschiedene Gegenstände zu finden (nicht aktiviert)",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
29,Professor Stephen,Warum kommt ein alter Professor der Nationalen Akademie der Wissenschaften in dieses wilde Land?,Großes Lernen 1,"Er hat eine Chance von 4%, seltene Erze und Materialien beim Graben von Steinen zu finden.",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
30,Professor Stephen,Warum kommt ein alter Professor der Nationalen Akademie der Wissenschaften in dieses wilde Land?,Großes Lernen 2,"Er hat eine Chance von 6%, beim Graben von Steinen mehr seltene Erze, Materialien und spezielle Würfel zu finden",Die Freischaltegegenstände können von Gartenfrüchten erhalten werden.
