ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Legen Sie die heilige Frucht,"Platz@item_587 #@1 auf dem Sockel des Lebens #r (""Sacred Fruit"" repräsentiert die brillanteste gentechnische Veränderung, die es je in ""The Past"" gab).",Platz@item_587 auf dem Lebensstein
1001002,Lege das flammende zerbrochene Schwert,"Place@item_588#@1 on the Courage Stone#r (""Flame Broken Sword"" steht für das Symbol der langjährigen Zusammenarbeit zwischen ""The Former"" und ""Black Dragon"").",Platz@item_588# auf dem Stein des Mutes
1001003,Legen Sie das Auge des Steinmannes,"Place@item_589#@1 on the Wisdom Stone#r (""The Eye of the Stone Man"" repräsentiert die künstliche Intelligenz, auf die ""The Old Man"" einst stolz war.)",Platz@item_589# auf dem Stein der Weisheit
1001004,Battle Void Phantom!,"Besiege das Phantom der Leere!#r (Es gibt kein Zurück mehr, für das Mini-Universum!)",Besiege das Phantom der Leere!
1001005,Kontakt mit der Leere,Get@item_11333##r (Dies ist... Ein Neuanfang?...),Get@item_11333#
1002001,Rückkehr zu Mira,"Schließlich kamen sie sicher auf dem Planeten an.#r aber als sie die Blockade der Sternenkette durchbrachen, wurde das gesamte Team aufgelöst. Ich weiß nicht, ob es noch andere Partner gibt, die auf dem Planeten angekommen sind?",Ankunft in Mira
1002002,Ich brauche ein paar Steine,"Collect@item_110# Get@item_11627#@1#r (langes Drücken des Steins zum Sammeln, Sie können auch das Bedienfeld öffnen, verarbeiten@item_104# get@item_11627# auf der Verarbeitungsschnittstelle)",Capture@item_110# Capture@item_11627#@1
1002003,Mehr Material,"Sammeln Sie Zweige, um@item_11006#@1#r zu erhalten (langes Drücken der Zweige zum Sammeln, einige Äste wachsen an einem relativ hohen Ort, was können Sie sich hochdrücken)",@item_11006#@1 aus dem Baum holen
1002004,Beginne ein gutes Leben ~,"Verwenden Sie@item_11627# und@item_11006#, um@item_11002#@1#r verarbeiten (praktische Werkzeuge können Ressourcen schneller sammeln)",Öffnen der Bedienfeldbearbeitung@item_11002#@1
1002005,Holzfäller,"Handheld@item_11002#, Koffer einsammeln! Holen Sie sich@item_11323#@1#r (@item_11323# ist entscheidend für die bevorstehende Reise)",Hackbäume Sammlung@item_11323#@1
1002006,Experte für Bauwesen,"Verwenden Sie@item_11323#, um@item_206#@1#r zu verarbeiten (außer@item_206# müssen die meisten Holzrequisiten@item_11323# verwenden, Sie können mehr sammeln)",Bearbeitung@item_206#@1
1002007,Ort zum Leben,"Place@item_206#@1#r (es scheint ein kaputtes Haus in der Nähe der Sternstation zu geben, die gerade gekommen ist, vielleicht kann es mit@item_206# repariert werden, so dass Sie sich keine Sorgen um das Wohnen machen müssen)",Ort@item_206#@1
1002008,Arm Yourself,"Use @item_11323# and @item_11627# to craft @item_12012#@1#r (Surviving in the wilderness can be dangerous, so having a handy weapon is essential!)",Craft @item_12012#@1
1002009,Tun Sie es!,Besiege jede Kreatur@1#r (Die beste Verteidigung ist der Angriff? Probiere die frisch hergestellte Waffe aus. Wie fühlt es sich an),Besiege jede Kreatur@1
1002010,Licht im Dunkeln!,"Verwenden Sie@item_11006# und@item_11226#, um@item_298#@1#r zu verarbeiten (Hinweis! Die kleine Fackel hat eine begrenzte Brenndauer und muss wiederhergestellt werden, wenn sie erloschen ist, aber es ist absolut kein Problem, als temporäres Beleuchtungswerkzeug zu fungieren)",Bearbeitung@item_298#@1
1002011,Lagerfeuer,"Verwenden Sie@item_298# zum Beleuchten@item_1200#@1#r (in dem kaputten Haus in der Nähe der Sternstation kann es fertige@item_1200# geben, oder Sie können es selbst bearbeiten).",Zünden@item_1200#@1
1002012,Handwerker,"Verwenden Sie@item_11323# und@item_11627#, um@item_800#@1#r (Handwerkertisch, ein Muss für Reisen und Zuhause! Wow ~ kann mehr Artikel verarbeiten)",Bearbeitung@item_800#@1
1002013,Ein Muss zum Überleben,"Verwenden Sie@item_12600# und@item_11226#, um@item_828#@1#r zu verarbeiten (Sie müssen@item_800# bei der Verarbeitung verwenden. Denken Sie nach der Verarbeitung daran,@item_828# an einem sicheren Ort abzulegen, wenn eine Bedrohung in der Nähe ist, können Sie nicht schlafen!)",Bearbeitung@item_828#@1
1002014,Erholen Sie sich gut,"Verwenden Sie@item_828# zum Schlafen#r (klicken Sie auf@item_828#, um sich hinzulegen, aber Sie können tagsüber nicht schlafen, Sie müssen bis zur Nacht warten. Die Nacht auf Mira beginnt um 20: 00 Uhr, achten Sie auf die Uhrzeit)",Klicken Sie auf das platzierte@item_828# sleep
1003001,"BBQ, duftend!","Legen Sie@item_12513# auf das Lagerfeuer und erhalten Sie@item_12514#@1#r (das meiste Fleisch, das von Tieren fallen gelassen wird, kann gebraten werden, und es ist auch sehr gefährlich, rohes Fleisch direkt in freier Wildbahn zu essen, bitte vor dem Verzehr braten!)","Verwenden Sie@item_1200#, um@item_12514#@1 zu erhalten"
1003002,Erobert vom Grillen,Essen Sie etwas@item_12514# gewinnen Sie Ihre Kraft zurück@1#r (fühlen Sie sich nach dem Essen voller Kraft!),Lebensmittel@item_12514#@1
1003003,Mineralische Nemesis,"Verarbeitung@item_11012##r mit@item_11627# und@item_11006# (mit@item_11012#, um Mineralien schneller zu sammeln, der Abbau mit leeren Händen ist zu schmerzhaft!)",Bearbeitung@item_11012#@1
1003004,Neue Energie?,"Halten Sie@item_11012# dig@item_402# get@item_11201#@1#r (@item_11201# ist der häufigste Schmelzbrennstoff auf Myra, sowohl über als auch unter der Erde, denken Sie daran, aufmerksam zu sein).",Erfassen@item_402#@1
1003005,Brandneue Mineralien!,"Handheld@item_11012# digging@item_451#@1#r (@item_451# ist auf Myra weit verbreitet, und es wird viel über und unter der Erde produziert)",Erfassen@item_451#@1
1003006,Schmelztisch-Prozessor,"Verwenden Sie@item_11226# und@item_101#, um@item_802#@1#r verarbeiten (mit@item_802# können Sie Metall schmelzen, es ist Zeit, das Werkzeug stündlich zu aktualisieren)",Bearbeitung@item_802#@1
1003007,Metal smelting: Brass,Use fuel to smelt @item_451# in @item_802# to refine @item_11329#@1#r (@item_11329# is a very basic metal with a wide range of uses. It can be used to upgrade tools to improve efficiency),Smelt to get @item_11329#@1
1003008,Mehr praktische Werkzeuge,"Verwenden Sie@item_11329# und@item_11006#, um@item_11011#@1#r zu verarbeiten (Sie müssen@item_800# bei der Verarbeitung verwenden. Mit@item_11011# kann die Abbaugeschwindigkeit nicht dieselbe sein!)",Bearbeitung@item_11011#@1
