签到类型/1七天 2每周 3国庆活动,天数/周几,德语,德语
SignInType,WhatDay,RewardName,RewardTips
1,1,Sonne & Regen Feuerwerk,Bitte überprüfe dein Paket
1,2,Speichern,Bitte überprüfe dein Paket
1,3,Sternen-Geschenkebox,Bitte überprüfe dein Paket
1,4,Kleiner Stern - Feuerwerk,Bitte überprüfe dein Paket
1,5,Sonne & Regen Feuerwerk,Bitte überprüfe dein Paket
1,6,Sternen-Geschenkebox,Bitte überprüfe dein Paket
1,7,Mini Geschenkpaket,Bitte überprüfe dein Paket
2,1,Eier-Wundertüte,Bitte überprüfe dein Paket
2,2,Verkleidungspaket,Bitte überprüfe dein Paket
2,3,Sternen-Geschenkebox,Bitte überprüfe dein Paket
2,4,Verkleidungspaket,Bitte überprüfe dein Paket
2,5,Sternen-Geschenkebox,Bitte überprüfe dein Paket
2,6,Mini Bohnen,Zum Konto hinzugefügt
2,7,Mini Bohnen,Zum Konto hinzugefügt
3,1,Sternen-Geschenkebox,Bitte überprüfe dein Paket
3,2,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,3,Transfer Schriftrolle,Bitte überprüfe dein Paket
3,4,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,5,Sternenfeuerwerk,Bitte überprüfe dein Paket
3,6,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,7,Mini Umkleide,Bitte überprüfe dein Paket
3,8,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,9,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,10,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,11,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,12,Verkleidungskarte,Bitte überprüfe dein Paket
3,13,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,14,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,15,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,16,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,17,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,18,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,19,Eine Tüte voller Mini-Bohnen,Bitte überprüfe dein Paket
3,20,Barett,Bitte überprüfe dein Paket
