ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,,,
1001,,,
1002,,,
1003,,,
1004,,,
1005,,,
1006,,,
1007,,,
1008,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,,,
1018,,,
1022,,,
1023,,,
1024,Drachentöter,Besiege den alten schwarzen Drachen auf dem Flamus @1,Besiege #cfa7a0furalten schwarzen Drachen
1025,,,
1026,,,
1027,,,
1028,,,
1029,,,
1030,,,
1031,,,
1032,,,
1033,,,
1034,,,
1035,,,
1036,,,
1037,,,
1038,,,
1039,,,
1040,,,
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,,,
1049,Rosa Trainer,"Verwenden Sie Gras- / Fleischfuttermittel oder Karottenfest, um zwei Tonton neben dem Heuhaufen zu füttern, so dass die Anzahl der Zuchttonton 200 @1 erreicht",Rasse #cfa7a0f Tonton
1050,Kuhhändler,"Verwenden Sie eine Handvoll Unkraut oder Grasfutter, um zwei Kühe neben dem Heuhaufen zu füttern, um 200 Kälber @1 zu züchten",Rasse #cfa7a0f Kuh
1051,Baa!,"Verwenden Sie eine Handvoll Unkraut oder Grasfutter, um zwei Lämmer neben dem Heuhaufen zu füttern, um es bis zu 200 Lambs @1 zu züchten",Rasse #cfa7a0f Schafe
1052,Beschwörung Küken,"Verwenden Sie Grasfutter, um zwei Hühner neben dem Hühnerstall zu füttern, so dass die Anzahl der Zuchthühner 200 @1 erreicht",Rasse #cfa7a0f Huhn
1053,Große Zuchtbasis,"Füllen Sie die Aufgabe automatisch aus, nachdem Sie die Vorgängeraufgabe abgeschlossen haben",Vervollständigen Sie die Errungenschaften #cfa7a0f Zucht
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,,,
1063,,,
1064,,,
1065,,,
1066,,,
1067,,,
1068,,,
1069,,,
1070,,,
1071,,,
1072,,,
1073,,,
1074,,,
1075,,,
1076,,,
1077,,,
1078,Gemeinsamer Feind der Goblins,Besiege 200 Speer Goblin @1,Besiege #cfa7a0fSpeer-Goblins
1079,Volksfeind des Erdkerns,Besiege 100 Fantom @1,Besiege #cfa7a0fEinwohner des Erdherzes
1080,Gemeinsamer Feind der Barbaren,Besiege 500 Boarman @1,Besiege Barbaren
1081,Boom Ei,Besiegte 200 Boomegg @1,Besiege #cfa7a0fBoom Eggs
1082,Allbekannt als Gott,"Füllen Sie die Aufgabe automatisch aus, nachdem Sie die Vorgängeraufgabe abgeschlossen haben",Beenden Sie alle #cfa7a0f Besiege Miras Monster Series Erfolge
1083,Hart arbeitender Minenarbeiter(I),Machen Sie 100 #L#cfa7a0f Stone Picketaxe #n@1#r (Steinspitzhaxe kann Eisenerz sammeln),Stelle #cfa7a0fsteinerne Spitzhacken her
1084,Hart arbeitender Minenarbeiter(II),Machen Sie 50 #L#cfa7a0f Eisen Picketaxe #n@1#r (Eisenspitzhaxe kann fortgeschrittene Minen sammeln),Stelle #cfa7a0feiserne Spitzhacken her
1085,Hart arbeitender Minenarbeiter(III),Machen Sie 20 #L#cfa7a0f-Diamantbohrer #n@1#r (der Diamantbohrer kann schwarzen Kristall sammeln),Stelle #cfa7a0fdiamantene Spitzhacken her
1086,Glas (I),Smelt 10 #L#cfa7a0f Glasblock #n@1,Schmelze #cfa7a0fGlas
1087,Glas (II),Smelt 500 #L#cfa7a0f Glasblock #n@1,Schmelze #cfa7a0fGlas
1088,Glas (III),Smelt 2000 #L#cfa7a0f Glasblock #n@1,Schmelze #cfa7a0fGlas
1089,Eisenbarren Sammler (I),Smelt 10 #L#cfa7a0f Eisen Ingot #n@1,Schmelze #cfa7a0fEisenbarren
1090,Eisenbarren Sammler (II),Smelt 100 #L#cfa7a0f Eisen Ingot #n@1,Schmelze #cfa7a0fEisenbarren
1091,Eisenbarren Sammler (III),Smelt 300 #L#cfa7a0f Eisen Ingot #n@1,Schmelze #cfa7a0fEisenbarren
1092,Diamantenmine (I),Mine 10 #L#cfa7a0f Diamanterz #n@1,Nutze #cfa7a0fDiamantenerze
1093,Diamantenmine (II),Mine 50 #L#cfa7a0f Diamanterz #n@1,Nutze #cfa7a0fDiamantenerze
