ID,名字,Desc
ID,Name,Desc
1053,,
1054,,
1055,,
1056,Bildschirm-Applikation,"Legen Sie fest, dass der Bildschirm des Charakters appliziert wird"
1057,Aktion stoppen,Lassen Sie die Figur beim aktuellen Frame anhalten
1058,Textur ändern,Ändern Sie die Textur des Charakters in ein Eismaterial
1059,Eis-Spezialeffekt,Fügen Sie dem Charakter Eis-Spezialeffekte hinzu
1060,Beenden Sie die Temperaturänderung,"Setze die Temperatur des Charakters auf @2, wenn der Status endet"
1061,Ende der Wiedergabe von Spezialeffekten und Soundeffekten,"Spielen Sie Spezialeffekte und Soundeffekte ab, wenn der Status endet"
1062,Die Temperatur beeinflusst die Dauer,Die Dauer des Status ändert sich aufgrund der Umgebungstemperatur
1063,"Entferne den Status, wenn du kumulativen Schaden erleidest","Der Status wird entfernt, wenn der kumulative Schaden @1 @2 erreicht"
1064,Temperatur im Laufe der Zeit ändern,Ändere die Temperatur des Charakters jeden @1s um @2
1065,Scheinbare Temperaturänderung,"Ändern Sie die Umgebungstemperatur, die sich auf den Charakter auswirkt, um @1"
1066,Änderung der Umgebungstemperatur,Erhöhen Sie die Umgebungstemperatur innerhalb von @1-Gittern um den Charakter um @2
1067,Blockkondensation und Schmelzen,"Lassen Sie Wasser innerhalb von @1-Gittern um die Figur herum gefrieren, mit einem Höhenunterschied von @2 Gittern oben und unten"
1068,Generieren Sie zufällig Blöcke in der Nähe,Erzeugen Sie innerhalb des zylindrischen Bereichs um den Spieler mit einem Radius von @1 und einer Höhe von @2 jeden @3s @4 auf der Oberseite eines zufälligen Blocks
1069,Den Angreifer in den Status versetzen.,"Bei @1 Angriff gibt es eine @2% ige Chance, dem Angreifer einen Zustand zu verleihen oder dem Angreifer den Zustand @3 zu geben."
1070,Die Multiplikatoren für die Erholungsmenge von Nahrungsmitteln werden verändert.,Die @2 Erholungsmenge von @1 Nahrungsmitteln wird um @3 erhöht.
