ID,名字,描述
ID,Name,Desc
1,Baby mount,Du kannst über einen gewissen Zeitraum ein Kind gebähren. Das Baby kann zu anderen Spielern innerhalb des Raumes gesendet werden.
2,Sprint,Die Laufgeschwindigkeit erhöht sich um 30% während des Aufladevorgangs.
3,Wasser-Gang,"Du kannst schnell über Wasser laufen, jedoch nicht auf dem Wasser springen."
4,Super Sprünge,Spezielle Flugfähigkeiten
5,Gleiten,Du kannst durch die Lüfte fliegen und gleiten
6,Lava-Gang,Du kannst auf Magma-Untergrund gehen.
7,Eile,"Drücke die ""Springen-Taste"" nach dem Sprung um zu sprinten."
9,Doppelbesteigung,"Du kannst 2 Fahrer mitnehmen. Lade deine Freunde ein, dich zu begleiten!"
10,Luftsprung,"Frei in die Luft springen, aber das wird Sie schneller fallen lassen als je zuvor."
11,Zäh,Habe mehr Gesundheitspunkte
12,Schweben,Schweben auf dem Wasser
13,Tauchen,Tauchen in das Wasser
14,Rauschen,"Drücken Sie die Sprungtaste im Wasser, um in aktuelle Richtung zu rauschen"
15,Robots Attack,Sprint and hit forward
16,Fusion Cannon,Fire the Cannon in straight lines
17,Bumblebee Slash,Sprint for a while
18,Herabstoßen,"Langes Drücken Sprung zu akkumulieren Macht. Es wird die Kreatur vor abzuzubremsen, wenn er landet."
19,Einschüchtern,"Langes Drücken Sprung zu akkumulieren Macht. Es wird die Kreatur voraus in kurzer Entfernung abstoßen, wenn sie landet."
20,Schweben,"In der Luft schweben und bewegen für eine kurze Strecke. Wird nicht verlieren HP, wenn es fällt."
21,Fliege,"Fliegen für eine Entfernung in der Luft. Wird nicht verlieren HP, wenn es fällt."
22,Doppelbesteigung,"Du kannst 2 Fahrer mitnehmen. Lade deine Freunde ein, dich zu begleiten!"
23,Energieschild,Generieren Sie ein Energieschild Sie und Ihre Freunde zu schützen.
24,Einzelmontage,Kann trägt einen Reiter
25,Luftalarm,"Fliegen für eine Entfernung in der Luft. Wird nicht verlieren HP, wenn es fällt."
26,Red Lightening,Sprint for a while
27,Fusion Laser,Fire the Cannon in straight lines
28,Inferno Feuer,"Klicken Sie auf [Angriff] Flamme zu schießen, einen brennenden Buff auf der Kreatur vor Ihnen zuzufügen"
29,Geist-Feuer,"Klicken Sie auf [Angriff] Flamme zu schießen, einen brennenden Buff auf der Kreatur vor Ihnen zuzufügen"
30,Flutter Flügel,"Lange drücken Sie [Jump] für eine kurze Strecke zu fliegen. Sie werden von HP nicht verlieren, wenn Sie fallen"
31,Spread-Flügel,"Lange drücken Sie [Jump] für eine lange Strecke zu fliegen. Sie werden von HP nicht verlieren, wenn Sie fallen"
32,Dragon Roar,Klicken Sie auf das Gebrüll. Verlangsamen Kreatur vor dir
33,Swift-Flügel,"Lange Presse Jump für eine kurze Strecke zu fliegen. Wird nicht HP verlieren, wenn sie fallen"
34,Knochen Sweep,"Klicken Sie Angriff auf den Schwanz zu schütteln, was zu drei Kreaturen Schaden im hinteren fächerförmigen Bereich"
35,Sternenlicht,"Shooting Stars nach oben für die Beleuchtung, CD 15er Jahre."
36,Mondlicht,"Lange Presse Jump für eine kurze Strecke zu fliegen. Wird nicht HP verlieren, wenn sie fallen"
37,Beeile dich,Führen Sie schnellen Vorlauf für eine Weile
38,Doppelbesteigung,"Du kannst 2 Fahrer mitnehmen. Lade deine Freunde ein, dich zu begleiten!"
39,oberhalb Schnee,"Schritt auf dem Schnee und zu Fuß in der Luft. Wird nicht HP verlieren, wenn sie fallen"
40,Tuk Tuk Gebühr,Hier können Sie die Autohupen verwenden und die Frontscheinwerfer des Autos blitzen
41,Great Harvest,"Bei Verwendung, throw Barren und Münzen in der Umgebung."
42,4 Man Carriage,Kann bis zu 4 Spieler tragen
43,Raum-Verzerrung,"Kann Flugzeit für eine festgelegte Strecke, fällt, wird keine Fallschäden verursachen halten."
44,Leviathan Insel,Kann in Wasser tauchen
45,Kraft des Stiers,"Langes Drücken Sprung zu akkumulieren Macht. Es wird die Kreatur vor abzuzubremsen, wenn er landet."
46,Schlagen des Stiers,"Langes Drücken Sprung zu akkumulieren Macht. Es wird die Kreatur voraus in kurzer Entfernung abstoßen, wenn sie landet."
47,flatternde Blossom,"Kann für eine bestimmte Strecke in der Luft gleiten, keinen Schaden bekommen, während fallen"
48,Scattering Swan,"Kann für eine bestimmte Strecke in der Luft gleiten, keinen Schaden bekommen, während fallen"
49,Blatt-Tanz,"Wenn es verwendet wird, aktiviert Blätter Effekt floating"
50,Sonnenrad,"Verwenden Sie einen sheild zu erhalten, die 20 Schaden absorbieren"
51,Gottes Ray,Verwenden Spieler Schaden um 5% zu erhöhen
52,magische Feuerwerk,"Nach dem Laden-Trigger, wenn Land nach Springen, wird ein Feuerwerk schießen um montieren und Musik abgespielt"
53,Glamorous Feuerwerk,"Nach dem Laden-Trigger, wenn Land nach Springen, wird ein Feuerwerk schießen um montieren und Musik abgespielt"
54,Aufladen,Ladung nach vorn
55,Wegstoßung,Ladung nach vorn und Wegstoßung Kreaturen vor Ihnen
56,Schweben,Bei der Verwendung der Halterung schwebt der Charakter vom Boden und der rotierende Schalleffekt des Propellers wird gleichzeitig automatisch abgespielt.
57,Low Gliding,"Glide in geringer Höhe für eine kurze Strecke, Jump-Taste gedrückt halten, während verhindert fällt selbst zu beschädigen"
58,hohe Gliding,"Glide in geringer Höhe für eine längere Strecke, Jump-Taste gedrückt halten, während verhindert fällt selbst zu beschädigen"
59,Lichter und Federn.,"Beschwören Sie 3 kleine Phantomschwäne, um die Halterung nach der Verwendung zu schwimmen"
60,Schwanensee,"Kann ins Wasser tauchen, um zu schwimmen"
61,Morgenflug,Kann für einen bestimmten Abstand in der Luft fliegen und wird während des Herbstes nicht gesund
62,Superlightwelle,Beim Bewegen emittiert es automatisch kühle Lichtwellen
63,Zerstörungstrahl,Beim Bewegen emittiert es automatisch eine kühle goldene rote Lichtwelle
64,Göttliche lichtwelle,Beim Bewegen emittiert es automatisch kühle Lichtwellen
65,Purifying Strahlen,Beim Bewegen emittiert es automatisch coole silberliorette Lichtwellen
66,Steigende Wolke,Kann in der Luft für eine kurze Entfernung schweben und wird während des Herbstes nicht entlüftet
67,Durchbruch,Kann für einen bestimmten Abstand in der Luft fliegen und nicht während des Herbstes deuert
68,Dimensionssprung.,"Erscheint 15 Blöcke in der spitzen Richtung, nachdem Sie die Fähigkeit verwendet haben"
69,Wirbelwind,Nach dem Gebrauch wird ein kleiner Tornado hinter dem Auto folgen
70,Magische Blase,Viele Blasen erscheinen im ganzen Körper.
71,Zephyrflügel.,Kann für einen bestimmten Abstand in der Luft fliegen und nicht während des Herbstes deuert
72,Magic Gush.,Der blaue Wasserfluss erscheint um Sie herum.
73,Miracle Tränen,Ein Energieschild kann gebildet werden.
74,Roter Leuchten,"Rotes Glühen, das sich um dich dreht."
75,Goldstrahl,"Goldene Bohne, der sich um dich dreht."
76,Blaues Glühen,"Blauer Schein, der sich um dich dreht."
77,Fallende Blütenblätter,"Kleine Blütenblätter, die um Sie herum fallen"
78,Schmetterling flattern.,"Schmetterlinge und Blumen, die um dich herum blühen"
