接口ID,德语,德语,德语,德语,德语,德语,德语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Spiel,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Beenden Sie das Spiel,local result = Game:doGameEnd()
10002,Spiel,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Setzen Sie das Attribut Skript für benutzerdefinierte,"local result = Game:setScriptVar(index, val)"
10003,Spiel,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Erhalten Sie Skript-Attribut für benutzerdefinierte,local result = Game:getScriptVar(index)
10004,Spiel,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Laden Sie das Attribut des Skripts,local result = Game:sendScriptVars2Client()
10005,Spiel,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Neue globale Wirkung,local result = Game:addRenderGlobalEffect(path)
10006,Spiel,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Klare globale Wirkung,local result = Game:removeRenderGlobalEffect(effectid)
10007,Spiel,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Stellen Sie die Position der globalen Wirkung,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Spiel,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Set globaler Zoom-Effekt,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Spiel,msgBox,Game:msgBox(msg),,,Nachrichtenbox,local result = Game:msgBox(msg)
20001,Welt,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Ob es Tag,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
