购买ID,道具ID,德语
ProductID,ID,Desc
1,24601,Verwendung nach Einkauf: Kann die meist Benutzerdefinierte DIY Skin für 30 Tage verwenden
4,12856,Verwendung nach Einkauf: Umbenennen einmal
8,12965,Enthält 3 Schriftrollen die dich sofort nachhause bringen können. Sehr komfortabel.
13,10025,"Enthält 3 Tickets, die sofort teleportieren zurück an die Heimat aktuellen Planeten genutzt werden kann, was sehr praktisch ist"
10,1055,"Kleiner Code Geben Sie den richtigen Code ein, den der Host zum Öffnen festgelegt hat."
11,1056,"Big Code Case, geben Sie den richtigen Code ein, den der Host zum Öffnen festgelegt hat."
5,845,Dem Hauseigentümer verpflichtet. Sehr hart. Abschreckend gegen Bären.
6,846,Dem Hauseigentümer verfplichtet. Groß und solide. Abschreckend gegen Bären.
2,12751,Feuern Sie nach der Verwendung ein Feuerwerk mit Gasapon-Muster in den Himmel (Kauf und erhalten Sie #c0AAAA1A Gasapon-Ticket * 1 #n)
3,12752,Feuern Sie nach der Verwendung ein Feuerwerk mit Obstmuster in den Himmel (Kauf und erhalten Sie #c0AAAA1A Event-Ticket * 1 #n)
7,12831,"Schieße Feuerwerk in den Himmel, um EXP-Tropfen zu bekommen!"
9,12750,Kann Feuerwerke mit einem Smile-Muster in den Himmel feuern. (Erlange 300 #c5aea0amini Bohnen#n für einen Kauf)
12,10023,Nach dem Gebrauch können Sie die Season Pass Punkte
