ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Aktueller globaler Wettermodus,Aktueller globaler Wettermodus,
100002,Entfernung von Ort zu Ort,Abstand zwischen%1 und%2,
100006,Die Position ist im Bereich Urteil,%1%2 in%3,
100007,Art des Blocks an der angegebenen Stelle,Blocktyp für%1,
100008,Position zu Position Orientierung,Richtung von%1 bis%2,
100009,Absolute triaxiale Koordinatenrichtung,"Ausrichtung von X%1, Y%2, Z%3",
10001,Standort in Bereich umwandeln,"Bereich der Größe (%2,%3,%4) mit%1 als Mittelpunkt",
100010,Absolute sphärische Koordinatenrichtung,"Azimut%1, Höhenrichtung%2",
100011,Standort,Position%1,
100012,Bereich,Bereich%1,
100013,Zeitschaltuhr,Zeitschaltuhr%1,
100014,Standortgruppe,Standortgruppe%1,
100015,Regionale Gruppe,Regionalgruppe%1,
100016,Timer-Gruppe,Timer-Gruppe%1,
100017,zufälliges Wetter,zufälliges Wetter,
100018,Wetter für Geländegruppen,Wetter für%1,
10002,Flächenversatz,"%1 Versatz entlang der Achse (%2,%3,%4)",
10003,Erweitern Sie das Gebiet,"Erweitern Sie die Größe der drei Achsen von%1 um X%2, Y%3 bzw. Z%4 Quadrate",
10005,Koordinatenposition angeben,Position des Koordinatenwerts X%1Y%2Z%3,
10006,Positionsverschiebung (ursprüngliche Position ändern),"%1 Versatz entlang der Achse (%2,%3,%4)",
10007,Zentrale Lage des Gebiets,Zentrale Lage von%1,
10008,Zufällige Lage in der Umgebung,Zufällige Position von%1,
10009,Timer-Zeit,%1 Mal,
10010,Geben Sie die Länge des Richtstrahls an,"Cast%3 Strahlen von%1 nach%2, wobei die Strahllänge zwischen dem Block und der Ausgangsposition zurückgegeben wird",
10011,String nähen,%1 und%2,
10012,Wert in String umwandeln,%1 in String konvertieren,
10015,Art des von einem Strahl getroffenen Quadrats,Art des durch das Abfeuern von%3 getroffenen Quadrats von%1 bis%2,
10016,Richtung relativ zum triaxialen Koordinatensystem,"Ausrichtung von X%2, Y%3, Z%4 gegenüber%1",
10017,Richtung relativ zum sphärischen Koordinatensystem,"Azimut%2 gegenüber%1, Höhenrichtung%3",
10018,Spieler-Objekt,%1 Objekt,
10019,Biologisches Objekt,%1 Objekt,
10020,Wurfobjekt,%1 Objekt,
10021,Objekt fallen lassen,%1 Objekt,
10022,Töne in Werte umwandeln,%1 in Wert umwandeln,
10024,Positionsversatz (ohne Änderung der ursprünglichen Position),"%1 Versatz entlang der Achse (%2,%3,%4)",
10025,Boolesch,Boolescher%1,
10026,numerischer Wert,Wert%1,
10027,Zeichenfolge,Zeichenfolge%1,
10028,Art des Aussehens,Erscheinungsbild Typ%1,
10029,Boolesche Wertegruppe,Boolesche Gruppe%1,
10030,Numerische Gruppe,Numerische Gruppe%1,
10031,String-Gruppe,String-Gruppe%1,
10032,Ermittelt die Anzahl der Werte in einer beliebigen Gruppe,Ermittelt die Anzahl der Medianwerte in%1,
10033,Ermittelt die Anzahl der beliebigen Werte in einer beliebigen Gruppe,Ermittelt die Anzahl von%2 in%1,
10034,Ermittelt die Nummer eines beliebigen Wertes in einer beliebigen Gruppe,Ermittelt die Anzahl von%2 in%1,
10035,Jedes Werturteil existiert in jeder Gruppe,%2 in%1,
10036,Jede Gruppe angegebene Zahl Existenz Werturteil,Wert existiert an Position Nummer%2 in%1,
10037,String abfangen,Abfangen%2-%3 Ziffern von%1,
10038,String in Wert umwandeln,%1 in Wert umwandeln,
10039,Zeit des Host-Geräts abrufen,Erhalten Sie die%1-Zeit des Geräts,
10040,Holen Sie sich die volle Host-Gerätezeit,Holen Sie sich die volle Gerätezeit,
10041,Zufälliger Blocktyp,Zufälliger Blocktyp,
10042,geteilte Schnur,"%1 teilen, bei%2 teilen, Segment%3 nach dem Teilen abschneiden",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Spieleserverzeit abrufen,%1 Zeit der Spielserverzeit abrufen,
10045,Zeitstempel in Zeiteinheit umwandeln,Zeitstempel%1 in%2 umwandeln,
10046,Erhalten Sie volle Serverzeit,Erhalten Sie volle Serverzeit,
10047,Zeitstempel in Vollzeit umwandeln,Zeitstempel%1 in Vollzeit umwandeln,
10048,Schnurlänge erhalten,Ermittelt die Länge von%1,
10049,Name des Statustyps,Typname für%1,
10050,Beschreibung des Zustandstyps,Plugin-Beschreibung für%1,
10051,Koordinaten vom Blocktyp abrufen,"Ermitteln Sie die nächstgelegenen%2-Koordinaten von%1, suchen Sie die XYZ-Achse nach einem Radius von%3-Quadraten",
10052,Rucksack-Stützstange,%1 erhalten,
10053,Tastenkombinationen,%1 erhalten,
10054,Spalte Ausrüstung,%1 erhalten,
10055,Blocktyp in Artikeltyp umwandeln,%1 konvertiert in den Artikeltyp,
10056,Artikeltyp in Blocktyp umwandeln,%1 in Blocktyp konvertieren,
10057,Aktuelle Zimmer-ID abrufen,Aktuelle Zimmer-ID abrufen,
1010001,Wetterwechsel,Wenn sich das Wetter ändert,"Das Wetter wechselt von sonnig zu regnerisch, wenn regnerisch zu sonnig"
1010002,Wenn sich das Wetter in der Geländegruppe ändert,Wenn sich das Wetter für das angegebene%1 ändert,"Gemeinsame Gruppe: Ebene / Wald / Klippe / Dschungel / Becken / leere Insel / Fluss; Ozeangruppe: Strand / Tiefsee / flaches Meer / Insel; Wüstengruppe: Wüste / Oase; gewöhnliche Kältezone: Nadelwald / Eisfeld; Spitzenkältezone: Eisberg; Vulkangruppe: Vulkan; Feuchtgebietsgruppe: Regenwald / Sumpf; flache, leere Insel"
1020001,Spielerstellung,Wenn das Spiel erstellt wird,"Nach dem Countdown zum Betreten des Spiels 3, 2, 1 ist vorbei, wenn das Spiel beginnt"
1020002,Spielzeit,Wenn die Spielzeit%1 beträgt,Wenn die aktuelle Spielzeit zum angegebenen Zeitpunkt liegt
1020003,Spiellaufzeit,Wenn das Spiel läuft%1 Sekunden,Nach dem Einstieg in das Spiel nach der angegebenen Zeit ausführen
1020004,Spieler gewinnt,Wenn der Spieler gewinnt,
1020005,Spieler scheitert,Wenn der Spieler scheitert,
1020007,Spieler betritt das Spiel,Wenn der Spieler das Spiel betritt,
1020008,Spieler verlässt das Spiel,Wenn der Spieler das Spiel verlässt,
1020009,Timer-Änderung,Wenn sich der Timer ändert,Wenn sich eine Zeitvariable in der Variablenbibliothek ändert
1020010,Timer-Änderung angeben,Wenn%1 sich ändert,Wenn sich die angegebene Zeitvariable in der Variablenbibliothek ändert
1020011,Wann immer das Spiel läuft (Schleife),Alle%1 Sekunde läuft das Spiel,"1. Der Mindestwert ist 0,05 Sekunden, 0.01-0 0,09 dauert 0,05
2. Das Spiel wird jedes Mal ausgelöst (Schleife), wenn es für eine bestimmte Zeit läuft"
1020012,Wenn der Cloud-Service-Raum eine Nachricht erhält,Wenn der Cloud-Serverraum Informationen erhält,
1020013,Sendung empfangen,"Wenn empfangen, Broadcast%1",
1020014,Bedingungen werden festgelegt,Wenn%1 eingerichtet ist,
1020015,Beim Platzieren von Blaupausen,Wenn die Blaupause platziert wird,
1020016,Wenn der Cloud-Serverraum die Server-Broadcast-Nachricht empfängt,Wenn der Cloud-Serverraum die Server-Übertragung%1 empfängt,
1030001,Spieler wird besiegt,Wenn der Spieler besiegt ist,
1030002,Wiederauferstehung des Spielers,Wenn der Spieler wiederbelebt wird,
1030003,Spieler-Attribute ändern,Wenn sich das Attribut%1 des Spielers ändert,"Wenn sich das Attribut eines Spielers, z. B. HP, ändert"
1030004,Spieler schlägt Ziel,Wenn der Spieler das Ziel besiegt,"Wenn ein Spieler einen anderen Spieler, eine Kreatur, besiegt. Der besiegte Spieler, die Kreatur ist der Zielspieler im Event, die Kreatur"
1030005,Spieler greift an,Wenn der Spieler zu attackieren beginnt,
1030006,Spieler-Angriff getroffen,"Wenn, Spieler, der Angriff zuschlägt","Wenn ein Spieler einen anderen Spieler, eine Kreatur, angreift und trifft. Der getroffene Spieler, die Kreatur ist der Zielspieler im Ereignis, die Kreatur"
1030007,Spieler verursacht Schaden,Wenn der Spieler Schaden anrichtet,"Wenn ein Spieler anderen Spielern oder Kreaturen Schaden zufügt. Der verletzte Spieler, die Kreatur ist der Zielspieler im Event, die Kreatur"
1030008,Spieler erleidet Schaden,Wenn der Spieler verletzt ist,
1030009,Bewegung des Spielers,Wenn der Spieler sich ein Feld entfernt,
1030010,Spieler verwenden animierte Ausdrücke,Wenn Spieler animierte Ausdrücke verwenden,
1030011,Spieler benutzen Gegenstände,Wenn Spieler Requisiten verwenden,
1030012,Spieler erhalten Gegenstände,Wenn der Spieler den Gegenstand erhält,
1030013,Spieler konsumiert Gegenstände,Wenn der Spieler Gegenstände konsumiert,
1030014,Spieler klickt auf Kreatur oder Spieler,"Wenn, Spieler, klicke auf Kreatur oder Spieler",
