ID,内容
ID,Content
1000000,Schlafen Sie nicht! Wachen Sie auf!
1000001,"Endlich bist du aufgewacht, puff! Es hat mich zu Tode erschreckt!"
1000002,"Es lief gut, aber eine große Menge an Leerer Kraft verdichtete sich plötzlich in der Sternenkette, bevor sie in Myra Star ankam!"
1000003,"Im Nu waren alle zerstreut. Im Moment scheint es, als hätten nur wir Myra kaum erreicht. Ich weiß nicht was mit den anderen passiert ist..."
1000004,Wie geht es Ihnen? Wir sollten zuerst den Status überprüfen.
1000011,"Sehen Sie sich das an, dieses Stück zeigt Gesundheitspunkte und Ausdauerwerte."
1000012,"Der rote zeigt Ihren aktuellen Gesundheitszustand an. Wenn er zu niedrig ist, wird er sehr gefährlich. Bitte achten Sie immer darauf!"
1000013,Die gelbe ist deine verbleibende körperliche Stärke.
1000014,"Wenn sie zu niedrig ist, wird sie sehr müde und die Effizienz sinkt. Sobald Sie in Gefahr geraten, können Sie überfordert sein, also achten Sie bitte immer darauf!"
1000021,"Unten befindet sich ein Bereich, der als ""Shortcut-Leiste"" bezeichnet wird. Wenn Sie auf diese Raster klicken, können Sie schnell zwischen den Gegenständen wechseln, die Sie in der Hand halten."
1000022,"Dein derzeitiger Zustand ist nicht sehr gut, lass uns etwas essen, um uns zu erholen!"
1000023,Klicken Sie auf das Gitter und halten Sie es in der Hand.
1000031,"Das untere Teil ist ein Bereich, der als ""Shortcut-Leiste"" bezeichnet wird. Sie können die Elemente in Ihrer Hand schnell wechseln, indem Sie die entsprechenden ""Zifferntasten"" drücken."
1000032,"Dein derzeitiger Zustand ist nicht sehr gut, lass uns etwas essen, um uns zu erholen!"
1000033,"Suchen Sie die entsprechende ""Zifferntaste"", um zu diesem Raster zu wechseln, und halten Sie sie in der Hand."
1000041,"Schau! Du hast das Essen! Halten Sie nun die ""Benutzungstaste"" gedrückt, um zu essen."
1000051,"Schau! Ich habe das Essen, buhehe. Jetzt lange die ""rechte Maustaste"" drücken, um zu essen."
1000061,"Es ist jetzt viel besser, lassen Sie uns unsere körperliche Verfassung überprüfen."
1000062,"Folgen Sie mir und gehen Sie zwei Schritte vorwärts. Klicken Sie auf den Joystick, um nach vorne zu drücken, und Sie können sich vorwärts bewegen."
1000063,"Kein Problem, vorwärts zu gehen, jetzt gehen wir ein bisschen zurück. Klicken Sie auf den Joystick, um zurück zu schieben, um zurück zu gehen."
1000064,"Gut, jetzt gehen wir nach links. Versuchen Sie, die Wippe nach links zu schieben."
