姓或形容词（在最前）,男人名字,女人名字
Surname,Male,Female
klug ,Paul,Sarah
fleißig,Bob,Clea  
mutig,Thomas,Greta  
aufrichtig,George,Kiana
gut aussehend,Ares,Lenia
ehrlich,Silas,Nora
wohlhabend ,Anton,Theresa
phantasievoll,Jakob,Eleonora 
reich,Finn,Leana
schlau,Aaron,Mia
enthusiastisch,Levi,Anna
aufgeschlossen,Jonas,Emilie
warmherzig,Leo,Lara
vergnügt,Luca,Abby
glücklich,Tim,Annie
stark,Julian,Emma
gutmütig,Niclas,Vicky
optimistisch,Philipp,Sally
gesund,Max,Jenna
neugierig,Noah,Laura
klug ,David,Linda
ingeniös,Jannick,Hanna
geschickt,Louis,Aria
geduldig,Liam,Alison
ernst,Milan,Haley
robust,Elias,Johanna
sportlich,Daniel,Maya
sanft,Alex,Lisa
humorisisch,Samuel,Sophia
bescheiden,Michael,Amy
charmant,Marcel,Elisabeth
rücksichtsvoll,Joris,Mina
energetisch,Patrick,Luna
gewissenhaft,Moritz,Sandra
kindlich,Emil,Katharian
gesetzt,Toblas,Charlotte
schweigsam,Simon,Pia
schüchtern,Florian,Nina
tapfer,Felix,Vanessa
tüchtig,Damian,Lena
gelehrig,Stefan,Alina
talentiert,Ben,Marie
subtil,Fabian,Jasmin
entschieden,Theo,Selina
,Joshua,Nele
,Markus,Mira
,Sebastian,Ava
,Robin,Melanie
,Oskar,Jessica
,Benjamin,Amelie
,Raphael,Olivia
,Matteo,Liya
,Peter,Ida
,Hans,Flora
,Klaus,Delia
,Harald,Charlin
,Ralf,Elvina
,Arvid,Tamia
,Arnold,Fiona
