keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Starten,"Hat eine 10%ige Chance, zu wegstoßen +"
5002,Starten,"Hat eine 20%ige Chance, weg zu stoßen +"
5003,Abschuss,"Hat eine Chance von 30%, wegzuschlagen +"
6001,Scharf,Nahkampfangriff+
6002,Scharf,Nahkampfangriff+
6003,Scharf,Nahkampfangriff+
7001,Menschlicher Jäger,Menschlicher Jäger+
7002,Menschlicher Jäger,Menschlicher Jäger+
7003,Menschlicher Jäger,Menschlicher Jäger+
8001,Beast Hunter,Beast Hunter +
8002,Beast Hunter,Beast Hunter +
8003,Beast Hunter,Beast Hunter +
9001,Elite Jäger,Elite Jäger +
9002,Elite Hunter,Elite Hunter +
9003,Elite Hunter,Elite Hunter +
10001,Brennend,Brennende Stufe
10002,Brennend,Brennende Stufe
10003,Brennend,Brennende Stufe
11001,Knockback-Distanz erhöht,Knockback-Distanz erhöht
11002,Knockback-Distanz erhöht,Knockback-Distanz erhöht
11003,Knockback-Distanz erhöht,Knockback-Distanz erhöht
12001,Glückliche Jagd,Glücksjagd-Level
12002,Glückliche Jagd,Glücksjagd-Level
12003,Glückliche Jagd,Glücksjagd-Level
13001,Kraftvoller Schuss,Schaden von Pfeil und Bogen+
13002,Kraftvoller Schuss,Schaden von Pfeil und Bogen+
13003,Kraftvoller Schuss,Schaden von Pfeil und Bogen+
14001,Unbegrenzte Schüsse,Unbegrenzte Schüsse
14002,Unbegrenzte Schüsse,Unbegrenzte Schüsse
14003,Unbegrenzte Schüsse,Unbegrenzte Schüsse
15001,Haltbarkeit,Langlebigkeit+
15002,Haltbarkeit,Langlebigkeit+
15003,Haltbarkeit,Langlebigkeit+
16001,Nahkampf-Resistenz,Nahkampfwiderstand+
16002,Nahkampf-Resistenz,Nahkampfwiderstand+
16003,Nahkampf-Resistenz,Nahkampfwiderstand+
17001,Fernkampfwiderstand,Fernkampfwiderstand+
17002,Fernkampfwiderstand,Fernkampfwiderstand+
17003,Fernkampfwiderstand,Fernkampfwiderstand+
18001,Explosionsschutz,Explosionswiderstand+
18002,Explosionsschutz,Explosionswiderstand+
18003,Explosionsschutz,Explosionswiderstand+
19001,Beständigkeit gegen Brennen,Beständigkeit gegen Verbrennung+
19002,Beständigkeit gegen Brennen,Beständigkeit gegen Verbrennung+
19003,Beständigkeit gegen Brennen,Beständigkeit gegen Verbrennung+
20001,Giftresistenz,Giftresistenz+
20002,Giftresistenz,Giftresistenz+
20003,Giftresistenz,Giftresistenz+
21001,Chaos-Resistenz,Chaos-Widerstand+
21002,Chaos-Resistenz,Chaos-Widerstand+
21003,Chaos-Resistenz,Chaos-Widerstand+
22001,Gegenangriff,"Hat eine 15% Chance, Nahkampfeinheiten zurückzuschlagen. +"
22002,Counterstrike,"Hat eine 30% Chance, Nahkampfeinheiten mit einem Gegenangriff zu kontern + Gegenangriff."
22003,Konterstoß,"Hat eine 45% Chance, Nahkampfeinheiten mit einem Gegenangriff zu kontern. +"
23001,Zurückstoßdistanz reduziert,Reduzierte Zurückstoßdistanz
23002,Zurückschlag-Distanz verringert,Abstand des Zurückschlagens reduziert
23003,Verringerte Zurückstoß-Distanz,Reduzierte Zurückstoß-Distanz
24001,Vollständige Akquisition,Vollständige Akquisition
24002,Vollständige Akquisition,Vollständige Akquisition
24003,Vollständige Akquisition,Vollständige Akquisition
25001,Grabungsgeschwindigkeit,Grabungsgeschwindigkeit +
25002,Grabungsgeschwindigkeit,Grabungsgeschwindigkeit +
25003,Grabungsgeschwindigkeit,Grabungsgeschwindigkeit +
26001,Glückliches Graben,Glückliches Graben Level
26002,Glückliches Graben,Glückliches Graben Level
26003,Glückliches Graben,Glückliches Graben Level
27001,Explosions-Schuss,Explosionsschuss+
27002,Explosions-Schuss,Explosionsschuss+
27003,Explosions-Schuss,Explosionsschuss+
28001,Drachensturz,Fallschaden-
28002,Drachensturz,Fallschaden-
28003,Drachensturz,Fallschaden-
29001,Speer-Goblin,Speer-Goblin+
29002,Speer-Goblin,Speer-Goblin+
29003,Speer-Goblin,Speer-Goblin+
30001,Abfahrt (Beinschienen),"Hocken in der Luft, Fallgeschwindigkeit +"
30002,Abfahrt (Beinschienen),"Hocken in der Luft, Fallgeschwindigkeit +"
30003,Abfahrt (Beinschienen),"Hocken in der Luft, Fallgeschwindigkeit +"
31001,Klettern an der Wand (Schuhe),"Aktivieren Sie das Klettern an der Wand, aber Geschwindigkeit"
31002,Klettern an der Wand (Schuhe),"Aktivieren Sie das Klettern an der Wand, aber Geschwindigkeit"
31003,Klettern an der Wand (Schuhe),"Aktivieren Sie das Klettern an der Wand, aber Geschwindigkeit"
32001,Bluten,Beschnitt-Pegel
32002,Bluten,Beschnitt-Pegel
32003,Bluten,Beschnitt-Pegel
33001,Blitz-Peitsche,Blitzpeitsche Stufe 1
33002,Blitz-Peitsche,Blitzpeitsche Lvl 2
33003,Blitz-Peitsche,Blitzpeitsche Lvl 3
34003,Blitz-Peitsche,Blitzpeitsche Stufe 4
35003,Blitz-Peitsche,Blitzpeitsche Stufe 5
36001,Glückliches Angeln,Glückliches Angellevel
36002,Glückliches Angeln,Glückliches Angellevel
36003,Glückliches Angeln,Glückliches Angellevel
37001,Kältebeständig,Kältebeständig+
37002,Kältebeständig,Kältebeständig+
37003,Kältebeständig,Kältebeständig+
38001,Frostbeständigkeit,Frostschutz+
38002,Frostbeständigkeit,Frostschutz+
38003,Frostbeständigkeit,Frostschutz+
39003,Werkzeug-Segen,Werkzeug-Segen
40003,Waffensegen,Waffensegen
41003,Segen der Ausrüstung,Segen der Ausrüstung
42001,Eisschaden,Eisschadensstufe
42002,Eisschaden,Eisschadensstufe
42003,Eisschaden,Eisschadensstufe
43001,Bonus Nahkampf-Physischer Schaden,Nahkampf-Physischer Schaden +
43002,Bonus-Nahkampfschaden,Nahkampfschaden +
43003,Bonus Melee Physical Damage,Nahkampfschaden + Bonus Nahkampfschaden
44001,Durchhaltevermögen,Schadensreduzierung +
44002,Durchhaltevermögen,Schadensreduzierung +
44003,Durchhaltevermögen,Schadensreduzierung +
45001,Fernkampfschutz,Fernkampfschaden -
45002,Schutz vor Fernkampfangriffen,Physische Fernkampfschaden -
45003,Fernkampfschutz,Fernkampfschaden -
46001,Blastschaden,Blastschaden -
46002,- Explosivschaden,Blastschaden -
46003,Explosionsbeschädigung,Explosionsschaden -
47001,Resilienz-Wiederherstellungsgeschwindigkeit,Resilienz-Wiederherstellungsgeschwindigkeit +
47002,Resilienz-Wiederherstellungsgeschwindigkeit,Resilienz-Wiederherstellungsgeschwindigkeit +
47003,Resilienzwiederherstellungsgeschwindigkeit,Resilienzwiederherstellungsgeschwindigkeit +
48001,Hoch springen,Sprungfähigkeit +
48002,Hoch springen,Sprungfähigkeit +
48003,Hochsprung,Sprungkraft +
49001,Transformieren,Feindliche Transformation Chance +
49002,Transformieren,Feindliche Transformationschance +
49003,Transform,Feindliche Transformationschance +
50001,Haltbarkeitsschutz,Chance of Not to Lose Durability +
50002,Haltbarkeitsschutz,Chance of Not to Lose Durability +
50003,Haltbarkeitsschutz,Chance of Not to Lose Durability +
51001,Schnellangeln,Fanggeschwindigkeit +
51002,Schnelles Angeln,Fischgeschwindigkeit+
51003,Schnelles Angeln,Fischereigeschwindigkeit +
52001,Verlangsamung,Chance to Slow Enemy +
52002,Verlangsamen,Chance to Slow Enemy +
52003,Verlangsamung,Chance to Slow Enemy +
53001,Digging Stamina reduced,Graben Ausdauer reduziert.
53002,Grabenausdauer reduziert,Ausdauer beim Graben verringert
53003,Digging Stamina reduced,Graben Ausdauer verringert.
54001,Meteoritenfall,Meteoritenfall
