ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Panda,"Ein kalter, zurückgezogener Panda Junge der Bambus mag!",Die Verkleidungskarte kann im Obstgarten erlangt werden.,Fußabdruck: Panda-Fußabdrücke,Avatar: Pandaa's Avatar freischalten,@Null@,,,
2,Kleiner Affenkönig,In limitierter Auflage auf dem Frühlingsfest im Jahr des Affen erhältlich. Der kleine Affenkönig lädt dich ein das Frühlingsfest zu feiern.,Die Verkleidungskarte kann im Obstgarten erlangt werden.,Fußabdruck: Hinterlässt Glückswolken wo immer es vorbeikommt,Avatar: King's Avatar freischalten,@Null@,,,
3,Bunny Beauty,Ein süßes Häschen. Sie hinterlässt ihre Fußspuren wo immer sie läuft.,Die Verkleidungskarte kann im Obstgarten erlangt werden.,Fußabdruck: Radieschen Fußabdrücke,Avatar: Beauty's Avatar freischalten,@Null@,,,
4,Misra,Sei vorsichtig mit Misra in der prähistorischen Welt!,Die Verkleidungskarte kann im Obstgarten erlangt werden.,Fußabdruck: Dinosaurier-Fußabdrücke,Avatar: Misra's Avatar freischalten,@Null@,,,
5,Kellnerin Sweety,Ding! Herzlich Willkommen im Meow Café!,Das Freischaltungstool kann im Obstgarten erlangt werden.,Fußabdruck: Katzenpfotenabdrücke,Avatar: Sweety's Avatar freischalten,@Null@,,,
6,George,Ein Sunnyboy der Sport und Musik mag.,Das Freischaltungstool kann im Obstgarten erlangt werden.,Fußabdruck: Blaue Liebesherzen,Avatar: George's Avatar freischalten,@Null@,,,
7,Anny,"Ein energiegeladenes Mädchen, die das Tanzen und Nachspeisen liebt.",Das Freischaltungstool kann im Obstgarten erlangt werden.,Fußabdruck: Rote Liebe,Avatar: Anny's Avatar freischalten,@Null@,,,
8,Mohist Xiaofei,Ein Mitglied der uralten Mohist Schule. Ein Maschinen-Meister.,@Null@,Fußabdruck: Die Schwingen des Windes,Avatar: Xiaofei's Avatar freischalten,Spezielle Flugaktivitäten im Erstellungsmodus,Modus-Flugeffekte erstellen,,
9,Dracula VI,"Erhält den ersten Biss, düster und elegant.",Das Freischaltungstool kann im Obstgarten erlangt werden.,Spezial Körpereffekt: Gestattet Blutdunst und schwarze Fledermäuse,Avatar: Vi's Avatar freischalten,@Null@,,,
10,Jingle Deer,"Ein süßes, freches, kleines Reh das im Weihnachtstal lebt.",@Null@,Spezial Körpereffekt: Gestattung von Weihnachtsstimmung,Avatar: Jingle Deer's Avatar freischalten,Fußabruck: Hinterlässt Christmas Deer Fußabdrücke wo immer es lang läuft,,,
11,HethHunterSnow,Ödland-HeathHunterSnow kommt aus der Polarregion. Adler sind seine Freunde.,@Null@,Spezial Körpereffekt: Umrahmt mit kalten Schneeflocken,Avatar: Snow's Avatar freischalten,Fußabdruck: Schneeball-Fußabdrücke werden hinterlassen wo immer er geht,,,
12,Yuji,Eine Fee fällt aus dem Himmel in die säkulare Welt und trifft womöglich Murong.,@Null@,Spezial Körpereffekt: Blütenblätter fliegen umher,Avatar: Yuji's Avatar freischalten,@Null@,,,
13,Murong,"Ein Einsiedler, der draußen in den Bergen praktiziert und vielleicht auf Delilah trifft.",@Null@,Spezial Körpereffekt: Kräftiger Atem,Avatar: Murong's Avatar freischalten,Fußabruck: Hinterlasse Fußabdrücke an den Orten an denen du gehst,,,
14,Joey,"Tut mir leid, vielleicht gefällst du meinen Kugeln nicht.",@Null@,Spezial Körpereffekt: Mit Rauch und Staub umhüllter Cowboy,Avatar: Joey's Avatar freischalten,Fußabdruck: Polizeistern-Fußabdrücke,,,
15,Lucas,Super Basketball IQ. Perfekte Position am Spielfeld. Großartige Art den Ball im Korb zu versenken. Er ist der wertvollste Spieler des Spiels.,@Null@,@Null@,Avatar: Lucas's Avatar freischalten,Fußabdruck: Basketball-Fußabdrücke,,,
16,Clair,"Wie Lucas. Sie ist so zauberhaft, dass sie jedem den Kopf verdreht.",@Null@,@Null@,Avatar: Cheerleader's Avatar freischalten,Fußabdruck: Schleifen-Fußabdrücke,,,
17,Rose,Würde sich mir irgendjemand auf der Reise zu fernen Regionen anschließen?,@Null@,Spezial Körpereffekt: Mit roten Herzen umrahmt,Avatar: Rose's Avatar freischalten,@Null@,,,
