ID,名字,描述
ID,Name,Desc
1001,Probenbewegungsgeschwindigkeit,@Null@
1002,Probenbewegungsgeschwindigkeit,@Null@
1003,Probenbewegungsgeschwindigkeit,@Null@
2001,Probengrabgeschwindigkeit,@Null@
3001,Slowly Life Recovery (LV.1),Stellt alle 4 Sekunden 5KP wieder her
3002,Slowly Life Recovery (LV.2),Stellt alle 2 Sekunden 5KP wieder her
3003,Slowly Life Recovery (LV.1),Stellt pro Sekunde 5KP wieder her
4001,Sprint (LV.1),Sprinferndrehzahl erhöhen um 25%
4002,Sprint (LV.2),Erhöhen Sie die Sprintergeschwindigkeit um 50%
4003,Sprint (LV.3),Erhöhen Sie die Sprintsgeschwindigkeit um 75%
4004,Sprint (LV.4),Erhöhen Sie die Sprintsgeschwindigkeit um 75%
5001,Schnelles Schwimmen (LV.1),Schwimmgeschwindigkeit wird um 20% erhöht
5002,Schnelles Schwimmen (LV.2),Schwimmgeschwindigkeit wird um 50% erhöht
5003,Schnelles Schwimmen (LV.3),Schwimmgeschwindigkeit wird um 75% erhöht
6001,Hoch springen (LV.1),Springe höher.
6002,Hoch springen (LV.2),Springe höher.
6003,Hoch springen (LV.3),Spring höher. Aber pass auf deine Beine auf!
6004,Hoch springen (LV.4),Spring höher. Aber pass auf deine Beine auf!
6005,Verbesserter Parkour,"Die Basisgeschwindigkeit wurde um 90%erhöht, der Sprung um 25."
7001,Verrücktes Graben (LV.1),Grabgeschwindigkeit wird um 20% erhöht
7002,Verrücktes Graben (LV.2),Grabgeschwindigkeit wird um 40% erhöht
7003,Verrücktes Graben (LV.3),Grabgeschwindigkeit wird um 60% erhöht
8001,Langsam (LV.1),Sprinting-Geschwindigkeit verringert um 25%.
8002,Langsam (LV.2),Sprintsgeschwindigkeit verringert sich um 50%.
8003,Langsam (LV.3),Sprintsgeschwindigkeit verringert sich um 75%.
9001,Grabmüdigkeit (LV.1),Grabgeschwindigkeit wird um 20% verringert
9002,Grabmüdigkeit (LV.2),Grabgeschwindigkeit wird um 50% verringert
9003,Grabmüdigkeit (LV.3),Grabgeschwindigkeit wird um 75% verringert
10001,Schadensabsorption (LV.1),Investiere 2 Lebenspunkte um den Schaden zu absorbieren.
10002,Schadensabsorption (LV.2),Investiere 4 Lebenspunkte um den Schaden zu absorbieren
10003,Schadensabsorption (LV.3),Investiere 6 Lebenspunkte um den Schaden zu absorbieren
11001,Kritischer Streik (LV.1),Der Schaden nach einem kritischen Treffer erhöht sich um 25%
11002,Kritischer Streik (LV.2),Der Schaden nach einem kritischen Treffer erhöht sich um 50%
11003,Kritischer Streik (LV.3),Der Schaden nach einem kritischen Treffer erhöht sich um 75%
12001,Kraftvoller Rückstoß (LV.1),Die Rückschlagdistanz erhöht sich um 2 Meter.
12002,Kraftvoller Rückstoß (LV.2),Die Rückschlagdistanz erhöht sich um 4 Meter.
12003,Kraftvoller Rückstoß (LV.3),Die Rückschlagdistanz erhöht sich um 6 Meter.
13001,Rückstoßfestigkeit (LV.1),Senkt die Rückschlagdistanz um 1 m.
13002,Rückstoßfestigkeit (LV.2),Senkt die Rückschlagdistanz um 2 m.
13003,Rückstoßfestigkeit (LV.3),Senkt die Rückschlagdistanz um 3 m.
14001,Glückliches Graben (LV.1),Erhöht die Chance auf einen speziellen Tropfen um 1%.
14002,Glückliches Graben (LV.2),Erhöht die Chance auf einen Sonderfall um 2%.
14003,Glückliches Graben (LV.3),Erhöht die Chance auf einen Sonderfall um 3%.
15001,Glücksjagd (LV.1),Die Möglichkeit eines speziellen Tropfens erhöht sich um 1%.
15002,Glücksjagd (LV.2),Die Möglichkeit eines speziellen Tropfens erhöht sich um 2%.
15003,Glücksjagd (LV.3),Die Möglichkeit eines speziellen Tropfens erhöht sich um 3%.
16001,Nachtsicht (LV.1),Nacht Sichtbarkeit erhöht um 20
16002,Nachtsicht (LV.2),Night Sichtbarkeit steigen um 40
16003,Nachtsicht (LV.3),Nacht Sichtbarkeit erhöht um 50
16004,Nachtsicht (LV.4),Nacht Sichtbarkeit erhöht um 60
16005,Nachtsicht 5,Die Helligkeit des Sichtfeldes wird 50 erhöht.
17001,Mächtiger Angriff (LV.1),Der Nahkampfschaden erhöht sich um 25%.
17002,Mächtiger Angriff (LV.2),Der Nahkampfschaden erhöht sich um 50%.
17003,Mächtiger Angriff (LV.3),Der Nahkampfschaden erhöht sich um 75%.
18001,Kraftvoller Schuss (LV.1),Der Fernschaden erhöht sich um 25%.
18002,Kraftvoller Schuss (LV.2),Der Fernschaden erhöht sich um 50%.
18003,Kraftvoller Schuss (LV.3),Der Fernschaden erhöht sich um 75%.
19001,Mächtige Explosion (LV.1),Der Explosionsschaden erhöht sich um 25%.
19002,Mächtige Explosion (LV.2),Der Explosionsschaden erhöht sich um 50%.
19003,Mächtige Explosion (LV.3),Der Explosionsschaden erhöht sich um 75%.
20001,Flammenschlag (LV.1),Der Flammenschaden erhöht sich um 100%.
21001,Giftangriff (LV.1),Der Giftschaden erhöht sich um 100%.
22001,Chaosangriff (LV.1),Chaosschaden um 100% erhöht.
23001,Elite-Jäger Level 1,Eine Erhöhung des Schadens gegen Eliten um 25%.
23002,Elite-Jäger Level 2,Der Schaden gegenüber Eliten erhöht sich um 50 %.
23003,Elite Jäger Stufe 3,Erhöhung des Schadens gegen Elite um 75 %.
24001,Wildjäger Stufe 1.,Erhöht den Schaden gegen Tiere um 25%.
24002,Wildjäger Stufe 2.,Erhöht den Schaden gegen Tiere um 50%.
24003,Wildjäger Stufe 3.,Erhöht den Schaden gegen wilde Tiere um 75%.
25001,Menschlicher Jäger (LV.1),Der Schaden durch Dunkelheit erhöht sich um 25%.
25002,Menschlicher Jäger (LV.2),Der Schaden durch Dunkelheit erhöht sich um 50%.
25003,Menschlicher Jäger (LV.3),Der Schaden durch Dunkelheit erhöht sich um 75%.
26001,Nahkampfabwehr (LV.1),Verringert Nahkampfschaden um 25%
26002,Nahkampfabwehr (LV.2),Verringert Nahkampfschaden um 50%
26003,Nahkampfabwehr (LV.3),Verringert Nahkampfschaden um 75%
27001,Fernverteidigung (LV.1),Verringert Nahkampfschaden um 25%
27002,Fernverteidigung (LV.2),Verringert Nahkampfschaden um 50%
27003,Fernverteidigung (LV.3),Verringert Nahkampfschaden um 75%
28001,Explosionsschutz (LV.1),Verringert Nahkampfschaden um 25%
28002,Explosionsschutz (LV.2),Verringert Nahkampfschaden um 50%
28003,Explosionsschutz (LV.3),Verringert Nahkampfschaden um 75%
29001,Brennwiderstand (LV.1),Verringert Nahkampfschaden um 25%
29002,Brennwiderstand (LV.2),Verringert Nahkampfschaden um 50%
29003,Brennwiderstand (LV.3),Verringert Nahkampfschaden um 75%
30001,Giftresistenz (LV.1),Verringert den Giftschaden um 25%
30002,Giftresistenz (LV.2),Verringert den Giftschaden um 50%
30003,Giftresistenz (LV.3),Verringert den Giftschaden um 75%
31001,Chaos Widerstand (LV.1),Dunklen Schaden um 25% reduzieren
31002,Chaos Widerstand (LV.2),Dunklen Schaden um 50% reduzieren
31003,Chaos Widerstand (LV.3),Reduzieren Sie den dunklen Schaden um 75%
32001,Fallschutz (LV.1),Verringert den Sturzschaden um 25%.
32002,Fallschutz (LV.2),Verringert den Sturzschaden um 50%.
32003,Fallschutz (LV.3),Verringert den Sturzschaden um 75%.
33000,Brandstufe 0,Verursacht alle 1 Sekunde 3 Schadenspunkte.
33001,Im Feuer gefangen (LV.1),Verursacht 5 Schaden pro Sekunde.
33002,Im Feuer gefangen (LV.2),Verursacht 10 Schaden pro Sekunde.
33003,Im Feuer gefangen (LV.3),Verursacht 15 Schaden pro Sekunde.
33004,Im Feuer gefangen (LV.4),Verursacht 20 Schaden pro Sekunde.
33005,Im Feuer gefangen (LV.5),Verursacht 25 Schaden pro Sekunde.
34001,Vergiftet (LV.1),Verursacht alle 1 Sekunde 5 Schadenspunkte.
34002,Vergiftet (LV.2),Verursacht alle 1 Sekunde 10 Schadenspunkte.
34003,Vergiftet (LV.3),Verursacht alle 1 Sekunde 15 Schadenspunkte.
35001,Dunkelheit (LV.1),Verursacht alle 2 Sekunden 10 Schadenspunkte.
35002,Dunkelheit (LV.2),Verursacht alle 2 Sekunden 10 Schadenspunkte.
35003,Dunkelheit (LV.3),Verursacht alle 2 Sekunden 10 Schadenspunkte.
36001,Lebensmittelvergiftung (LV.1),"Sie fühlen sich mehr Hunger, und Ihre Hungergeschwindigkeit steigt um 25%."
36002,Lebensmittelvergiftung (LV.2),"Sie fühlen sich mehr Hunger, und Ihre Hungergeschwindigkeit steigt um 50%."
36003,Lebensmittelvergiftung (LV.3),"Sie fühlen sich mehr Hunger, und Ihre Hungergeschwindigkeit steigt um 75%."
37001,Junior Unterwasseratem,Kann unter Wasser atmen!
37002,Zwischenatemzug unter Wasser,Kann unter Wasser atmen!
37003,Überlegener Unterwasseratem,Kann unter Wasser atmen!
38001,Schwindelig! (LV.1),"Oh, ich fühle mich, als würde ich fliegen"
38002,Schwindelig! (LV.2),"Oh, ich fühle mich, als würde ich fliegen"
38003,Schwindelig! (LV.3),"Oh, ich fühle mich, als würde ich fliegen"
39001,Sturm! (LV.1),Geschenk von Silvester-Großvater!
39002,@Null@,@Null@
39003,@Null@,@Null@
40001,Ich bin vergrößert! (LV.1),Die Welt scheint zu schrumpfen!
40002,@Null@,@Null@
40003,@Null@,@Null@
41001,Ich bin reduziert! (LV.1),Die Welt scheint sich zu erweitern!
41002,@Null@,@Null@
41003,......,@Null@
42001,Blase (LV.1),"Eingehüllt in eine Blase, fühle ich mich leicht wie eine Feder."
42002,Blase (LV.2),"Eingehüllt in eine Blase, fühle ich mich leicht wie eine Feder."
42003,Blase (LV.3),"Eingehüllt in eine Blase, fühle ich mich leicht wie eine Feder."
43001,Sprungkraft (LV.1),Aufprall
43002,@Null@,@Null@
43003,@Null@,@Null@
44001,Bienengift (LV.1),Kontinuierliche Vergiftung. Eine Kopfschwellung.
44002,@Null@,@Null@
44003,@Null@,@Null@
45001,Gefroren (LV.1),Frostbiss verlangsamt dich.
45002,Gefroren (LV.2),Frostbiss verlangsamt dich.
45003,Gefroren (LV.3),Frostbiss verlangsamt dich.
46001,Verwurzelt (LV.1),"Du hast das Gefühl, dass dein Fuß verwurzelt ist und du Schaden davon bekommst."
46002,@Null@,@Null@
46003,@Null@,@Null@
47001,Brennen (LV.1),"Hmmm, riecht nach Grill, Aua, es tut weh!"
47002,Brennen (LV.2),"Hmmm, riecht nach Grill, Aua, es tut weh!"
47003,@Null@,@Null@
48001,@Null@,@Null@
48002,@Null@,@Null@
48003,@Null@,@Null@
49001,@Null@,@Null@
49002,@Null@,@Null@
49003,@Null@,@Null@
50001,Fast Life Recovery (LV.1),Stellt 15 KP über 5 Sek. wieder her
50002,Fast Life Recovery (LV.2),Stellt 30 KP über 5 Sek. wieder her
50003,Fast Life Recovery (LV.3),Stellt 40 KP über 5 Sek. wieder her
50004,Fast Life Recovery (LV.4),Stellt 50 KP über 5 Sek. wieder her
51001,Fast Life Recovery (LV.5),Stellt 75 KP über 30 Sek. wieder her
51002,Fast Life Recovery (LV.2),Stellt 60 KP über 12 Sek. wieder her
52001,Geheimnisvolle Kraft von Red MushroomFast Life Recovery (LV.1),Erholen Sie 5 PS pro Sekunde
52002,Geheimnisvolle Kraft des roten Pilzes (LV.2),5 PS pro Sekunde verlieren
52003,@Null@,@Null@
53001,Geheimnisvolle Kraft des Pilzes (LV.1),Steigerung um 25%
53002,Geheimnisvolle Kraft des Pilzes (LV.2),Das Graben um 25% reduziert
53003,@Null@,@Null@
54001,Toxin immnue,Immun gegen alle Gifte!
54002,@Null@,@Null@
54003,@Null@,@Null@
55001,Gegenmittelbeutel,Ist es nicht ... Pestizid!
55002,@Null@,@Null@
55003,@Null@,@Null@
56001,@Null@,@Null@
56002,@Null@,@Null@
56003,@Null@,@Null@
57001,@Null@,@Null@
57002,@Null@,@Null@
57003,@Null@,@Null@
58001,@Null@,@Null@
58002,@Null@,@Null@
58003,@Null@,@Null@
59001,@Null@,@Null@
59002,@Null@,@Null@
59003,@Null@,@Null@
60001,Vergiftung (LV.1),"Füge alle 1,2 Sekunden 5 Schaden zu"
60002,Vergiftung (LV.2),Verursacht alle 1 Sekunde 5 Schadenspunkte.
61001,New Comer Streik,Stark verbesserter Nahkampfangriffsschaden.
62001,Nahkampfabwehr,Verringert Nahkampfschaden um 100%.
63001,Horas Wind,Unbequemes giftiges Gas
63002,@Null@,@Null@
63003,@Null@,@Null@
64001,Horas würgt,"Die Lunge waren mit giftigem Gas gefüllt, was ständig Schaden nahmen."
64002,@Null@,@Null@
64003,@Null@,@Null@
65001,Instabiler Sauerstoff,Comforting-Bereich für jetzt.
65002,Stabiler Sauerstoff,"Ahhh, tröstlich, wo niemand raucht"
65003,Kontinuierlicher Sauerstoff,"Ahhh, tröstlich, wo niemand raucht"
66001,Instabiler Sauerstoff,"Sie können atmen, aber das riecht nicht so gut"
66002,@Null@,@Null@
66003,@Null@,@Null@
67001,Gardian von Regen Rune,Regen Rune beschützt dich für eine Weile.
67002,Kontinuierlicher Sauerstoff,"Ahhh, tröstlich, wo niemand raucht"
67003,@Null@,@Null@
68001,Lebensmittelvergiftung (LV.1),Du fühlst dich hungriger.
68002,@Null@,@Null@
68003,@Null@,@Null@
69001,@Null@,@Null@
69002,@Null@,@Null@
69003,@Null@,@Null@
70001,Fußball-kein Dribbeln,Kann anpacken und stehlen
70002,Fußball-Dribbling,Kann schießen und Fahrrad treten
70003,@Null@,@Null@
71001,Mutiertes Hühnergift,Huhn wurde wegen Mutationsfutter vergiftet.
72001,Basketball-no-Kugel,"Kein Ball: Sie können stehlen, behindern, blockieren, wenn kein Ball in der Hand.
Linksklick: Stehlen. Stehlen Sie den Basketball von Ihrem Ziel.
Rechtsklick: Hinder. Halten Sie Ihren Gegner zurück.
Raum: Block. Aufspringen und klatschen den Basketball aus der Luft"
72002,Basketball-Dribbeln,"Dribbeln: Sie können passieren, schießen, sprinten, wenn Sie den Ball halten.
Linksklick: Pass. Pass den Ball zu deinem Mitspieler.
Rechtsklick: schießen. Akkumulieren Macht und auf dem Korb schießen. Lassen Sie die Ansammlung bar Aufenthalt im gelben#cfa7a0farea#n, eher ein Tor.
Raum: Sprint. Sprint einen Abstand in Richtung Stromrichtung."
72003,Aktion,Ändern Sie den @1 Aktion von Spieler
73001,Verbrennung,"Unter brennenden heißen Umgebung, extreme Beschwerden"
73002,Anpassung an Brennen,"Das Tragen hitzebeständige Ausrüstung, immuned zu heiße Umgebung brennt"
74001,Low Oxygen,@Null@
