ID,描述
ID,Desc
1000,Tempo metereologico
1001,Regione
1002,Posizione
1003,Orientamento
1004,vista
1005,Valore
1006,Coordinate Component
1007,Unità di misura angolare
1008,Fixed Base Logarithm
1009,Conversione intera
1010,Stringa di caratteri
1011,Tipo di danno
1012,Si No
1013,Toggle
1014,Valore booleano
1015,Max. e Min.
1016,Operatore di confronto
1017,Operatore matematico
1018,Giocatore
1019,Set di giocatori
1020,Attributi del giocatore
1021,Stato del movimento
1022,Impostazioni del giocatore
1023,Squadra
1024,Attributi della squadra
1025,Tipo di blocco
1026,Impostazione del blocco
1027,Articolo
1028,Tipo di elemento
1029,Tipo di proiettile
1030,Lasciare oggetto
1031,Creatura
1032,Tipo di creatura
1033,Set di creature
1034,Stato del movimento della creatura
1035,Attributo della creatura
1036,Impostazione della creatura
1037,Stato
1038,grilletto
1039,Trigger Set
1040,Timer
1041,emoji
1042,Variabile privata
1043,trigonometrica
1044,Proiettile
1045,Tipo di effetto speciale
1046,Effetto sonoro
1047,Direzione
1048,Oggetto
1049,Tono
1050,copione
1051,Chiave
1052,barra dei collegamenti
1053,valore casuale
1054,Equip Bar
1055,Equip Tipo
1056,Colore
1057,visualizzare Info
1058,Visualizzare Info Tipo
1059,Prodotto
1060,Tipo aspetto
1061,qualsiasi gruppo
1062,gruppo Località
1063,gruppo regionale
1064,gruppo numerica
1065,gruppo stringa
1066,Gruppo booleano
1067,Tipo blocco Group
1068,Articolo Tipo Gruppo
1069,Creatura Tipo di gruppo
1070,Gruppo Timer
1071,Tipo di effetto Gruppo Speciale
1072,Ordinare
1073,Collegamento video
1074,Interfaccia
1075,Componente
1076,Modello di immagine.
1077,Modalità di movimento
1078,Unità di tempo
1079,Stato della pagina
1080,Musica
1081,Metti in pausa il curriculum
1082,Vetrina
1083,Oggetto globale
1084,Таблица лидеров
1085,Стол
1086,Wiedergabemodus
1101,Seite angeben
1137,Geländegruppe
