ID,描述
ID,Desc
1,Mevcut durumda uyuyamazsın
2,Burada uyuma. Bir yatağa ihtiyacın var
3,Gündüz uyumazsın
4,Yataktan çok uzaksın
5,Burada çok sıcak kova kullanmazsın.
6,Yatak Alev yıldızında kullanılamıyor
7,Mühimmat yetersiz
8,Yükleniyor/Harita indiriliyor. Lütfen daha sonra tekrar deneyin.
9,Harita yükleniyor. Lütfen daha sonra tekrar deneyin.
10,Arşivi sınırına ulaşıldı.Lütfen kullanılmayan bazı haritaları silin.
11,Harita başarıyla paylaşıldı. Arkadaşlarınıza indirmesi için tavsiye edin
12,Ağ kesildi. Paylaşım askıya alındı. Lütfen ağa tekrar bağlanın ve yeniden deneyin
13,Lütfen önce harita seçin
14,İsteğiniz işlemde. Haritaya yükleme bitmeden giriş yapamazsın.
15,Harita indirme işlemi henüz tamamlanmadı. Giriş yapamazsın
16,İndirmekte olduğun arşivi silmek istiyor musun?
17,Bu haritayı silmek istiyor musun?#cef2d2d(Harita ve yedeklemesi birlikte silinir)(Silindikten sonra geri alınamaz)#n
18,Bağlantı kesildi. Lütfen haritayı WiFi kullanarak paylaşın
19,Bağlantı kesildi. Lütfen haritayı WiFi kullanarak indirin
20,Bağlantı kesildi. Lütfen haritayı WiFi kullanarak güncelleyin
21,Dikkat: Şu anda hücresel verilerdesiniz.Oyunu oynamak veya sesli sohbeti kullanmak hücresel verileri kullanın. Devam etmek istiyor musun？
22,Düşük internet bağlantısı nedeniyle indirilemedi. Lütfen yeniden deneyin.
23,"Burada daha fazla harita yok gibi, gel ve kendininkini paylaş."
24,Daha fazla takip edilen harita yok
25,"Maksimum takip sayısına ulaşıldı. Yeni haritaları takip etmeden önce, eski haritalardan bazılarını sil."
26,Harita başarıyla eklendi. Takiplerim üzerinde göster
27,Takip etmeyi bırakmak istiyor musun?
28,Maksimum indirme sayısına ulaşıldı. Lütfen yenilerini eklemeden önce bazı kayıtlı haritaları silin.
29,Harita yükleme başarısız. Lütfen ağ bağlantısını kontrol edin ve yeniden deneyin
30,Bu haritayı zaten oyladınız. Her gün bir kez oylayabilirsin.
31,Beğenilerin kullanıldı. Lütfen yarın tekrar deneyin
32,"Limitli harita tanımı: Normal cihazlara uygun, sabit ölçülü rastgele bir arazi haritası oluştur"
33,Ultra büyük harita tanımı: Yüksek performanslı cihazlar için sonsuz boyutlu bir arazi haritası oluştur.
34,Düz arazi haritası tanımı: Kolayca inşa yapılabilecek düz arazi oluştur.
35,Hünerlerini göstermek için bir eşya seç.
36,Bu arkadaşı silmek istediğinden emin misin?
37,Stabil olmayan ağ bağlantısı. Lütfen daha sonra tekrar deneyin
38,Bu kişi arkadaşın oldu
39,Maksimum arkadaş sayısına ulaşıldı
40,Kendini arkadaşın olarak ekleyemezsin
41,Arkadaş eklemesinde başarısız oldu. Lütfen daha sonra tekrar deneyin
42,Bu arkadaş başarıyla silindi
43,"Oyunda kaydedilmiş haritayı indiremezsin, lütfen ana menüden tekrar dene."
44,Yakınlarda arkadaş bulunamadı.Lütfen daha sonra tekrar deneyin
45,"Rol adı gir (Sayı, harf ya da karater girişine izin verilir)"
46,Rol adı mevcut (Giriş için metine tıkla)
47,Gelişmiş seviyeli Konfigürasyon
48,Orta seviyeli Konfigürasyon
49,Düşükseviyeli Konfigürasyon
50,Arka görünüm
51,Ön görünüm
52,Ana görünüm
53,Vizyon (uzak)
54,Vizyon (orta)
55,Vizyon (yakın)
56,Depo kutusu doldu!
57,Görev Noktaları:
58,Yok
59,Macera
60,in yapımı
61,@1 eksik
62,@1×@2 yaptı
63,Arkadaş sil
64,@1 arkadaşın oldu
65,Büyü menüsünden çıkıldı
66,Büyülemek için gereken yıldız yeterli değil
67,Henüz büyü özelliği yok
68,Rastgele büyü
69,Bu eşya büyülendi
70,"Alt kategori eşyalar, eritme sonrası yok olabilir."
71,Lütfen alt öğelere koyun
72,Büyülemek istediğiniz öğeyi seçin
73,Yıldızlar
74,Mini jeton
75,Büyülemek için uygun olan öğeler:
76,Kullanılır ana öğeler
77,Kullanılır alt öğeler
78,Uygun özellik yok
79,@1 başarılı olarak büyülendi
80,Lütfen büyülemek içi eşyayı koyun
