果实ID,土耳其语,土耳其语
ID,Name,Desc
1,Altın meyve,#cfa7a0fDeğerli#n montaj parçası ve #cda6fffAvantajlı#n rol/elbise/parça kazanma şansı vardır. [Biçme 10] mutlak olasılıkla #cda6fffNadir Ödül#n ve [Biçme 1] mutlak olasılıkla #c03dddaDeğerli Ödüller kazanmanızı sağlar.
2,Büyük meyve,Olgunlaştığı zaman #cda6fffDeğerli#n rol/elbise/parça kazanma şansı vardır. Pakette ya da oyunda yer alan küplerin kilidi açılabilir
3,Küçük meyve,Olgunlaştığı zaman #c03dddaNadir#n rol/elbise/parça kazanma şansı vardır. Pakette ya da oyunda yer alan küplerin kilidi açılabilir
4,Altın meyve,#cfa7a0fDeğerli#n montaj parçası ve #cda6fffAvantajlı#n rol/elbise/parça kazanma şansı vardır. [Biçme 10] mutlak olasılıkla #cda6fffNadir Ödül#n ve [Biçme 1] mutlak olasılıkla #c03dddaDeğerli Ödüller kazanmanızı sağlar.
5,Altın meyve,#cfa7a0fDeğerli#n montaj parçası ve #cda6fffAvantajlı#n rol/elbise/parça kazanma şansı vardır. [Biçme 10] mutlak olasılıkla #cda6fffNadir Ödül#n ve [Biçme 1] mutlak olasılıkla #c03dddaDeğerli Ödüller kazanmanızı sağlar.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
