土耳其语
Name
Dürüst Abdullah
Sakin Adem
Komik Ahmet
Nazik Ali
Ge?inmesi kolay Arif
Ak?ll? Bayram
Bilge Bekir
?al??kan Burak
Arkada? canl?s? Cemal
Cesur Emre
Sevecen Enes
?ocuksu Fatih
Unutkan Furkan
A?g?zlü G?khan
?yimser G?lge
Meddeci Hakan
Küstah Halil
A??ks?zlü Halil ibrahim
Gururlu Hasan
Güvenilir Hüseyin
S?cakkanl? ?brahim
Konu?kan Kadir
Ne?eli Kemal
Cana yak?n Mahmut
?yiliksever Mehmet
Dakik Mehmet ali
?zgüven sahibi Metin
?nat?? Muhammed
Duygusal Muhammet
Bay Murat
Yaramaz Musa
Zeki Mustafa
So?ukkanl? ?mer
Yak??kl? Onur
Gen? Orhan
K?r?lgan Osman
Dürüst Ramazan
Sakin Recep
Komik ?aban
Nazik Salih
Ge?inmesi kolay Semih
Ak?ll? ?erife
Bilge Serkan
?al??kan ?ükrü
Arkada? canl?s? Süleyman
Cesur U?ur
Sevecen Yakup
?ocuksu Ya?ar
Unutkan Yasin
A?g?zlü Yilmaz
?yimser Yunus
Meddeci Yusuf
Küstah Re?it
A??ks?zlü Ra?it
Dürüst Asiye
Sakin Aynur
Komik Ay?e
Nazik Ay?egül
Ge?inmesi kolay Aysel
Ak?ll? Ayten
Bilge Burcu
?al??kan Bü?ra
