iD,土耳其语,土耳其语
ID,Name,AttrDesc
5,Vuruş,"Yakın dövüş saldırısı, hedefi 4 blokla havaya fırlatır."
5,Vuruş,"Yakın dövüş saldırısı, hedefi 6 blokla havaya fırlatır."
5,Vuruş,"Yakın dövüş saldırısı, hedefi 8 blokla havaya fırlatır."
5,Vuruş,"Yakın dövüş saldırısı, hedefi 10 blokla havaya fırlatır."
5,Vuruş,"Yakın dövüş saldırısı, hedefi 12 blokla havaya fırlatır."
6,Keskin,Yakın dövüş saldırı zararı +5
6,Keskin,Yakın dövüş saldırı zararı +10
6,Keskin,Yakın dövüş saldırı zararı +16
6,Keskin,Yakın dövüş saldırı zararı +24
6,Keskin,Yakın dövüş saldırı zararı +35
7,İnsan avcısı,İnsanlara verilen yakın dövüş saldırı zararı +8
7,İnsan avcısı,İnsanlara verilen yakın dövüş saldırı zararı +16
7,İnsan avcısı,İnsanlara verilen yakın dövüş saldırı zararı +25
7,İnsan avcısı,İnsanlara verilen yakın dövüş saldırı zararı +40
7,İnsan avcısı,İnsanlara verilen yakın dövüş saldırı zararı +60
8,Hayvan avcısı,Hayvanlara verilen yakın dövüş saldırı zararı +8
8,Hayvan avcısı,Hayvanlara verilen yakın dövüş saldırı zararı +16
8,Hayvan avcısı,Hayvanlara verilen yakın dövüş saldırı zararı +25
8,Hayvan avcısı,Hayvanlara verilen yakın dövüş saldırı zararı +40
8,Hayvan avcısı,Hayvanlara verilen yakın dövüş saldırı zararı +60
9,Şeytan Avcısı,Dünyanın merkezi sülfür okçularına ve lav devlerine karşı yakın dövüş saldırı hasarı +8
9,Şeytan Avcısı,Dünyanın merkezi sülfür okçularına ve lav devlerine karşı yakın dövüş saldırı hasarı +16
9,Şeytan Avcısı,Dünyanın merkezi sülfür okçularına ve lav devlerine karşı yakın dövüş saldırı hasarı +25
9,Şeytan Avcısı,Dünyanın merkezi sülfür okçularına ve lav devlerine karşı yakın dövüş saldırı hasarı +40
9,Şeytan Avcısı,Dünyanın merkezi sülfür okçularına ve lav devlerine karşı yakın dövüş saldırı hasarı +60
29,Vahşi adam avcısı,Vahşilere verilen yakın dövüş saldırı zararı +8
29,Vahşi adam avcısı,Vahşilere verilen yakın dövüş saldırı zararı +16
29,Vahşi adam avcısı,Vahşilere verilen yakın dövüş saldırı zararı +25
29,Vahşi adam avcısı,Vahşilere verilen yakın dövüş saldırı zararı +40
29,Vahşi adam avcısı,Vahşilere verilen yakın dövüş saldırı zararı +60
10,Ateşle,Saldırı hedefi 3 sn boyunca ateşler ve her saniyede 5 zarar verir.
10,Ateşle,Saldırı hedefi 3 sn boyunca ateşler ve her saniyede 10 zarar verir.
10,Ateşle,Saldırı hedefi 3 sn boyunca ateşler ve her saniyede 15 zarar verir.
10,Ateşle,Saldırı hedefi 3 sn boyunca ateşler ve her saniyede 20 zarar verir.
10,Ateşle,Saldırı hedefi 3 sn boyunca ateşler ve her saniyede 25 zarar verir.
11,Defet,Bu saldırı ile hedefe ekstra 2 mesafeden geri vurulur.
11,Defet,"Saldırı, hedefi ekstra 4 kare daha geriye defetecektir."
11,Defet,"Saldırı, hedefi ekstra 6 kare daha geriye defetecektir."
11,Defet,"Saldırı, hedefi ekstra 8 kare daha geriye defetecektir."
11,Defet,"Saldırı, hedefi ekstra 10 kare daha geriye defetecektir."
12,Şanslı Avlama,Yaratıklar yenildiğinde 20% olasılıkla çift kat eşya düşme şansı vardır.
12,Şanslı Avlama,Yaratıklar yenildiğinde 20%/15% olasılıkla çift/üç kat eşya düşme şansı vardır.
12,Şanslı Avlama,Yaratıklar yenildiğinde 20%/15%/15% olasılıkla çift/üç/dört kat eşya düşme şansı vardır.
13,Güçlü atış,Yayın saldırı zararı 25% artar.
13,Güçlü atış,Yayın saldırı zararı 50% artar.
13,Güçlü atış,Yayın saldırı zararı 75% artar.
13,Güçlü atış,Yayın saldırı zararı 100% artar.
