键值,土耳其语
Code,Name
8,Backspace
9,Tab
13,Enter
32,Space
39,‘
44,，
45,-
46,。
47,/
48,0
49,1
50,2
51,3
52,4
53,5
54,6
55,7
56,8
57,9
59,；
61,=
65,A
66,B
67,C
68,D
69,E
70,F
71,G
72,H
73,I
74,J
75,K
76,L
77,M
78,N
79,O
80,P
81,Q
82,R
83,S
84,T
85,U
86,V
87,W
88,X
89,Y
90,Z
91,[
92,\
93,]
96,·
97,a
98,b
99,c
100,d
101,e
102,f
103,g
104,h
105,i
106,j
107,k
108,l
109,m
110,n
111,o
112,p
113,q
114,r
115,s
116,t
117,u
118,v
119,w
120,x
121,y
122,z
256,Num-0
257,Num-1
258,Num-2
259,Num-3
260,Num-4
261,Num-5
262,Num-6
263,Num-7
264,Num-8
265,Num-9
266,Num-.
267,Num-/
268,Num-*
269,Num--
270,Num-+
271,Num-Enter
273,Up
274,Down
275,Right
276,Left
303,R-Shift
304,L-Shift
305,R-Ctrl
306,L-Ctrl
307,R-Alt
308,L-Alt
