ID,任务名
ID,Name
1001,Boşluğu yen!
1002,Şafak için çok çalış
1003,Yeni kaşif
1004,sonsuz öğrenme
1005,Yetenekli kaşif
1006,Starlink Mühendisi
1007,Yağmur ormanlarında kaybolmak
1008,Sonsuz Deneme
1009,"Süper ""taş"" boş kurtarma"
2001,Alet ustası
2002,Orman Muhafızı
2003,Çiçek Konuşmacısı
2004,Tarım arazisi gözlemcisi
2005,Hayvancılık Hikayesi
2006,Usta Eğitmen
2007,Yemek pişirmeye giriş
2008,Kıdemli Şef
2009,Büyük Şef
2010,Büyük sanatçı
2011,Balık Tutma Efsanesi
2012,Madencilik uzmanı
3001,Silah ustası
3002,Zırh teknisyeni
3003,Rune Power Desirer
3004,Berserker
3005,Vahşi Doğa Avcısı
4001,Güvenilir bir ortak
4002,varlığımın izleri
4003,Shayuan Gezgini
4004,denizin altında 30.000 mil
4005,Kutup Keşif Gezisi
4006,Stellar Circuit (Rezerve Edilmiş)
4007,Mekanik Araç (Rezerve Edilmiş)
