购买ID,道具ID,土耳其语
ProductID,ID,Desc
1,24601,"Satın aldıktan sonra, çoğu özel görünümü ücretsiz olarak kullanma hakkını elde edebilirsiniz, geçerlilik süresi 30 gündür, satın alındıktan hemen yürürlüğe girecek"
4,12856,Satış ve kullanım: Takma adı bir kez değiştirin.
8,12965,Anında eve transfer edebileceğiniz 3 parşömen içermektedir. Çok kullanışlı.
13,10025,Anında mevcut gezegen evine transfer edebileceğiniz 3 parşömen içermektedir. Çok kullanışlı.
10,1055,"Ev sahibinin şifreli kutusu, co-op arkadaşlar ev sahibinin ayarladığı şifre ile açabilir"
11,1056,"Ev sahibinin şifreli kutusu, co-op arkadaşlar ev sahibinin ayarladığı şifre ile açabilir"
5,845,"Ev sahibine özel, son derece serttir, kendini ayıdan koruyabilir"
6,846,"Ev sahibine özel, son derece serttir, kendini ayıdan koruyabilir"
2,12751,Gökyüzüne fırlatabilen bir Gacha desenli havai fişekler kullanın (satın alınca#c0AAA1Aetkinlik kuponları*1#n hediye edilir)
3,12752,Gökyüzüne fırlatabilen bir meyve desenli havai fişekler kullanın (satın alınca#c0AAA1Aetkinlik kuponları*1#n hediye edilir)
7,12831,"Gökyüzüne havai fişek ateşleyin, biraz EXP düşer!"
9,12750,Gökyüzüne güler yüzlü desenli havai fişekleri fırlatın (satın alınca#c5aea0amini fasulye#nx300 hediye edilir)
12,10023,Kullandıktan sonra Keyif Kartı puanı elde edilebilir
