签到类型/1七天 2每周 3国庆活动,天数/周几,土耳其语,土耳其语
SignInType,WhatDay,RewardName,RewardTips
1,1,Güneş&Yağmur havai fişekleri,Depoya kaydedildi
1,2,Güvenli,Depoya kaydedildi
1,3,Yılız yediye kutusu,Depoya kaydedildi
1,4,Küçük yıldız havai fişeği,Depoya kaydedildi
1,5,Güneş&Yağmur havai fişekleri,Depoya kaydedildi
1,6,Yılız yediye kutusu,Depoya kaydedildi
1,7,Küçük hediye paketi,Depoya kaydedildi
2,1,Şanslı yumurta çantası,Depoya kaydedildi
2,2,Giydirme paketi,Depoya kaydedildi
2,3,Yılız yediye kutusu,Depoya kaydedildi
2,4,Giydirme paketi,Depoya kaydedildi
2,5,Yılız yediye kutusu,Depoya kaydedildi
2,6,Minik Fasulyeler,Hesaba eklendi
2,7,Minik Fasulyeler,Hesaba eklendi
3,1,Yılız yediye kutusu,Depoya kaydedildi
3,2,Bir çanta minik fasulye,Depoya kaydedildi
3,3,Transfer parşömeni,Depoya kaydedildi
3,4,Bir çanta minik fasulye,Depoya kaydedildi
3,5,Yıldız havai fişeği,Depoya kaydedildi
3,6,Bir çanta minik fasulye,Depoya kaydedildi
3,7,Minik pelerin,Depoya kaydedildi
3,8,Bir çanta minik fasulye,Depoya kaydedildi
3,9,Bir çanta minik fasulye,Depoya kaydedildi
3,10,Bir çanta minik fasulye,Depoya kaydedildi
3,11,Bir çanta minik fasulye,Depoya kaydedildi
3,12,Giydirme kartı,Depoya kaydedildi
3,13,Bir çanta minik fasulye,Depoya kaydedildi
3,14,Bir çanta minik fasulye,Depoya kaydedildi
3,15,Bir çanta minik fasulye,Depoya kaydedildi
3,16,Bir çanta minik fasulye,Depoya kaydedildi
3,17,Bir çanta minik fasulye,Depoya kaydedildi
3,18,Bir çanta minik fasulye,Depoya kaydedildi
3,19,Bir çanta minik fasulye,Depoya kaydedildi
3,20,Bere,Depoya kaydedildi
