ID,描述
ID,Desc
1000,Hava
1001,Bölge
1002,Konum
1003,Oryantasyon
1004,Perspektif
1005,Değer
1006,Koordinat Bileşeni
1007,Açı Ölçü Birimi
1008,Sabit Baz Logaritması
1009,Tamsayılı Dönüşüm
1010,Karakter dizesi
1011,Hasar Türü
1012,Evet/Hayır
1013,Şalter
1014,Boole Değeri
1015,Max. ve Min.
1016,Karşılaştırma Operatörü
1017,Matematiksel Operatör
1018,Oyuncu
1019,Oyuncu Grubu
1020,Oyuncu Özellikleri
1021,Hareket durumu
1022,Oyuncu Ayarı
1023,Takım
1024,Takım Özellikleri
1025,Blok Türü
1026,Blok Ayarı
1027,Eşya türü
1028,Eşya Ayarı
1029,Mermi Tipi
1030,Düşen eşya
1031,Yaratık
1032,Yaratık Türü
1033,Yaratık Grubu
1034,Yaratığın Hareket Durumu
1035,Yaratık Özelliği
1036,Yaratık Ayarı
1037,Durum
1038,Tetikleyeci
1039,Tetikleyici Seti
1040,Kronometre
1041,Emoji
1042,Özel Değişken
1043,Trigonometrik
1044,Mermi
1045,Özel efekt türü
1046,Ses efekti
1047,Yön
1048,Obje
1049,Ses
1050,Senaryo
1051,Tuş
1052,Kısayol Tuşu
1053,Rastgele Değer
1054,Ekipman Çubuğu
1055,Ekipman Türü
1056,Renk
1057,Grafik-metin bilgileri
1058,Grafik-metin bilgi türü
1059,Ürün
1060,Görünüm Türü
1061,Rastegle Grubu
1062,Konum Grubu
1063,Bölge Grubu
1064,Sayı Grubu
1065,Karekter Dizesi Grubu
1066,Boole Değeri Grubu
1067,Blok Tipi Grubu
1068,Eşya Türü Grubu
1069,Yaratık Türü Grubu
1070,Zamanlayıcı Grubu
1071,Özel Efekt Türü Grubu
1072,Sıralama
1073,Video bağlantısı
1074,Arayüz
1075,Eleman
1076,Desen şablonu
1077,Hareket yöntemi
1078,Zaman birimi
1079,Sayfa durumu
1080,Müzik
1081,Duraklatmak
1082,Ekran penceresi
1083,Küresel Nesne
1084,Liderler Sıralaması
1085,Tablo
1086,Oyun modu
1101,sayfayı belirtin
1137,Arazi grubu
