ID,名字,描述
ID,Name,Desc
1,Selamlaşmak,Dalga ve merhaba deyin
2,Şüphe,"Küçük beyinler, büyük şüpheler"
3,Ağla,Yüzünü ört ve ağla
4,Sinirli,Kızgın ve stomping
5,Uzatmak,"Biraz uykulu, tembel bir streç"
6,Mutlu,Mutlu görünüyor
7,Minnettar,Yay içtenlikle
8,Boş vakit,Etrafa bak ve rahatla
9,Düşmüş,Aniden yere düşmek
10,Poz,Büyüleyici bir imza hareketini koymak
11,Münhasır eylem,Fluttershy özel eylem
12,Münhasır eylem,Prenses Luna özel eylem
13,Münhasır eylem,Pinkie pasta özel eylem
14,Münhasır eylem,Starlight Glimmer Özel Eylem
15,Münhasır eylem,Gökkuşağı çizgi özel eylemler
16,Münhasır eylem,Prenses Cadence Özel Eylem
17,Münhasır eylem,Çiçek Dewie Özel Eylem
18,Münhasır eylem,Prenses don münhasır eylem
19,Münhasır eylem,Rory münhasır eylem
20,Test Etkileşimi 1,Sakura ve yıldırımın etkileşimli eylemi
21,Test Etkileşimi 2,Sakura ve Sakura'nın etkileşimli eylemi
22,Test Etkileşimi 3,Sakura için ortak etkileşimli eylemler
23,Yükselen Warbler-Air Marsall,Harp oynamak
24,Yükselen Warbler - Newbie,İtiraz ve dans
25,Dövüş ruhunu göster,Tang San özel eylem
26,Dövüş ruhunu göster,Küçük dans özel eylem
27,Dövüş ruhunu göster,Bi Bidong özel eylem
28,Ruh becerilerini açığa çıkar,Oscar özel eylem
29,Dövüş ruhunu göster,Ma Hongjun özel eylem
30,Ruh yeteneklerini serbest bırak,Dai Mubai özel eylem
31,Dövüş ruhunu göster,Zhu Zhuqing özel eylem
32,Dövüş sanatlarını göster,Ning Rongrong 'un özel eylemi
33,Dövüş sanatlarını göster,Zhu Zhuqing özel eylem
34,Dövüş sanatlarını göster,Ning Rongrong 'un özel eylemi
