ID,大类名称
ID,TypeName
1,mobilya
2,mobilya
3,mobilya
4,mobilya
5,mobilya
6,mobilya
7,mobilya
8,mobilya
9,mobilya
10,mobilya
11,mobilya
12,mobilya
13,mobilya
14,mobilya
15,mobilya
16,mobilya
17,mobilya
18,mobilya
19,mobilya
20,mobilya
21,mobilya
22,mobilya
23,mobilya
24,mobilya
25,mobilya
26,mobilya
27,mobilya
28,mobilya
29,mobilya
30,mobilya
31,mobilya
32,mobilya
33,mobilya
34,mobilya
35,mobilya
36,mobilya
37,mobilya
38,mobilya
39,mobilya
40,mobilya
41,mobilya
42,mobilya
43,mimari
44,mimari
45,mimari
46,mimari
47,mimari
48,mobilya
49,mobilya
50,mobilya
51,ekipman
52,ekipman
53,ekipman
54,ekipman
55,ekipman
56,ekipman
57,ekipman
58,ekipman
59,mobilya
60,mobilya
61,mobilya
62,mobilya
63,mobilya
64,mobilya
65,mobilya
66,mobilya
67,mobilya
68,mobilya
69,mobilya
70,mobilya
71,mobilya
72,mobilya
73,mobilya
74,mobilya
75,mobilya
76,mobilya
77,Festival
78,Festival
79,Festival
80,Festival
81,Festival
82,Festival
83,Festival
84,Festival
85,Festival
86,Festival
87,Festival
88,Festival
89,Festival
90,mimari
91,mimari
92,mimari
93,mimari
94,mimari
95,mimari
96,mimari
97,mimari
98,mimari
99,mimari
100,mimari
101,biyoloji
102,biyoloji
103,biyoloji
104,mimari
105,mimari
106,mimari
107,mimari
108,mimari
109,mimari
110,mimari
111,mimari
112,mimari
113,mimari
114,mimari
115,mimari
116,mimari
117,mimari
118,mimari
119,mimari
120,mimari
121,mimari
122,mimari
123,mimari
124,ekipman
125,ekipman
126,ekipman
127,ekipman
128,ekipman
129,ekipman
130,ekipman
131,ekipman
132,Festival
133,Festival
134,Festival
135,mimari
136,mimari
137,mimari
138,mimari
139,mimari
140,mimari
149,mobilya
150,mobilya
151,mobilya
152,mobilya
153,mobilya
