ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Mevcut küresel hava modu,Mevcut küresel hava modu,
100002,Konumdan konuma mesafe,%1 ile%2 arasındaki mesafe,
100006,Pozisyon bölge yargısında,%3 'te%1%2,
100007,Belirtilen konumdaki blok türü,%1 için blok türü,
100008,Pozisyondan pozisyona yönlendirme,%1 'den%2' ye yön,
100009,Mutlak üç eksenli koordinat yönü,"X%1,Y%2,Z%3 'ün yönü",
10001,Konumu bölgeye dönüştürün,"Orta nokta olarak%1 olan boyut alanı (%2,%3,%4)",
100010,Mutlak küresel koordinat yönü,"Azimut%1,yükseklik yönü%2",
100011,konum,Pozisyon%1,
100012,alan,Alan%1,
100013,zamanlayıcı,Zamanlayıcı%1,
100014,Konum grubu,Konum grubu%1,
100015,Bölgesel grup,Bölgesel grup%1,
100016,Zamanlayıcı grubu,Zamanlayıcı grubu%1,
100017,Rastgele hava,Rastgele hava,
100018,Arazi grupları için hava durumu,%1 için hava durumu,
10002,Alan ofset,"Eksen boyunca%1 ofset (%2,%3,%4)",
10003,Alanı genişletin,"%1 'deki üç eksenin boyutunu sırasıyla X%2,Y%3,Z%4 kareye genişletin",
10005,Koordinat konumunu belirtin,Koordinat değerinin konumu X%1Y%2Z%3,
10006,Pozisyon kayması (orijinal pozisyonu değiştirin),"Eksen boyunca%1 ofset (%2,%3,%4)",
10007,Bölgenin merkezi konumu,%1 'in merkezi konumu,
10008,Bölgede rastgele konum,%1 'in rastgele konumu,
10009,Zamanlayıcı zamanı,%1 kez,
10010,Yön ışınının uzunluğunu belirtin,"%3 ışınlarını%1 'den%2' ye dökün,ışın uzunluğunu blok ile başlangıç konumu arasında döndürün",
10011,Dize dikişi,%1 ve%2,
10012,Değeri dizeye dönüştürün,%1 dizeye dönüştürün,
10015,Ray tarafından vurulan kare türü,%1 'den%2' ye%3 kare atarak kare vuruş türü,
10016,Üç eksenli koordinat sistemine göre yön,"X%2,Y%3,Z%4 'ün yönü%1' e bakıyor",
10017,Küresel koordinat sistemine göre yön,"Azimut%2 bakan%1,yükseklik yönü%3",
10018,Oyuncu nesnesi,%1 nesnesi,
10019,biyolojik nesne,%1 nesnesi,
10020,Atma nesnesi,%1 nesnesi,
10021,Nesneyi bırak,%1 nesnesi,
10022,Tonları değerlere dönüştürün,%1 değerini dönüştür,
10024,Pozisyon ofseti (orijinal konumu değiştirmeden),"Eksen boyunca%1 ofset (%2,%3,%4)",
10025,Boolean,Boolean%1,
10026,sayısal değer,Değer%1,
10027,Dize,Dize%1,
10028,Görünüm tipi,Görünüm türü%1,
10029,Boole değer grubu,Boole grubu%1,
10030,Sayısal grup,Sayısal grup%1,
10031,Dize grubu,Dize grubu%1,
10032,Herhangi bir gruptaki değerlerin sayısını alın,%1 'deki medyan değerlerin sayısını alın,
10033,Herhangi bir gruptaki rastgele değerlerin sayısını alın,%1 içindeki%2 sayısını alın,
10034,Herhangi bir gruptaki herhangi bir değerin sayısını alın,%1 içindeki%2 sayısını alın,
10035,Herhangi bir grupta herhangi bir değer yargısı vardır,%1 'de%2,
10036,Herhangi bir grup belirtilen sayı varoluş değeri yargısı,"Değer,%1 'deki%2 konum numarasında var",
10037,Önleme ipi,%2-%1 'in 3 basamağına müdahale edin,
10038,Dizeyi değere dönüştürün,%1 değerini dönüştür,
10039,Ana cihaz süresini alın,Cihazın%1 zamanını al,
10040,Tam sunucu cihaz süresini alın,Tam cihaz süresini alın,
10041,Rastgele blok türü,Rastgele blok türü,
10042,Bölünmüş dize,"%1 'i bölün,%2' de bölün,bölmeden sonra%3 segmentini önleyin",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Oyun sunucusu süresini alın,Oyun sunucusunun%1 zamanını alın,
10045,Zaman damgasını zaman birimine dönüştürün,Zaman damgasını%1 'den%2' ye dönüştürün,
10046,Tam sunucu zamanı alın,Tam sunucu zamanı alın,
10047,Zaman damgasını tam zamanlı olarak dönüştürün,%1 zaman damgasını tam zamanlı olarak dönüştürün,
10048,Dize uzunluğunu alın,%1 uzunluğunu al,
10049,Durum türü adı,%1 için ad yazın,
10050,durum tipi açıklaması,%1 için eklenti açıklaması,
10051,Blok tipi koordinatları alın,"%1 'den en yakın%2 koordinatlarını alın,%3 kare yarıçapı için XYZ ekseninde arama yapın",
10052,Sırt çantası destek çubuğu,%1 'i al,
10053,Kısayol çubuğu düğmesi,%1 'i al,
10054,Ekipman sütunu,%1 'i al,
10055,Blok türünü öğe türüne dönüştürün,%1 öğe türüne dönüşüyor,
10056,Öğe türünü blok türüne dönüştürün,%1 'i blok türüne dönüştürün,
10057,Mevcut oda kimliğini alın,Mevcut oda kimliğini alın,
1010001,Hava değişikliği,Hava değiştiğinde,"Hava güneşten yağmura,yağmurdan güneşe değişir"
1010002,Arazi grubundaki hava değiştiğinde,Belirtilen%1 için hava değiştiğinde,"Ortak grup: ova / orman / uçurum / orman / havza / boş ada / nehir; okyanus grubu: plaj / derin deniz / sığ deniz / ada; çöl grubu: çöl / vaha; sıradan soğuk bölge: iğne yapraklı orman / buz alanı; tepe soğuk bölge: buzdağı; volkanik grup: yanardağ; sulak alan grubu: yağmur ormanı / bataklık; düz,boş ada"
1020001,Oyun Oluşturma,Oyun oluşturulduğunda,"Oyuna girmek için geri sayımdan sonra 3,2,1 biter,oyun başladığında"
1020002,Oyun zamanı,Oyun zamanı%1 olduğunda,Oyunun geçerli saati belirtilen zamanda olduğunda
1020003,Oyun çalışma zamanı,Oyun%1 saniye çalıştığında,Oyuna girdikten sonra belirtilen süreden sonra koşun
1020004,Oyuncu kazanır,Oyuncu kazandığında,
1020005,Oyuncu başarısız,Oyuncu başarısız olduğunda,
1020007,Oyuncu oyuna girer,Oyuncu oyuna girdiğinde,
1020008,Oyuncu oyundan ayrılır,Oyuncu oyundan ayrıldığında,
1020009,Zamanlayıcı değişikliği,Zamanlayıcı değiştiğinde,Değişken kitaplığındaki herhangi bir zamanlayıcı değişkeni değiştiğinde
1020010,Zamanlayıcı değişikliğini belirtin,%1 değiştiğinde,Değişken kitaplığında belirtilen zamanlayıcı değişkeni değiştiğinde
1020011,Oyun ne zaman çalışsa (döngü),Oyun her%1 saniyede bir çalışır,"1. Minimum değer 0,05 saniyedir,0.01-0 0,09 0,05 sürer
2. Oyun,belirli bir süre boyunca her çalıştığında (döngü) tetikleyecektir."
1020012,Bulut hizmet odası herhangi bir mesaj aldığında,Bulut sunucu odası herhangi bir bilgi aldığında,
1020013,yayın al,"Alındığında,yayın%1",
1020014,Koşullar belirlendi,%1 kurulduğunda,
1020015,Planları yerleştirirken,Plan yerleştirildiğinde,
1020016,Bulut sunucu odası sunucu yayın mesajını aldığında,Bulut sunucu odası sunucu yayını%1 aldığında,
1030001,Oyuncu yenildi,Oyuncu yenildiğinde,
1030002,Oyuncu dirilişi,Oyuncu diriltildiğinde,
1030003,Oyuncu Nitelikleri Değiştir,Oyuncunun%1 özniteliği değiştiğinde,HP gibi bir oyuncunun özelliği değiştiğinde
1030004,Oyuncu hedefi yener,Oyuncu hedefi yendiğinde,"Bir oyuncu başka bir oyuncuyu yendiğinde,yaratık. Yenilen oyuncu,yaratık olaydaki hedef oyuncudur,yaratık"
1030005,Oyuncu saldırıları,Oyuncu saldırmaya başladığında,
1030006,Oyuncu saldırısı vuruşu,"Oyuncu,saldırı vurduğunda","Bir oyuncu başka bir oyuncuya saldırıp vurduğunda,yaratık. Vurulan oyuncu,yaratık olaydaki hedef oyuncudur,yaratık"
1030007,Oyuncu hasar verir,Oyuncu hasar verdiğinde,"Bir oyuncu diğer oyunculara veya yaratıklara zarar verdiğinde. Yaralanan oyuncu,yaratık olaydaki hedef oyuncudur,yaratık"
1030008,Oyuncu hasar alır,Oyuncu yaralandığında,
1030009,Oyuncu hareketi,Oyuncu bir boşluk uzağa hareket ettiğinde,
1030010,Oyuncular animasyonlu ifadeler kullanır,Oyuncular animasyonlu ifadeler kullandığında,
1030011,Oyuncular eşyaları kullanır,Oyuncular sahne kullandığında,
1030012,Oyuncular eşya alır,Oyuncu öğeyi aldığında,
1030013,Oyuncu eşyaları tüketir,Oyuncu eşyaları tükettiğinde,
1030014,Oyuncu yaratık veya oyuncuya tıklar,"Oyuncu,yaratık veya oyuncuya tıkladığında",
1030015,Oyuncu bloğu tıklar,Oyuncu kareye tıkladığında,
1030016,Oyuncu yolculuğu,Oyuncu bir binek / araca bindiğinde,
1030017,Oyuncu yolculuğu iptal eder,Oyuncu yolculuğu iptal ettiğinde,
1030018,Oyuncu hareket durumu değişikliği,Oyuncu%1 başladığında,
1030019,Oyuncular çarpışıyor,Oyuncu herhangi bir oyuncu / yaratıkla çarpıştığında,
1030020,Oyuncu eşyaları alır,Oyuncu düşüşü aldığında,
1030021,Oyuncu giriş alanı,Oyuncu%1 'e girdiğinde,"Alan etkinliklerine girip çıkmak,reklam oynatmak,ürün satın alma pencerelerini görüntülemek,geliştirici mağazalarını açmak gibi geliştiriciyle ilgili eylemleri tetikleyemez"
1030022,Oyuncu bölgeden ayrılır,Oyuncu%1 'den ayrıldığında,"Alan etkinliklerine girip çıkmak,reklam oynatmak,ürün satın alma pencerelerini görüntülemek,geliştirici mağazalarını açmak gibi geliştiriciyle ilgili eylemleri tetikleyemez"
1030023,Oyuncu ekipman çubuğu değişiklikleri,Oyuncunun ekipman çubuğu değiştiğinde,
1030024,Oyuncu Sırt Çantası Çubuğu Değişiklikleri,Oyuncunun sırt çantası çubuğu değiştiğinde,
1030025,Oyuncu kısayol çubuğu değişiklikleri,Oyuncunun kısayol çubuğu değiştiğinde,
1030026,Oyuncu kısayol çubuğunu seçer,Oyuncu kısayol çubuğunu seçtiğinde,
1030027,Oyuncu eşyaları atar,Oyuncu öğeyi attığında,
1030028,Oyuncu vites takar,"Ne zaman,oyuncu,teçhizatını giy",
1030029,Oyuncu ekipmanı çıkarır,"Oyuncu,eşyalarını çıkardığında",
1030030,Oyuncu sohbet bilgilerini görüntüler,Oyuncu sohbet kutusu%1 gösterdiğinde,
1030031,Oyuncu sohbet bilgilerine girer,Oyuncu sohbet kutusuna%1 gönderdiğinde,
1030032,Oyuncu düğmeye basar,"Oyuncu,%1 'e bastığında",
1030033,Oyuncu uzun düğmeye basar,"Oyuncu ne zaman,uzun basın%1",
1030034,Oyuncu düğmeyi serbest bırakır,Oyuncu%1 'i serbest bıraktığında,
1030035,Oyuncu statü kazanır,Oyuncu statü kazandığında,
1030036,Oyuncu durumunu kaybeder,Oyuncu durumunu kaybettiğinde,
1030037,Oyuncu belirtilen durumu kaybeder,Oyuncu%1 durumunu kaybettiğinde,
1030038,Oyuncu seviyesi değişti,Oyuncunun seviyesi değiştiğinde,
1030039,Oyuncu sohbet bilgilerini girer (dize dahil),Herhangi bir oyuncu sohbet kutusuna%1 içeren bir mesaj girdiğinde,Oyuncu sohbet kutusuna belirtilen metni girip gönderdiğinde
1030040,Oyuncu belirtilen öğeyi seçtiğinde,Oyuncu kısayol çubuğunda%1 'i seçtiğinde,
1030041,Oyuncu arkadaşlarını davet eder,Oyuncu arkadaşlarını davet ettiğinde,
1040001,Yaratıklar zarar görüyor,Yaratık yaralandığında,
1040002,Biyolojik saldırı,Yaratıklar saldırmaya başladığında,
1040003,Biyolojik saldırı vuruşu,Yaratık saldırısı vurduğunda,
1040004,Yaratıklar hasara neden olur,Yaratıklar zarar verdiğinde,
1040005,Yaratıklar yenildi,Yaratıklar yenildiğinde,
1040006,Yaratık hedefi yener,Yaratık hedefi yendiğinde,
1040007,Biyolojik giriş alanı,Yaratık%1 'e girdiğinde,
1040008,Biyolojik kalkış alanı,Yaratık%1 'den ayrıldığında,
1040009,Biyolojik hareket durumundaki değişiklikler,Yaratık%1 başladığında,
1040010,Biyolojik çarpışma,Bir yaratık herhangi bir oyuncu / yaratıkla çarpıştığında,
1040011,Biyolojik özelliklerdeki değişiklikler,Yaratığın%1 özelliği değiştiğinde,
1040012,yaratıklar yaratılır,Bir yaratık yaratıldığında,
1040013,Biyolojik edinim durumu,Bir yaratık devlet kazandığında,
1040014,Biyolojik devlet kaybı,Yaratıklar durumlarını kaybettiğinde,
1040015,Yaratıklar belirlenmiş durumlarını kaybederler,Yaratık%1 'i kaybettiğinde,
1040016,Bu yaratık zarar gördü,Bu tür yaratıklar zarar gördüğünde,
1040017,Bu yaratık saldırır,Bu tür yaratıklar saldırmaya başladığında,
1040018,Bu yaratık saldırısı vurur,Bu tür yaratıklar hedefe saldırdığında,
1040019,Bu yaratık hasar verir,Bu tür yaratıklar hedefe zarar verdiğinde,
1040020,Bu yaratık yenildi,Bu tür yaratıklar yenildiğinde,
1040021,Bu yaratık hedefi yener,Bu tür yaratıklar hedefi yendiğinde,
1040022,Bu yaratığın hareket durumu değişir,Böyle bir yaratık%1 başladığında,
1040023,Bu yaratık çarpışıyor,Böyle bir yaratık herhangi bir oyuncu / yaratıkla çarpıştığında,
1040024,Bu biyolojik özellik değişir,Böyle bir yaratığın özellikleri%1 değiştiğinde,
1040025,Bu yaratık yaratıldı,Bu tür yaratıklar yaratıldığında,
1040026,Bu yaratık statü kazanır,Bu tür yaratıklar devlet kazandığında,
1040027,Bu yaratık durumunu kaybeder,Bu tür yaratıklar durumlarını kaybettiklerinde,
1040028,Bu yaratık oyuncu tarafından tıklanır,Bu tür yaratıklar oyuncu tarafından tıklandığında,
1050001,Blok kazıldı,Küp kazıldığında,
1050002,Küp yok edildi,Küp yok edildiğinde,
1050003,Blok anahtar durumu değişikliği,Bloğun anahtar durumu değiştiğinde,
1050004,Saklama kabı eşyaları değişti,Saklama kabının içeriği değiştiğinde,
1050005,Bloklar oluşturulur,Bir blok oluşturulduğunda,
1050006,Depolama kapları sahne içine konur,Saklama kabı pervaneye konduğunda,
1050007,Depolama kabı kaldırıldı,Saklama kabı öğeden çıkarıldığında,
1050008,Bloklar mayınlı,Bloklar çıkarıldığında,
1050009,Blok madencilik tarafından kesintiye uğradı,Blok çıkarıldığında ancak kesintiye uğradığında,
1050010,Bu blok mayınlı,Bu tür bloklar çıkarıldığında,
1050011,Bu blok kazıldı,"Böyle bir blok olduğunda,madencilik tamamlanır",
1050012,Bu blok madencilik tarafından kesintiye uğradı,Bu tür bloklar için madencilik kesintiye uğradığında,
1050013,Bu blok yok edildi,Bu tür bloklar yok edildiğinde,
1050014,Bu blok oluşturulur,Böyle bir blok oluşturulduğunda,
1050015,Bu blok anahtar durumu değişikliği,Böyle bir bloğun anahtar durumu değiştiğinde,
1050016,Bu blok satın alındı,Oyuncu / yaratık böyle bir blok aldığında,
1050017,Bu blok oyuncu tarafından tıklanır,Oyuncu böyle bir bloğa tıkladığında,
1050018,Kare renk değişikliği,Küpün rengi değiştiğinde,
1060001,Mermi hedefi vurur,Bir atış herhangi bir oyuncuya / yaratığa / bloğa çarptığında,
1060002,Kaçak giriş alanı,Nesneleri atarken%1 girin,
1060003,Atıcılar bölgeyi terk ediyor,Atış%1 'den ayrıldığında,
1060004,Giriş alanını bırak,Damla nesne%1 'e girdiğinde,
1060005,Bırakma alanı,Düşen nesne%1 'den ayrıldığında,
1060006,Serpinti toplandı,Düşen nesneler alındığında,
1060007,Serpinti kaybolur,"Ne zaman,düşmek,kaybolmak",
1060008,Atıcılar oluşturulur,Bir atış oluşturulduğunda,
1060009,,,
1060010,Bu öğe atılır,Bu tür aksesuarlar atıldığında,
1060011,Bu öğe kaybolur,"Bu tür aksesuarlar olduğunda,damla kaybolur",
1060012,Bu eşya hasarlı,Bu tür aksesuarlar hasar gördüğünde,
1060013,Bu mermi hedefi vurur,Böyle bir mermi herhangi bir hedefi vurduğunda,
1060014,Bu atış yaratıldı veya tüketildi,Bu tür mermiler oluşturulduğunda veya tüketildiğinde,
1060015,Bu öğe tüketiliyor,Bu tür ürünler tüketildiğinde,
1060016,Bu paket açıldı,Bu tür paket aksesuarları açıldığında,
1060017,Bu ekipman takıldı,Bu tür ekipman ve aksesuarlar takıldığında,
1060018,Bu ekipman kaldırılır,Bu tür ekipman ve aksesuarlar çıkarıldığında,
1060019,Bu ekipman yok edildi,Bu tür ekipman öğeleri oyuncu / yaratık tarafından yok edildiğinde,
1060020,Bu öğe kullanılır,Bu tür öğeler oyuncu tarafından kullanıldığında,
1060021,Damla belirtilen şekilde oluşturulduğunda,Damla%1 olarak oluşturulduğunda,
1060022,Herhangi bir şekilde bir damla oluşturulduğunda,Herhangi bir şekilde bir damla oluşturulduğunda,
1070001,Konum efektleri oluşturulur,Yerinde özel efektler oluşturulduğunda,
1070002,Oyuncu üzerinde özel efektler oluşturulur,Oyuncu üzerinde özel efektler oluşturulduğunda,
1070003,Yaratık üzerinde özel efektler oluşturulur,Yaratıklarda özel efektler oluşturulduğunda,
1070004,Fırlatma nesne efektleri oluşturulur,Atışlarda özel efektler oluşturulduğunda,
1070005,Düşen nesnelerde özel efektler oluşturulduğunda,Düşen nesnelerde özel efektler oluşturulduğunda,
1080001,Bu durum yaratıklar tarafından edinilir,Bir organizma böyle bir devlet edindiğinde,
1080002,Bu durum yaratıktan kaldırılır,Canlılar bu durumu kaybettiğinde,
1080003,Bu durum oyuncu tarafından elde edilir,Oyuncu böyle bir duruma sahip olduğunda,
1080004,Bu durum oyuncudan kaldırılır,Oyuncu böyle bir durumu kaybettiğinde,
1090001,Bu tarif tamamlandı,Bu tür formülasyonlar sentezlendiğinde,
1090002,Formülasyon sentezi tamamlandı,Formül sentezlendiğinde,
1100001,Erime başlar,"Ne zaman,eritme,başlar",
1100002,Eritme tamamlandı,"Ne zaman,eritme,bitti",
1100003,Bu eritme başlar,Böyle bir eritme başladığında,
