ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Konumu Bölgeye Dönüştür,Genel,"@1| merkez noktası olarak boyutları(|@2|, |@3|, |@4|) olan alanlar"
10002,Bölge Ofseti,Genel,@1|koordinat ekseni boyunca kaydırma（|@2|，|@3|，|@4|）
10003,Bölgeyi Genişlet,Genel,"|@1| üç eksenin boyutunu sırasıyla X|@2|, Y|@3|, Z|@4|kare ile genişletin"
10005,Belirtilen Koordinat Konumu,Genel,Koordinat değerinin X|@1|Y|@2|Z|@3|'in konumu
10006,Konum Ofseti(Orijinal konumu değiştirin),Genel,"@1|Koordinat ekseni boyunca öteleme (|@2|, |@3|, |@4|)"
10007,Bölgenin Merkezî Konumu,Genel,@1|'in merkezi konumu
10008,Bölgenin Rastgele Konumu,Genel,@1|'in rastgele konumu
10009,Zamanlayıcı zamanı,Genel,@1|'inzamanı
10010,Atanan doğrultuda ışın uzunluğu,Genel,"|@1| ile başlayarak, |@3| kerelik ışınını |@2|'ye yansıtın ve engelleme karesinden başlangıç ​​konumuna ışının uzunluğunu"
10011,Karekter dizisi ekleme,Genel,@1|ve|@2
10012,Sayısal değeri dizeye dönüştür,Genel,@1| karekter dizsine dönüştürülür
10013,Boole değeri karşılaştırması,Genel,@1||@2||@4
10014,Değer Karşılaştırma,Genel,@1||@2||@4
10015,Işın tarafından vurulan blok türü,Genel,"|@1|'den |@2|'e|@3| kare fırlatın, ışınları engelleyen blok tipi"
10016,Göreceli üç eksenli koordinat sistemi yönü,Genel,"@1|X|@2|，Y|@3|'3 bakar, Z|@4|'in yönü"
10017,Göreceli küresel koordinat sistemi yönü,Genel,"@1| azimut açısına bakıyor|@2|, |@3| yönü"
10018,Oyuncu nesnesini seçin,Genel,@1| seç
10019,Yaratık nesnesini seçin,Genel,Select |@1
10020,Fırlatılacak nesneyi seçin,Genel,Select |@1
10021,Bırakılan nesneyi seçin,Genel,Select |@1
10022,Ses tonu değere dönüştürülmesi,Genel,@1| sayıya döner
10023,Karekter dizisi karşılaştırması,Genel,@1||@2||@4
10024,Konum ofseti (orijinal konumunda değiştirme yok),Genel,"@1|Koordinat ekseni boyunca öteleme (|@2|, |@3|, |@4|)"
10025,Boole değeri,Genel,|@2
10026,Sayısal değer,Genel,|@2
10027,Karekter dizisi,Genel,|@2
10028,Görünüm türü,Genel,|@2
10029,Boole değeri grubu,Genel,|@2
10030,Sayı grup,Genel,|@2
10031,Karekter dizisi grubu,Genel,|@2
10032,Herhangi bir gruptaki değer sayısını alın,Genel,|@1|ortanca değerlerin sayısını alın
10033,Herhangi bir gruptaki herhangi bir değerin sayısını alın,Genel,|@1|içindeki|@2| miktarını alın
10034,Bir grup bir değerin numarası almak,Genel,|@1|içindeki|@2| sayısını alın
10035,Bir değer bir grup var olmadığını belirleyin,Genel,@1|içinde|@2|var
10036,Belirli bir kimliği bir grup var olmadığını belirleyin,Genel,@2| kimliği olmadığını kontrol edin pozisyon |@1| var olmak.
10037,Karekter dizisi al,Genel,Extract |@1| of |@2| - |@3| position string
10038,Karekter dizisi sayısal değere dönüştür,Genel,@1|sayıya dönüştür
10039,Ana cihaz zamanını al,Genel,Obtain device |@1| time
10040,Tam ana cihaz zamanını alın,Genel,Tam cihaz süresini alın
10041,Rastgele blok türü,Genel,Rastgele blok türü
10042,Bölünmüş dize,genel,"Bölünmüş |@1|, ayırıcı |@2|, böldükten sonra |@3| segmentine müdahale edin"
10043,Belirtilen etiketin dizesini alır,genel,"Al |@1|, anahtar adının içeriği |@2|"
10044,Oyun sunucusu süresini alın,genel,Al |@1| oyun sunucusu zamanı
10045,Zaman damgasını zaman birimine dönüştürün,genel,Zaman damgasını dönüştürün |@1| için |@2
10046,Tam sunucu zamanı alın,genel,Tam sunucu zamanı alın
10047,Zaman damgasını tam zamanlı olarak dönüştürün,genel,Zaman damgasını dönüştürün |@1| tam zamanlı
20001,Sayısal Hesaplama,Matematik,@1||@2||@4
20002,Kalan,Matematik,@1| Mod |@3
20003,Rastgele Sayı,Matematik,@1| ve |@2| arasında rasgele sayı üret
