ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,Tôi cần ít gỗ,"Thu thập gỗ, lấy một khối gỗ#r  (Ấn lâu vào thân cây để lấy)",Thu thập #cfa7a0fgỗ
1001,Chế tạo nào!,"Dùng loại gỗ bất kỳ để làm ván, và dùng 4 tấm ván để tạo 1 túi dụng cụ #r (trước tiên mở Rương Công , và chọn để làm ở phần nhãn bên trái)",Chế tạo #cfa7a0fRương Công Cụ
1002,Thô lỗ tất bại!,"Dùng miếng gỗ và khúc gỗ chế tạo gậy gỗ#r(Cần Rương Công Cụ, vũ khí sơ cấp)",Chế tạo #cfa7a0fgậy gỗ
1003,Thợ Mỏ-I,"Dùng miếng gỗ và khúc gỗ chế tạo cuốc mỏ gỗ#r(Cần Rương Công Cụ, đào một cái động ẩn náu trước khi đêm tới)",Chế tạo #cfa7a0fcuốc mỏ gỗ
1004,Cuộc sống nông canh!,"Dùng miếng gỗ và khúc gỗ chế tạo cuốc gỗ#r(Cần Rương Công Cụ, biến mảnh đất thành ruộng)",Chế tạo #cfa7a0fcuốc gỗ
1005,Cuộc chiến đầu tiên,"Đánh bại 1 Dã Nhân, hình như nó có mang theo đầu thú#r(Trời tối dã nhân sẽ xuất hiện, là sinh vật nguy hiểm)",Đánh bại #cfa7a0fdã nhân
1006,Ăn đồ nướng thôi!,"Dùng 8 miếng đá chế tạo 1 lò luyện#r(Cần Rương Công Cụ, có thể luyện các khoáng vật)",Chế tạo #cfa7a0flò luyện
1007,Phật độ,Diệt cỏ nhận hạt giống lúa mạch@1#r(Ấn giữ lâu để có thể nhận hạt giống lúa mạch),Nhặt #cfa7a0fhạt lúa mạch
1008,Một rổ than,Đốt gỗ với những vật liệu gỗ để lấy than s@1#r(Cần lò luyện. Có thể được sử dụng làm đuốc thắp sáng),Chế tạo #cfa7a0fthan
1009,Thỏi Sắt,Tinh luyện đá quặng sắt nhận được thỏi sắt@1#r(Cần lò luyện để ),Dung luyện#cfa7a0fthỏi sắt
1010,Thợ Mỏ-III,Dùng thỏi sắt và khúc gỗ chế tạo cuốc mỏ sắt#r(Dùng cuốc này thu thập mỏ kim cương),Chế tạo #cfa7a0fcuốc mỏ sắt
1011,Phát tài rồi!,Dùng cuốc mỏ sắt và mũi khoan thu thập đá vàng#r(Ở sâu dưới lòng đất ),Thu thập #cfa7a0fđá vàng
1012,"Ah, Ngọc Xanh!",Dùng cuốc mỏ sắt và mũi khoan thu thập đá ngọc xanh#r(Ở sâu dưới lòng đất ),Thu thập #cfa7a0fquặng kim cương
1013,Lần đầu bị điện giật,Dùng cuốc mỏ sắt và mũi khoan thu thập đá điện#r(Ở sâu dưới lòng đất ),Thu thập #cfa7a0fđá điện
1014,Thanh niên cứng,Dùng mũi khoan thu thập đá đen#r(Có thể xuất hiện ở gần nham tương),Thu thập #cfa7a0fđá đen
1015,Ma Pháp Sư,"Chế tạo dung hợp Rương Phụ Ma#r(Cần Rương Công Cụ, có thể đính kèm ma pháp lên công cụ)",Chế tạo #cfa7a0fRương Hợp Phụ Ma
1016,Nó đang nhìn ta,Đánh bại Người Lòng Đất nhận Mắt Lòng Đất#r(Hình như mắt này bay đến một nơi nào đó),Nhận #cfa7a0fMắt Lòng Đất
1017,Đá quý cổ đại,"Nhận Đá quý cổ đại ở trong hầm, vứt nó đi và nhặt lại nó lên, vì nó toát ra ma thuật cổ đại...",Nhận #cfa7a0fđá quý cổ đại
1018,Gạch Cổng Lòng Đất,"Đá quý cổ và kiếm đen, v.v. #L#cfa7a0f Đá Khung cửa  #n",Chế tạo #cfa7a0fGạch Cổng Lòng Đất
1022,Cổng Lòng Đất,Tạo một khối cổng và lấp đầy khung cửa của cổng để mở cổng  #r (2*3 không gian ở giữa),Chế tạo #cfa7a0fCổng Lòng Đất
1023,Thế Giới Khác,Đi vào lòng trái đất và đánh bại người khổng lồ dung nham @1#r (Thế giới đầy lửa),Đánh bại #cfa7a0fDung Nham Cự Nhân
1024,Kẻ chém Rồng,Đánh bại Hắc Long Huyền Thoại ở Flamus@1,Đánh bại #cfa7a0fHắc Long Huyền Thoại
1025,Vật Kỷ Niệm,Nhặt #L#cfa7a0f Tượng Hắc Long #n@1#r (Có vẻ như  Dã Nhân sợ Tượng Hắc Long),Nhặt #cfa7a0fTượng Hắc Long
1026,Thế Giới Mơ Hồ,"Liệu đây có phải kết thúc không? Không, nó là một khởi đầu mới! #r (Ai đó: Tôi sẽ quay trở )",#cfa7a0fThế giới mơ hồ
1027,Thùng Sắt,Tạo 1 #L#cfa7a0f xô sắt #n để lấy nước#r (1 lưới tưới nước để tưới cho 4 lưới tại  đất chăn nuôi),Chế tạo #cfa7a0fthùng sắt
1028,Mùa Trồng Trọt,Dùng #L#cfa7a0f hạt lúa mạch #n để trồng #r tại đất chăn nuôi (chỉ có thể được trồng tại đất chăn nuôi),Dùng #cfa7a0fhạt lúa mạch
1029,Mùa Thu Hoạch,Thu hoạch #L#cfa7a0f lúa mạch #n#r (Lúa mạch có thể được thu hoạch sau khi hạt giống lớn lên và phát triển),Nhận #cfa7a0flúa mạch
1030,Bánh Mì Nướng,Tạo ra #L#cfa7a0f bánh mỳ lúa mạch #n@1#r (ăn vào khoảng thời gian bất kỳ và bạn sẽ không bị đói),Chế tạo #cfa7a0fbánh mì lúa mạch
1031,Thợ Bánh Mì,Tạo 1 #L#cfa7a0f bánh mỳ dài#n@1,Chế tạo #cfa7a0fbánh mì dài
1032,Thợ Bánh Kem,Tạo #L#cfa7a0f bánh kem #n@1,Chế tạo #cfa7a0fbánh kem
1033,Đấu Bò,"Đánh bại  con bò để lấy  #L#cfa7a0f thịt bò sống #n@1#r (Con bò ăn cỏ, bò bòoo)",Nhận #cfa7a0fthịt bò sống
1034,Da,Đánh bại con bò để lấy #L#cfa7a0f tấm da mềm #n@1,Nhận #cfa7a0fDa
1035,Sườn Bò Nướng,Dùng lò luyện để làm #L#cfa7a0f thịt bò nướng #n@1,Chế tạo #cfa7a0fsườn bò nướng
1036,Gà con chạy mau,"Đánh bại con gà để lấy #L#cfa7a0f thịt gà sống #n@1#r (gà ăn hạt lúa mạch, cục ta cục tác)",Nhận #cfa7a0fthịt gà sống
1037,Trứng Vàng Trứng Bạc,Nhặt lên #L#cfa7a0f quả trứng #n@1,Nhận #cfa7a0ftrứng gà
1038,Gà Quay,Dùng lò luyện để tạo #L#cfa7a0f thịt gà quay #n@1,Chế tạo #cfa7a0fthịt gà quay
1039,Be be,"Đánh bại con cừu để nhặt #L#cfa7a0f đùi cừu sống  #n@1#r (cừu ăn cỏ, be be)",Nhận #cfa7a0fđùi cừu  sống
1040,Len,Đánh bại con cừu hoặc dùng kéo để nhặt #L#cfa7a0f len #n@1,Nhận #cfa7a0flen cừu
1041,Thảm len,Tạo #L#cfa7a0f thảm trải sàn #n@1,Chế tạo #cfa7a0fthảm
1042,Tình yêu cái đẹp,"Nhặt #L#cfa7a0f hoa #n@1#r (Hoa xinh đẹp, khá hiếm)",Nhận #cfa7a0fhoa
1043,Thế giới màu sắc,Tạo #L#cfa7a0f thuốc màu #n@1,Chế tạo #cfa7a0fthuốc nhuộm
1044,"Ô, đẹp quá",Tạo #L#cfa7a0f vải đỏ #n@1,Chế tạo #cfa7a0flen đỏ
1045,Quỹ đạo lữ hành,Tạo #L#cfa7a0f đường ray #n@1,Chế tạo #cfa7a0fđường ray sắt
1046,Xuất phát!,Tạo #L#cfa7a0f xe đường ray #n@1,Chế tạo #cfa7a0fXe Đường Ray
1047,Đầu Bếp,Tự động hoàn thành nhiệm vụ sau khi hoàn thành những nhiệm vụ tiền nhiệm,Chế tạo #cfa7a0fbữa tiệc
1048,Hiểu cuộc sống,Tự động hoàn thành nhiệm vụ sau khi hoàn thành những nhiệm vụ tiền nhiệm,Chế tạo #cfa7a0fmảnh pha lê đỏ
1049,Người Huấn Luyện Heo Con,"Dùng cỏ/thịt hoặc cà rốt cho 2 Heo Con gần đống cỏ khô ăn, để số lượng sinh sản Heo Con Bé Bỏng đạt 200 con @1",Sinh sản #cfa7a0f Heo Con
1050,Người Chăn Bò,Dùng một nắm đầy cỏ dại hoặc cỏ thường cho hai con Bò gần đống cỏ khô ăn để sinh ra 200 Bò Baby@1,Sinh sản  #cfa7a0f Bò
1051,Be be!,Dùng một nắm đầy cỏ dại hoặc cỏ thường cho hai con Cừu gần đống cỏ khô để sinh ra 200 Cừu Baby@1,Sinh sản #cfa7a0f Cừu
1052,Triệu Hồi Gà Nhỏ,"Dùng cỏ thường để cho hai con Gà gần chuồng ăn, để số lượng sinh sản của Gà Nhỏ đạt 200@1",Sinh sản #cfa7a0f Gà
1053,Cơ sở chăn nuôi quy mô lớn,Tự động hoàn thành nhiệm vụ sau khi hoàn thành xong nhiệm vụ tiền nhiệm,Hoàn thành #cfa7a0f series nhiệm vụ sinh sản động vật
1054,Giáo Đá,Tạo 1 #L#cfa7a0f giáo đá #n@1#r (Nguy hiểm luôn rình rập trong bóng đêm),Chế tạo #cfa7a0fgiáo đá
1055,Bén hơn,Tạo 1 #L#cfa7a0f kiếm sắt#n@1#r (xây một ngôi nhà để có thể tự bảo vệ bản thân),Chế tạo #cfa7a0fđoản kiếm
1056,Đồ vô dụng,"Tạo 1 #L#cfa7a0f thương dài#n@1#r (trang bị đầy đủ, không sợ bị tấn công)",Chế tạo #cfa7a0fgiáo nhọn
1057,Chém quái như chuối,Tạo 1 #L#cfa7a0f kiếm năng lượng #n@1#r (Giờ chúng ta cần trừng phạt bọn Dã Nhân bắt nạt),Chế tạo #cfa7a0fkiếm năng lượng
1058,Đánh xa,"Tạo 1 #L#cfa7a0f cung gỗ ngắn#n@1#r (cung gỗ ngắn có thể bắn xa hơn khi được kéo căng, và cần mũi tên)",Chế tạo #cfa7a0fcung gỗ
1059,Tôi cần một mũi tên,Tạo 1 #L#cfa7a0f mũi tên #n@1,Chế tạo #cfa7a0ftên đá
1060,Mũ bảo hiểm da,Tạo 1 #L#cfa7a0f mũ bảo hiểm da #n@1#r (có thể đội để tăng khả năng phòng ngự),Chế tạo #cfa7a0fmũ da
1061,Mũ bảo hiểm sắt,"Tạo 1 #L#cfa7a0f mũ bảo hiểm sắt #n@1#r (đồ dễ sử dụng, tăng phòng ngự)",Chế tạo #cfa7a0fmũ tinh thiết
1062,Mũ bảo hiểm kim cương,"Tạo 1 #L#cfa7a0f mũ bảo hiểm kim cương #n@1#r (dụng cụ cấp cao, tăng rất nhiều phòng ngự)",Chế tạo #cfa7a0fmũ ngọc xanh
1063,Giáp da,"Tạo 1 #L#cfa7a0f giáp da #n@1#r (dụng cụ cấp cao, tăng rất nhiều phòng ngự)",Chế tạo #cfa7a0fáo da
1064,Giáp sắt,"Tạo 1 #L#cfa7a0f giáp sắt #n@1#r (đồ dễ sử dụng, tăng phòng ngự)",Chế tạo #cfa7a0fáo tinh thiết
1065,Giáp Kim cương,"Tạo 1 #L#cfa7a0f giáp kim cương #n@1#r (cao cấp, tăng rất nhiều phòng ngự)",Chế tạo #cfa7a0fáo ngọc xanh
1066,Giáp chân da,Tạo 1 #L#cfa7a0f quần da #n@1#r (có thể mặc trên người để tăng phòng ngự ),@Null@
1067,Giáp chân sắt,"Tạo 1 #L#cfa7a0f giáp chân sắt #n@1#r (đồ dễ sử dụng, tăng phòng ngự)",Chế tạo #cfa7a0fquần tinh thiết
1068,Giáp chân kim cương,"Tạo 1 #L#cfa7a0f giáp chân kim cương #n@1#r (đồ dùng cấp cao, tăng rất nhiều phòng ngự)",Chế tạo #cfa7a0fquần ngọc xanh
1069,Giày Da,Tạo 1 đôi #L#cfa7a0f giày da #n@1#r (có thể mặc trên người để tăng phòng ngự),Chế tạo #cfa7a0fGiày Da
1070,Giày Sắt,"Tạo một đôi #L#cfa7a0f giày sắt #n@1#r (đồ dễ sử dụng, tăng phòng ngực)",Chế tạo #cfa7a0fgiày tinh thiết
1071,Giày kim cương,"Tạo một đôi #L#cfa7a0f giày kim cương #n@1#r (đồ cấp cao, tăng rất nhiều phòng ngự)",Chế tạo #cfa7a0fgiày ngọc xanh
1072,@Null@,@Null@,@Null@
1073,Bậc Thầy Phòng Thủ,Bạn đã trở thành bậc thầy đồ dùng@1,Hoàn thành #cfa7a0fthành tựu phòng thủ
1074,Cần giấy,Tạo 1 #L#cfa7a0f giấy@1#r (thu thập mía để làm),Chế tạo #cfa7a0ftrang giấy
1075,Sổ Tay Quán Ma,Tạo 1  #L#cfa7a0f sổ tay trống #n@1,Chế tạo #cfa7a0fsổ trắng
1076,Bậc Thầy Phụ Ma,Tự động hoàn thành nhiệm vụ sau khi hoàn thành nhiệm vụ tiền nhiệm,Hoàn thành #cfa7a0fthành tựu phụ ma
1077,Tiêu diệt chúng!,Tự động hoàn thành nhiệm vụ sau khi hoàn thành nhiệm vụ tiền nhiệm,Đánh bại #cfa7a0fquái
1078,Kẻ Thù Thợ Săn,Đánh bại 200 giáo Kẻ thù thợ săn@1,Đánh bại #cfa7a0fThợ Săn Dã Nhân
1079,Kẻ Thù Lòng Đất,Đánh bại 100 Sứ Đồ Hư Vô@1,Đánh bại #cfa7a0fSứ Đồ Hư Vô
1080,Kẻ Thù Dã Nhân,Đánh bại 500 dã nhân @1,Đánh bại #cfa7a0fDã Nhân
1081,Trứng Boom!,Đánh bại 200 trứng boom @1,Đánh bại #cfa7a0fTrứng Boom
1082,Xứng Danh Cùng Thần,Tự động hoàn thành nhiệm vụ sau khi hoàn thành nhiệm vụ tiền nhiệm,Hoàn thành tất cả #cfa7a0f Series nhiệm vụ đánh bại quái vật Miras
