ID,名字,类型名称
ID,Name,TypeName
1,Phía trước,Di chuyển
2,Bên trái,Di chuyển
3,Bên phải,Di chuyển
4,Phía sau,Di chuyển
5,Nhảy,Di chuyển
6,Ẩn thân,Di chuyển
7,Chạy nhanh,Di chuyển
8,Túi,Thanh vật phẩm
9,Bỏ,Thanh vật phẩm
10,Phím tắt 1,Thanh vật phẩm
11,Phím tắt2,Thanh vật phẩm
12,Phím tắt 3,Thanh vật phẩm
13,Phím tắt4,Thanh vật phẩm
14,Phím tắt 5,Thanh vật phẩm
15,Phím tắt 6,Thanh vật phẩm
16,Phím tắt 7,Thanh vật phẩm
17,Phím tắt 8,Thanh vật phẩm
18,Sắp xếp,Thanh vật phẩm
19,Thanh chat,Game nhóm
20,Tương tác,Game nhóm
21,Tỷ số,Game nhóm
22,Thành tựu,Tính năng
23,Bản đồ nhỏ,Tính năng
24,Thú cưỡi,Tính năng
25,Thiết lập chế độ cách chơi,Tính năng
26,Trạng thái,Tính năng
27,Kho,Tính năng
28,Trang phục,Tính năng
29,Nạp,Tính năng
30,Thay băng đạn,Thanh vật phẩm
31,Tắt/Mở voice,Chơi nhiều người
32,Tắt/Mở Mic,Chơi nhiều người
33,Thư viện tài nguyên,Tính năng
34,Khung thông tin dành cho dev,Tính năng
35,Thanh phím tắt lật trang trái,Tính năng
36,Thanh phím tắt lật trang phải,Tính năng
37,Giao diện tài nguyên,Tính năng
38,Scripts,Tính năng
39,Sửa nâng cao,Tính năng
40,Trigger,Tính năng
