ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,Không Khí,Ngươi không thể thấy ta,@Null@
1,Đá Flamas,"Nằm ở sâu trong Lòng Đất. Rất cứng, không thể lay chuyển",
2,Khối Tính Năng,Khối chức năng,@Null@
3,Tĩnh thủy,Khối nước bất động,@Null@
4,Nước Động,Nước có thể lưu chuyển,
5,Dung nham tĩnh,"Khối Dung Nham đứng yên, cẩn thận bị bỏng!",
6,Dung Nham Động,"Khối Dung Nham có thể lưu chuyển, cẩn thận bị bỏng, sẽ bị thương đấy!",
7,Hiệu ứng dịch chuyển tức thời,Dường như là một khối ma pháp,@Null@
8,Khối Gạch Nung Khắc Hoa,"Khối Kiến Trúc với đầy chạm trổ, chất liệu cứng chắc",
9,Khối Tăng Tốc Di Chuyển,Người đi xuyên qua Khối này sẽ chịu một lực đẩy kỳ lạ,
10,Khối Tinh Năng,"Sau khi đặt xuống, có thể liên tục cung cấp #c0aba1d Tín Hiệu Lực Sao#n",
11,Mật Ong Tĩnh,Mật ong bất động,@Null@
12,Mật Ong Động,Mật ong có thể chuyển động,
13,Cát Lún Khô Tĩnh,"“Dòng sông” do cát mịn hình thành, rất nguy hiểm!",
14,Cát Chảy Động,"“Dòng sông” do cát mịn hình thành, rất nguy hiểm!",
15,Đá Nguyền Rủa,"Nham Thạch toát ra mùi kỳ lạ, sau khi chạm vào Cát Chảy sẽ ra sao?  Khi đào sẽ nhận được Lời Nguyền Chảy Máu!",Tường Ngoài của Di Tích Dưới Đất
16,Đá Nguyền Rủa - Kích Hoạt,"Nham Thạch toát ra mùi kỳ lạ, sau khi chạm vào Cát Chảy sẽ ra sao? Khi đào sẽ nhận được Lời Nguyền Chảy Máu!",Tường Ngoài của Di Tích Dưới Đất
17,Chất Độc Mạnh Tĩnh,"Chất lỏng toát ra mùi nguy hiểm, hãy tránh xa",
18,Chất Độc Mạnh Trạng Thái Động,"Chất lỏng toát ra mùi nguy hiểm, hãy tránh xa",
19,Đá Xói Mòn,"Nham Thạch Sa Mạc bị gió xói mòn, trông khá mỏng manh",
20,Không Khí Ngoài Hành Tinh,Mau tải phiên bản game mới nhất đi nào!,
21,"Phiên bản đã hết hạn, hãy cập nhật phiên bản mới nhất !",Hãy cập nhật phiên bản mới nhất!,@Null@
22,"Phiên bản đã hết hạn, hãy cập nhật phiên bản mới nhất !",Hãy cập nhật phiên bản mới nhất!,@Null@
23,Nham Thạch Tích Tụ Sâu,"Kết cấu chồng tầng được hình thành do bị dồn nén mấy mươi ngàn năm dưới đáy biển sâu, bao hàm các loại dinh dưỡng cần cho loại Tảo Biển Sâu, cực kỳ thích hợp trồng Tảo Gậy Huỳnh Quang và Tảo Đỏ",Nhận khi phá hoại Nham Thạch Tích Tụ Sâu
24,Mỏ Lõi Hạch Manga,"Dùng để #c0aba1d cường hóa Trang Bị Lặn, chế tạo Khối Thủy Tinh Cứng #n chế ngự cao áp của biển sâu","Là mỏ được hình thành do Kim Loại Manga tích tụ không ngừng trong Nham Thạch Tích Tụ Sâu, vì thế chỉ có ở trong biển sâu, sau khi phá hoại sẽ rơi ra Lõi Hạch Manga"
25,Đá Ngầm,"Cực kỳ thích hợp cho San Hô sinh trưởng, sau khi San Hô lớn, màu của Đá Ngầm cũng sẽ có thay đổi theo",
26,Bình Ước Nguyện,"Trong sinh thái Đại Dương và Sông, #c0aba1d tụ lực#n ném đi, dòng nước sẽ đưa Ước Nguyện của bạn đến phương xa, có lẽ một ngày nào đó sẽ được ai đó ở phương xa phát hiện",Cho vào Cuộn Da và đặt trong Khối Bình Thủy Tinh Nhỏ sẽ nhận được
