角色ID,越南语,越南语,越南语,越南语,越南语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,Tù Trưởng,"Thủ lĩnh của bộ lạc người nguyên thủy, thích phiêu lưu khắp nơi, mở rộng lãnh địa bộ lạc",Cường Tráng,Tăng sát thương cơ bản (Chưa kích hoạt),@Null@
2,Tù Trưởng,"Thủ lĩnh của bộ lạc người nguyên thủy, thích phiêu lưu khắp nơi, mở rộng lãnh địa bộ lạc",Cường Tráng 1,Sát thương cơ bản tăng 5 điểm,@Null@
3,Tù Trưởng,"Thủ lĩnh của bộ lạc người nguyên thủy, thích phiêu lưu khắp nơi, mở rộng lãnh địa bộ lạc",Cường Tráng 2,Sát thương cơ bản tăng 10 điểm,@Null@
4,Tù Trưởng Phu Nhân,"Người mẹ của người nguyên thủy dũng mãnh, là một tay săn bắn cừ khôi trong bộ lạc",Chuyên Gia Săn Bắn,Tăng thu hoạch săn bắn (Chưa kích hoạt),@Null@
5,Tù Trưởng Phu Nhân,"Người mẹ của người nguyên thủy dũng mãnh, là một tay săn bắn cừ khôi trong bộ lạc",Chuyên Gia Săn Bắn 1,Đánh quái có 25% tỷ lệ rơi đồ x2,@Null@
6,Tù Trưởng Phu Nhân,"Người mẹ của người nguyên thủy dũng mãnh, là một tay săn bắn cừ khôi trong bộ lạc",Chuyên Gia Săn Bắn 2,Đánh quái có 25%/15% tỷ lệ rơi đồ x2/3,@Null@
7,Kaka,"Từ nhỏ sống trong bộ lạc nguyên thủy, có bản lĩnh sinh tồn dã ngoại",Quật Cường,Giảm sát thương tầm xa phải chịu (Chưa kích hoạt),@Null@
8,Kaka,"Từ nhỏ sống trong bộ lạc nguyên thủy, có bản lĩnh sinh tồn dã ngoại",Quật Cường 1,Giảm 20% sát thương tầm xa phải chịu,@Null@
9,Kaka,"Từ nhỏ sống trong bộ lạc nguyên thủy, có bản lĩnh sinh tồn dã ngoại",Quật Cường 2,Giảm 40% sát thương tầm xa phải chịu,@Null@
10,Ni Ni,"Em gái cần cù của người nguyên thủy, làm việc rất tích cực",Chăm Chỉ,Tăng tốc độ thu thập (Chưa kích hoạt),@Null@
11,Ni Ni,"Em gái cần cù của người nguyên thủy, làm việc rất tích cực",Chăm Chỉ 1,Tốc độ thu thập tăng 50%,@Null@
12,Ni Ni,"Em gái cần cù của người nguyên thủy, làm việc rất tích cực",Chăm Chỉ 2,Tốc độ thu thập tăng 100%,@Null@
13,Gấu Bom,"Cậu bé yêu thích hóa học và thích mặc trang phục Gấu, đợi đã, thứ câu ta cần trên tay là gì vậy?",Thiên Tài Đánh Bom,Giảm sát thương nổ nhận được (Chưa kích hoạt),@Null@
14,Gấu Bom,"Cậu bé yêu thích hóa học và thích mặc trang phục Gấu, đợi đã, thứ câu ta cần trên tay là gì vậy?",Thiên Tài Đánh Bom 1,Giảm 20% sát thương nổ phải chịu,@Null@
15,Gấu Bom,"Cậu bé yêu thích hóa học và thích mặc trang phục Gấu, đợi đã, thứ câu ta cần trên tay là gì vậy?",Thiên Tài Đánh Bom 2,Giảm 40% sát thương nổ phải chịu,@Null@
16,Đội Trưởng Tom,"Cựu lính đặc chủng đội gìn giữ hòa bình thế giới, dã ngoại sinh tồn và dùng súng đều lợi hại.",Dã Ngoại Sinh Tồn,Tăng cường hiệu quả thức ăn và thở dưới nước (Chưa kích hoạt),Đạo cụ mở khóa có thể nhận trong Vườn Quả
17,Đội Trưởng Tom,"Cựu lính đặc chủng đội gìn giữ hòa bình thế giới, dã ngoại sinh tồn và dùng súng đều lợi hại.",Dã Ngoại Sinh Tồn 1,"Thức ăn hồi cho độ đói, điểm HP, thời gian hô hấp dưới nước mỗi loại tăng 15%",Đạo cụ mở khóa có thể nhận trong Vườn Quả
18,Đội Trưởng Tom,"Cựu lính đặc chủng đội gìn giữ hòa bình thế giới, dã ngoại sinh tồn và dùng súng đều lợi hại.",Dã Ngoại Sinh Tồn 2,"Thức ăn hồi cho độ đói, điểm HP, thời gian hô hấp dưới nước mỗi loại tăng 30%",Đạo cụ mở khóa có thể nhận trong Vườn Quả
