keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Phóng,Có 10% tỷ lệ Phóng+
5002,Phóng,Có 20% tỷ lệ Phóng+
5003,Phóng,Có 30% tỷ lệ Phóng+
6001,Sắc Bén,Tấn Công Cận Chiến +
6002,Sắc Bén,Tấn Công Cận Chiến +
6003,Sắc Bén,Tấn Công Cận Chiến +
7001,Thợ Săn Người,Thợ Săn Người +
7002,Thợ Săn Người,Thợ Săn Người +
7003,Thợ Săn Người,Thợ Săn Người +
8001,Thợ Săn Dã Thú,Thợ Săn Dã Thú+
8002,Thợ Săn Dã Thú,Thợ Săn Dã Thú+
8003,Thợ Săn Dã Thú,Thợ Săn Dã Thú+
9001,Thợ Săn Tinh Anh,Thợ Săn Tinh Anh+
9002,Thợ Săn Tinh Anh,Thợ Săn Tinh Anh+
9003,Thợ Săn Tinh Anh,Thợ Săn Tinh Anh+
10001,Đốt Cháy,Cấp Đốt Cháy
10002,Đốt Cháy,Cấp Đốt Cháy
10003,Đốt Cháy,Cấp Đốt Cháy
11001,Tăng cự ly đánh lui,Tăng cự ly đánh lui
11002,Tăng cự ly đánh lui,Tăng cự ly đánh lui
11003,Tăng cự ly đánh lui,Tăng cự ly đánh lui
12001,Săn Bắn May Mắn,Cấp Săn Bắn May Mắn
12002,Săn Bắn May Mắn,Cấp Săn Bắn May Mắn
12003,Săn Bắn May Mắn,Cấp Săn Bắn May Mắn
13001,Bắn Mạnh,Sát Thương Cung Tên +
13002,Bắn Mạnh,Sát Thương Cung Tên +
13003,Bắn Mạnh,Sát Thương Cung Tên +
14001,Bắn Vô Tận,Bắn Vô Tận
14002,Bắn Vô Tận,Bắn Vô Tận
14003,Bắn Vô Tận,Bắn Vô Tận
15001,Bền,Độ Bền +
15002,Bền,Độ Bền +
15003,Bền,Độ Bền +
16001,Kháng Cận Chiến,Kháng Cận Chiến +
16002,Kháng Cận Chiến,Kháng Cận Chiến +
16003,Kháng Cận Chiến,Kháng Cận Chiến +
17001,Kháng Tầm Xa,Kháng Tầm Xa +
17002,Kháng Tầm Xa,Kháng Tầm Xa +
17003,Kháng Tầm Xa,Kháng Tầm Xa +
18001,Kháng Nổ Tung,Kháng Nổ Tung +
18002,Kháng Nổ Tung,Kháng Nổ Tung +
18003,Kháng Nổ Tung,Kháng Nổ Tung +
19001,Kháng Cháy,Kháng Cháy +
19002,Kháng Cháy,Kháng Cháy +
19003,Kháng Cháy,Kháng Cháy +
20001,Kháng Độc Tố,Kháng Độc Tố +
20002,Kháng Độc Tố,Kháng Độc Tố +
20003,Kháng Độc Tố,Kháng Độc Tố +
21001,Kháng Hỗn Loạn,Kháng Hỗn Loạn +
21002,Kháng Hỗn Loạn,Kháng Hỗn Loạn +
21003,Kháng Hỗn Loạn,Kháng Hỗn Loạn +
22001,Phản Kích,Có 15% tỷ lệ phản kích cận chiến+
22002,Phản Kích,Có 30% tỷ lệ phản kích cận chiến+
22003,Phản Kích,Có 45% tỷ lệ phản kích cận chiến+
23001,Giảm cự ly đánh lui,Giảm cự ly bị đánh lui
23002,Giảm cự ly đánh lui,Giảm cự ly bị đánh lui
23003,Giảm cự ly đánh lui,Giảm cự ly bị đánh lui
24001,Hoàn Chỉnh Nhận,Hoàn Chỉnh Nhận
24002,Hoàn Chỉnh Nhận,Hoàn Chỉnh Nhận
24003,Hoàn Chỉnh Nhận,Hoàn Chỉnh Nhận
25001,Tốc độ đào,Tốc độ đào+
25002,Tốc độ đào,Tốc độ đào+
25003,Tốc độ đào,Tốc độ đào+
26001,Đào May Mắn,Cấp Đào May Mắn
26002,Đào May Mắn,Cấp Đào May Mắn
26003,Đào May Mắn,Cấp Đào May Mắn
27001,Bắn Nổ,Bắn Nổ +
27002,Bắn Nổ,Bắn Nổ +
27003,Bắn Nổ,Bắn Nổ +
28001,Rồng Rớt Chậm,Thiệt hại do rơi -
28002,Rồng Rớt Chậm,Thiệt hại do rơi -
28003,Rồng Rớt Chậm,Thiệt hại do rơi -
29001,Thợ Săn Dã Nhân,Thợ Săn Dã Nhân +
29002,Thợ Săn Dã Nhân,Thợ Săn Dã Nhân +
29003,Thợ Săn Dã Nhân,Thợ Săn Dã Nhân +
30001,Tốc Độ Rớt (Giáp chân),"Ngồi xổm trên không, tốc độ rớt +"
30002,Tốc Độ Rớt (Giáp chân),"Ngồi xổm trên không, tốc độ rớt +"
30003,Tốc Độ Rớt (Giáp chân),"Ngồi xổm trên không, tốc độ rớt +"
31001,Leo Tường (Giày),"Có thể leo tường, nhưng tốc độ"
31002,Leo Tường (Giày),"Có thể leo tường, nhưng tốc độ"
31003,Leo Tường (Giày),"Có thể leo tường, nhưng tốc độ"
32001,Chảy Máu,Cấp Chảy Máu
32002,Chảy Máu,Cấp Chảy Máu
32003,Chảy Máu,Cấp Chảy Máu
33001,Roi Chớp,Roi Chớp (LV.1)
33002,Roi Chớp,Roi Chớp (LV.2)
33003,Roi Chớp,Roi Chớp (LV.3)
34003,Roi Chớp,Roi Chớp (LV.4)
35003,Roi Chớp,Roi Chớp (LV.5)
36001,Câu Cá May Mắn,Cấp Câu Cá May Mắn
36002,Câu Cá May Mắn,Cấp Câu Cá May Mắn
36003,Câu Cá May Mắn,Cấp Câu Cá May Mắn
37001,Chống Rét,Chống Rét +
37002,Chống Rét,Chống Rét +
37003,Chống Rét,Chống Rét +
38001,Kháng Đóng Băng,Kháng Đóng Băng +
38002,Kháng Đóng Băng,Kháng Đóng Băng +
