ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Đặt Quả Thần,"Trên Ngai Đá Sinh Mệnh, đặt @item_587#@1#r (“Quả Thần” tượng trưng cho kỹ thuật cải tạo gien từng huy hoàng nhất của “Người Thời Xưa”)","Trên Ngai Đá Sinh Mệnh, đặt @item_587#"
1001002,Đặt Kiếm Gãy Rực Lửa,"Trên Ngai Đá Can Đảm, đặt @item_588#@1#r (“Kiếm Gãy Rực Lửa” tượng trưng cho sự hợp tác lâu dài từng có của “Người Thời Xưa” và “Rồng Đen”)","Trên Ngai Đá Can Đảm, đặt @item_588#"
1001003,Đặt Mắt Người Đá,"Trên Ngai Đá Trí Tuệ, đặt @item_589#@1#r (“Mắt Người Đá” tượng trưng cho trí tuệ nhân tạo mà “Người Thời Xưa” từng rất tự hào)","Trên Ngai Đá Trí Tuệ, đặt @item_589#"
1001004,Quyết Chiến Bóng Ma Hư Không!,"Đánh bại Bóng Ma Hư Không! # r (Đã không thể quay đầu nữa, hãy vì Vũ Trụ MINI!)",Đánh bại Bóng Ma Hư Không!
1001005,Tiếp xúc Hư Không,Nhận được @item_11333##r (Đây là ... Khởi đầu mới ư?......),Nhận được @item_11333#
1002001,Trở lại Miras,"Cuối cùng cũng an toàn đến được Miras rồi. # r Nhưng, lúc đột phá phong tỏa Chuỗi Sao, cả nhánh đội ngũ đều đã bị đánh tan rồi, không biết có còn Đồng Hành nào khác đến Miras hay không?",Đến Miras
1002002,Tôi cần vài Cục Đá,"Thu thập @item_110# nhận được @item_11627#@1#r (nhấp và giữ Khối Đá để thu thập, cũng có thể mở trang điều khiển - gia công, để gia công @item_104# và nhận được @item_11627#)",Thu thập @item_110# nhận được @item_11627#@1
1002003,Nhiều Vật Liệu Hơn,"Thu thập Cành Cây nhận được @item_11323#@1#r (nhấp và giữ Cành Cây để thu thập, Cành Cây của một vài cây mọc ở nơi tương đối cao, có cách nào để tăng độ cao cho chính mình không nhỉ)","Thu thập Cành Cây, nhận được @item_11323#@1"
1002004,Bắt đầu cuộc sống tốt đẹp ...,Dùng @item_11627# và @item_11323# để gia công @item_11002#@1#r (dụng cụ vừa tay có thể giúp thu thập tài nguyên nhanh hơn),Mở ra trang điều khiển để gia công @item_11002#@1
1002005,Tiều Phu,"Dùng @item_11002#, thu thập Cành Khô! Nhận được @item_11323#@1#r (@item_11323# là vật cực kỳ quan trọng trong những chuyến du hành sau này)",Chặt cây thu thập @item_11323#@1
1002006,Thợ Xây Lành Nghề,"Dùng @item_11323# để gia công @item_206#@1#r (ngoài @item_206# ra, đại đa số đạo cụ gỗ cần dùng đến @item_11323# để gia công, hãy thu thập nhiều một chút nhé)",Gia công @item_206#@1
1002007,Nơi Nương Náu,"Đặt @item_206#@1#r (Trạm Sao vừa được chuyển đến hình như có một phòng bị hư hỏng, chắc là có thể dùng @item_206# để tu sửa, như thế sẽ ổn hơn)",Đặt @item_206#@1
1002008,Trang Bị Cho Chính Mình,"Dùng @item_11323# và @item_11627# gia công @item_12012#@1#r (Sinh tồn dã ngoại luôn có nguy hiểm khắp nơi, một vũ khí tiện tay là vật không thể thiếu!)",Gia công @item_12012#@1
1002009,Ra Tay!,Đánh bại quái vật bất kỳ @1#r (tốt nhất thì nên phòng thủ hay nên tấn công? Hãy thử Vũ Khí vừa làm được xem có vừa tay không),Đánh bại sinh vật bất kỳ @1
1002010,Ánh Sáng Trong Đêm!,"Dùng @item_11323# và @item_11226# để gia công @item_298#@1#r (Chú ý! Thời gian cháy của Bó Đuốc Nhỏ có hạn, sau khi tắt dụi cần Đốt Cháy lại, nhưng dùng làm vật chiếu sáng tạm thời thì tuyệt đối okie)",Gia công @item_298#@1
1002011,Tiệc Đêm Lửa Trại,"Dùng @item_298# để đốt cháy @item_1200#@1#r (trong căn phòng hư hỏng của Trạm Sao gần đó có lẽ sẽ có @item_1200#, tự mình cũng có thể gia công một cái.)",Đốt cháy @item_1200#@1
1002012,Thợ,"Dùng @item_11323# và @item_11627# để gia công @item_800#@1#r (thứ cần cho Bàn Thợ, du hành, ở nhà! Woa! Có thể gia công càng nhiều vật phẩm nè!)",Gia công @item_800#@1
1002013,Đồ Cần Để Sinh Tồn,"Dùng @item_12600# và @item_11226# để gia công @item_828#@1#r (khi gia công, cần dùng @item_800# . Sau khi gia công xong, hãy nhớ đặt @item_828# ở nơi an toàn, nếu xung quanh có nguy hiểm thì không thể ngủ được đâu!)",Gia công @item_828#@1
1002014,Nghỉ ngơi thoải mái chút đi.,"Dùng @item_828# để ngủ một giấc nào #r (nhấp vào @item_828# để nằm lên, nhưng sẽ không ngủ được vào ban ngày, buổi tối mới dùng được. Đêm tối ở Miras bắt đầu từ 20:00, hãy chú ý thời gian nhé)",Nhấp vào @item_828# đã đặt xong rồi ngủ một giấc
1003001,"Thịt Nướng, Thơm Phức!","Đặt @item_12513# trên Lửa Trại để nướng chín, nhận được @item_12514#@1#r (đại đa số Thịt mà động vật rơi ra đều có thể nướng, ăn Thịt Tươi ở Dã Ngoại là một chuyện cực kỳ nguy hiểm, hãy nướng chín rồi hãy ăn nhé)",Dùng @item_1200# để nướng và nhận được @item_12514#@1
1003002,Bị chinh phục bởi Thịt Nướng,Ăn vài @item_12514# để hồi Thể Lực nào @1#r (sau khi ăn sẽ thấy toàn thân tràn trề Sức Mạnh!),Ăn @item_12514#@1
1003003,Khắc Tinh Khoáng Vật,"Dùng @item_11627# và @item_11323# để gia công @item_11012#@1#r (khi có được @item_11012# thì mới có thể thu thập khoáng vật nhanh được, đào mỏ bằng tay không khổ lắm ó!)",Gia công @item_11012#@1
1003004,Nguồn Năng Lượng Mới?,"Tay cầm @item_11012# để đào @item_402# và nhận được @item_11201#@1#r (@item_11201# là Chất Đốt Tinh Luyện thường thấy trên Miras, dù là trên hay dưới mặt đất, hãy lưu ý nhé)",Thu thập @item_402#@1
1003005,Khoáng Vật Mới Toanh!,"Tay cầm @item_11012# để đào @item_451#@1#r (@item_451# phân bố rất rộng ở Miras, sản lượng ở trên và dưới mặt đất đều rất nhiều)",Thu thập @item_451#@1
1003006,Người Gia Công Ở Bàn Tinh Luyện,"Dùng @item_11226# và @item_101# để gia công @item_802#@1#r (khi có được @item_802# sẽ có thể tinh luyện Kim Loại, hãy tìm ít Mỏ để nâng cấp công cụ này đi)",Gia công @item_802#@1
1003007,Tinh Luyện Kim Loại: Đồng Vàng,"Ở @item_802# sử dụng nhiên liệu đốt @item_451# tinh luyện @item_11329#@1#r (@item_11329# là một loại kim loại rất cơ bản, sử dụng rộng rãi, có thể dùng để tăng cấp công cụ, tăng hiệu suất)",Tinh Luyện nhận @item_11329#@1
1003008,Dụng Cụ Vừa Tay Hơn,"Dùng @item_11329# và @item_11323 để gia công @item_11011#@1#r (khi gia công, cần dùng @item_800#. Khi có được @item_11011# , tốc độ đào sẽ không thể so bì nổi!)",Gia công @item_11011#@1
1003009,Bài Học Sinh Tồn Dã Ngoại Đầu Tiên,"Hoàn thành tất cả nhiệm vụ trong mục tiêu “Nhà Thám Hiểm Mới” .# r (Đã học được những cách cơ bản nhất để sinh tồn nơi Dã Ngoại, đã là lúc học một biết mười rồi. Mưu đồ của Bóng Ma Hư Không vẫn chưa chấm dứt, hay cố gắng tiếp nào!)",Hoàn thành tất cả nhiệm vụ trong mục tiêu “Nhà Thám Hiểm Mới
1004001,Bắt Đầu Trồng Trọt,Dùng @item_11627# và @item_11323# để gia công @item_11032#@1#r (có được nó là có thể khai hoang Đất Canh Tác rồi),Gia công @item_11032#@1
1004002,Khai hoang Đất Canh Tác,"Tay cầm @item_11032# dùng cho @item_100# hoặc @item_101# , sẽ khiến nó biến thành Đất Canh Tác @1#r (trên phiên bản PC nhắm kỹ Khối rồi nhấp và giữ phím chuột phải, trên phiên bản di động, nhấp và giữ Khối để khai hoang Đất Canh Tác)",Tay cầm @item_11032# để khai hoang Đất Canh Tác @1
1004003,Vua Lương Thực,Trồng @item_11400# trên Đất Canh Tác @1#r (tay cầm @item_11400# nhấp vào Đất Canh Tác để trồng),Gieo hạt @item_11400#@1
1004004,Bón phân,"Dùng cho tác vật @item_11311#@1#r(@item_11311# có thể tăng tốc độ sinh trưởng của đa số thực vật, nhưng không phải lần bón phân nào cũng thành công...)",Dùng @item_11311# @1cho tác vật
1004005,Được Mùa!,Thu hoạch @item_229#@1#r chín (lần đầu thu hoạch luôn khiến người ta trọn đời khó quên),Thu hoạch @item_229#@1
1004006,Khởi Đầu Của Bếp Trưởng,"Dùng @item_104# gia công @item_200108#@1#r (khi gia công cần sử dụng @item_800#. Lửa Trại có thể sử dụng @item_298# để đốt cháy, còn nhớ không? Đặt @item_200108# trên @item_1200# đang đốt cháy là có thể làm ra được nhiều món ngon rồi)",Gia công @item_200108#@1
1004007,Nguyên Liệu Chuẩn Bị,Dùng @item_229# để gia công @item_344#@1#r (khi gia công cần dùng @item_800# . @ Item_344# là nguyên liệu cơ bản của rất nhiều món),Gia công @item_344#@1
1004008,Món Ngon Ra Lò,"Nấu ra @item_12502#@1#r (trong @item_200108# hãy sử dụng @item_344# nhé, sau đó chờ món ngon ra lò)",Trong @item_200108# nấu @item_12502#@1
1004009,Ăn No Thỏa Thích,Ăn @item_12502#@1#r (chỉ khi ăn nó mới có sức làm việc!),Ăn @item_12502#@1
1004010,Balo Đã Đầy!,Dùng @item_11323# để gia công @item_1180#@1#r (những vật phẩm không đặt được vào Balo sẽ được lưu trữ trong Rương Chứa Đồ),Gia công @item_1180#@1
1004011,Chế Ngự Cường Địch,"Dùng @item_11323# gia công @item_812# và đặt @1#r (sau khi lắp Cửa cho nhà, sẽ có thể ra vào thuận tiện, còn có thể ngăn phòng quái vật vào nhà. Nhưng cần cẩn thận, @item_812# có thể sẽ bị Dã Nhân phá hoại!)",Gia công và đặt @item_812#@1
1004012,Công Tác Phòng Thủ,Dùng @item_11323# để gia công @item_821# và đặt @1#r (cầm @item_821# nhấp vào @item_821# đã được đặt thì sẽ nối được),Gia công và đặt @item_821#@1
1004013,Lối ra vào Thành Phòng Thủ,"Dùng @item_11323# và @item_11227# để gia công @item_535# và đặt trên @1#r(@item_535# sẽ có thể nối với Cọc Gỗ, khiến quái vật không thể tùy ý xông vào Cứ Điểm của bạn)",Gia công và đặt @item_535#@1
1004014,Tượng Đá Bí Ẩn,"Dùng @item_104# để gia công @item_596# và đặt @1#r (Tượng Đá kỳ lạ phát sáng khiến người nhìn có một cảm giác lạ lùng, khi chạm vào nó có lẽ sẽ có điều gì đó xảy ra)",Gia công và đặt @item_596#@1
1004015,"Ở đây, hãy bắt đầu lại từ đầu.","Dâng cho @item_596# Sao Sáng @1#r (sau khi nhấp vào @item_596# , hãy chọn “Dâng một Sao Sáng”, khi gặp phải nguy hiểm ở Dã Ngoại thì Lamy sẽ đưa bạn về lại nơi này)",Giâng cho @item_596# Sao Sáng @1
1004016,Bài Học 2 Sinh Tồn Dã Ngoại,"Hoàn thành tất cả nhiệm vụ trong mục tiêu ""Học Nữa Học Mãi"". #r (Đã học được càng nhiều kiến thức sinh tồn, đã là lúc tiến bộ thêm một bước)","Hoàn thành tất cả nhiệm vụ trong mục tiêu ""Học Nữa Học Mãi"""
1004017,Nguồn Sáng Tự Nhiên,"Dùng @item_837# làm ra @item_905# hoặc @item_907#@1#r(Nguồn sáng tự nhiên chiếu sáng vĩnh cửu, biết đâu nó có thể thay thế ngọn đuốc có thể tắt bất cứ lúc nào)",Gia công @item_905# hoặc @item_907#@1
1005001,Lớp Ngoài Kiên Cố,"Săn sẽ nhận được @item_11307#@1#r (cần đánh bại Bò hoặc Sói mới có thể nhận @item_11307# , phải tìm kỹ càng nha)",Nhận được @item_11307#@1
1005002,Trang Bị Đồng Vàng!,"Gia công và mặc Trang Bị Đồng Vàng bất kỳ, như: @item_12216#@1#r (sau khi mặc Trang Bị Đồng Vàng thì càng chịu đòn tốt hơn đấy, ha ha!)",Gia công và mặc Trang Bị Đồng Vàng bất kỳ @1
1005003,Vũ khí sắc bén hơn,Sử dụng @item_11329# và @item_11323# gia công @item_12004#@1#r (có @item_12004# thì năng lực chiến đấu sẽ tăng ngay),Gia công @item_12004#@1
1005004,Bắt Trộm,"Đánh bại Sứ Đồ Hư Không sẽ nhận được @item_11911#@1#r (Bóng Ma Hư Không dựa vào đám Sứ Đồ này để trộm lấy Sức Mạnh Sáng Tạo ở khắp nơi, cần phải ngăn chúng lại!)",Đánh bại Sứ Đồ Hư Không để nhận được @item_11911#@1
1005005,Nâng cấp Bàn Thợ!,"Nâng cấp @item_800# thành @item_797#@1#r (tay cầm @item_11911# và nhấp vào @item_800# đã được đặt để nâng cấp, @item_797# có thể nhìn thấy tất cả những Công Thức để gia công)",Tay cầm @item_11911# để nhấp @item_800#
1005006,Thay Mới,"Thực hiện một lần tu sửa công cụ hoặc trang bị @1#r (dùng @item_797# hoặc @item_800# đều được, nhấp vào Bàn Thợ để mở trang, rồi chọn “tu sửa đạo cụ” ở bên trái, cho vật phẩm cần tu sửa vào)",Thực hiện một lần tu sửa Đạo Cụ hoặc Trang Bị @1
1005007,Nâng Hiệu Suất Tinh Luyện,"Dùng @item_11329# để gia công @item_799#@1#r (sau khi đổi thành Bàn Tinh Luyện cao cấp hơn, sẽ tinh luyện được nhiều nhóm khoáng vật trong một lần, hiệu suất nhân đôi)",Gia công @item_799#@1
1005008,Khoáng Vật Đáng Tin Cậy,"Thu thập @item_401#@1#r (@item_401# có chất liệu cứng chắc hơn @item_451#, khoáng vật phân bố cũng ở nơi sâu hơn, cần đào sâu xuống dưới mấy tầng mới tìm thấy được, nhưng cũng đừng đào sâu quá nhé)",Thu thập @item_401#@1
1005009,Tinh Luyện Kim Loại: Bạc Kín,"Tinh luyện nhận được @item_11209#@1#r (sau khi có được @item_11209# sẽ có thể gia công những công cụ và trang bị bền hơn, còn có thể gia công nhiều loại Khối hơn, đề nghị dự trữ nhiều một chút)",Tinh luyện nhận được @item_11209#@1
1005010,Công Cụ Bạc Kín!,"Gia công @item_11013#@1#r(@item_11013# nhanh hơn nhiều so với @item_11011#, hơn nữa có thể dùng Rune khảm để có được năng lực hiệu quả cao hơn)",Gia công @item_11013#@1
1005011,Sức Mạnh Tự Nhiên Ngưng Tụ,"Gia công @item_785#@1#r (dùng @item_785# là có thể khảm Bùa cho đạo cụ, vũ khí hoặc trạng thái rồi, Đá Bùa có nhiều loại, hãy khám phá và tìm dưới lòng đất xem)",Gia công @item_785#@1
1005012,Kích hoạt Sức Mạnh Bùa,"Thực hiện một lần khảm Bùa #r (nhấp @item_785# để mở trang, rồi tự do lựa chọn trong số các Bùa và công cụ ở bên trái. Hãy thử thêm vài lần nhé, khảm Bùa không phải lần nào cũng thành công)",Dùng @item_785# để khảm Bùa một lần
1005013,Lại tiến thêm một bước!,"Hoàn thành tất cả nhiệm vụ trong mục tiêu ""Người Khám Phá Lão Làng"". # r (Bạn đã có thể tự lập được rồi, hãy tiếp tục khiến mình mạnh lên, và chiến thắng Bóng Ma Hư Không nhé!)","Hoàn thành tất cả nhiệm vụ trong mục tiêu ""Người Khám Phá Lão Làng"""
1006001,Mảnh Ngày Xưa,"Ở dưới đất, thu thập @item_598# nhận được @item_11205#@1#r (@item_11331# được cấu thành bởi @item_11205# , có lượng lớn @item_598# đã xâm nhập vào lòng đất ở Miras từ rất lâu về trước)",Thu thập từ dưới đất @item_598#@1
1006002,Nguồn Năng Lượng Chuỗi Sao,"Dùng @item_11205# để gia công @item_11331#@1#r (giống như tên gọi, @item_11331# là đạo cụ thiết yếu cung cấp năng lượng cho Trạm Sao)",Gia công @item_11331#@1
1006003,Đảo ở trên trời hả?!,"Bước vào Đảo Hoang trên Miras #r (là môi trường sinh thái không thể ngờ đến trên Miras, bề mặt trái đất trôi nổi trên trời, nhưng lại duy trì một trạng thái cực kỳ ổn định)",Vào môi trường Đảo Hoang
1006004,Giao dịch với Người Nơi Khác Đến,"Ở chỗ Thương Gia Đảo Hoang, mua được @item_11334#@1#r (người sao Angelo có tật thu thập kho báu ở khắp nơi trong vũ trụ, đồng thời lại rất thích những nơi cao, có thể sẽ tìm thấy bóng dáng họ trên Đảo Hoang. Họ chắc chắn đã dự trữ không ít @item_11334#)","Ở chỗ Thương Gia Đảo Hoang, mua được @item_11334#@1"
1006005,Lắp ráp xong!,"Gia công @item_11335#@1#r(Trạm Sao trên Miras về cơ bản đã bị Hư Không phá hoại hết rồi, dù sau khi kích hoạt cũng chỉ có thể dịch chuyển trong hành tinh thôi, cần dùng @item_11335# để phục hồi khối dịch chuyển khoảng cách xa mới được)",Gia công @item_11335#@1
1006006,Phục hồi Trạm Sao,"Dùng @item_11331# nhấp vào @item_594#@1 để kích hoạt lại nó #r (sau khi kích hoạt, Trạm Sao sẽ liên kết vào mạng Chuỗi Sao, chỉ cần kích hoạt thêm vài Trạm Sao, chuyến du hành sẽ rất nhẹ nhàng)",Dùng @item_11331# để nhấp @item_594#@1
1006007,Nâng Cấp Trạm Sao,Dùng @item_11335# nhấp vào @item_595#@1 để nâng cấp cho nó #r (sau khi nâng cấp thành @item_597# sẽ có thể dịch chuyển giữa các hành tinh lân cận),Dùng @item_11335# để nhấp @item_595#@1
1006008,Tiến Bộ Lớn Khi Du Hành Hành Tinh,"Hoàn thành tất cả nhiệm vụ trong mục tiêu “Kỹ Sư Chuỗi Sao” # r (Sau khi tu sửa Trạm Sao sẽ có thể đến được Flamas và Horas, đã tiến gần thêm một bước để đánh bại Bóng Ma Hư Không rồi)",Hoàn thành tất cả nhiệm vụ trong mục tiêu “Kỹ Sư Chuỗi Sao”
