ID,内容
ID,Content
1000000,Đừng ngủ nữa! Nhanh tỉnh dậy đi!
1000001,Cuối cùng bạn đã tới. Tút! Thật là làm tôi hết hồn!
1000002,"Đáng lẽ sẽ khá thuận lợi, không may là trong Chuỗi Sao trước khi đến được Miras đột ngột ngưng tụ lượng lớn Lực Hư Không. Tút!"
1000003,"Chỉ trong thoáng chút, cả bọn đều bị đánh bay rồi. Tút. Hiện tại có vẻ như chỉ có mình chúng ta ""May Mắn"" đến được Miras thôi. Không biết những người khác thế nào rồi ......"
1000004,"Cậu vẫn ổn chứ, tốt nhất chúng ta nên kiểm tra trạng thái một chút. Tút."
1000011,Nhìn lên đây này. Ở đây hiển thị Điểm HP và Điểm Thể Lực.
1000012,"Dòng màu đỏ này hiển thị mức độ HP hiện tại của cậu. Nếu quá thấp sẽ cực kỳ nguy hiểm, hãy chú ý mọi lúc mọi nơi nhé. Tút!"
1000013,"Dòng màu vàng, là Thể Lực còn dư lại hiện tại của cậu. Tút."
1000014,Nếu quá thấp sẽ rất mệt đấy. Tút. Hiệu suất cũng sẽ giảm. Một khi gặp phải nguy hiểm có thể sẽ không có sức ứng phó. Nên cũng phải chú ý nhé!
1000021,"Phía dưới đây được gọi là vùng ""Bộ Phím Tắt"". Tút. Nhấp vào những ô này là có thể đổi nhanh những vật phẩm đang cầm trên tay."
1000022,Bây giờ trạng thái của cậu không tốt lắm. Chúng ta ăn ít đồ để hồi phục nha. Tút!
1000023,"Nhấp vào cái này, cầm nó lên tay. Tút!"
1000031,"Phía dưới đây là vùng gọi là ""Bộ Phím Tắt"". Tút. Bằng cách ấn ""Nút Số"" tương ứng, có thể đổi vật phẩm đang cầm trên tay."
1000032,Bây giờ trạng thái của cậu không tốt lắm. Chúng ta ăn ít đồ để hồi phục nha. Tút!
1000033,"Đổi đến ô này, cầm nó trên tay đi. Tút!"
1000041,"Xem này! Đã cầm Thức Ăn trên tay rồi. Tút. He he. Bây giờ hãy nhấp và giữ ""Nút Dùng"" này để ăn nhé."
1000051,"Xem này! Đã cầm Thức Ăn trên tay rồi. Tút. He he. Bây giờ hãy nhấp và giữ ""Phím Chuột Phải"" để ăn nhé."
1000061,Bây giờ trạng thái khá hơn rồi đấy. Tút. Chúng ta kiểm tra thử trạng thái của mình đi.
1000062,Đi theo tôi nào. Tiến đến trước vài bước. Tút. Nhấp Cần Điều Khiển đẩy về phía trước là có thể tiến lên rồi.
1000063,Tiến lên không có vấn đề gì. Bây giờ chúng ta thử lùi lại xem. Tút. Nhấp Cần Điều Khiển đẩy về phía sau là có thể lùi lại rồi.
1000064,Tốt lắm! Bây giờ chúng ta đi sang bên trái thử xem. Tút. Hãy thử đẩy Cần Điều Khiển về bên trái.
1000065,Tốt lắm. Tút. Cuối cùng là sang bên phải. Hãy đẩy Cần Điều Khiển về bên phải.
1000071,Bây giờ trạng thái khá hơn rồi đấy. Tút. Chúng ta kiểm tra thử trạng thái của mình đi.
1000072,"Đi theo tôi. Tiến lên phía trước thử nào. Tút. Nhấp phím ""W"" là có thể tiến lên rồi."
1000073,"Tiến lên không có vấn đề gì. Bây giờ chúng ta thử lùi lại xem. Tút. Nhấp phím ""S"" để lùi lại."
1000074,"Tốt lắm! Bây giờ chũng ta đi sang bên trái thử xem. Tút. Thử nhấp phím ""A"" xem đi."
1000075,"Tốt lắm. Tút. Cuối cùng là sang bên phải. Nhấp phím ""D"" đi."
1000081,Xem ra sức khỏe không có vấn đề gì. Tiếp theo đây hãy thử Nhảy nhé. Tút.
1000082,Nhấp nút này là sẽ Nhảy được. Tút. Hãy thử nhảy lên Khối bên cạnh xem.
1000083,"Nhảy xem ra cũng bình thường đấy. Tút. Để tôi nghĩ xem tiếp theo nên làm gì ... Hãy thử Lặn nhé. Chúng ta nhấp vào Nút này, sẽ vào trạng thái Lặn. Tút."
1000091,Xem ra sức khỏe không có vấn đề gì. Tiếp theo đây hãy thử Nhảy nhé. Tút.
1000092,Nhấp Nút Khoảng Trắng Space là Nhảy được. Tút. Hãy thử nhảy lên Khối bên cạnh xem.
1000093,"Nhảy xem ra cũng bình thường đấy. Tút. Để tôi nghĩ xem tiếp theo nên làm gì ... Hãy thử Lặn nhé. Chúng ta nhấp vào nút ""Shift"" để vào trạng thái Lặn. Tút."
1000101,"Quá hay! Nhảy và Lặn đều rất bình thường. Tút. Khi duy trì trạng thái Lặn, chúng ta sẽ không rơi xuống từ mé bên của Khối. Hãy nhớ nhé. Tút."
1000102,Còn một mục cuối cùng cần kiểm tra. Tút. Hãy thử chuyển hướng quay đầu về vị trí của tôi xem.
1000103,"Hãy chú ý hướng dẫn của tôi. Lướt trên màn hình về hướng tôi đang đứng để chuyển hướng, khi bạn chuẩn bị xong, chúng ta sẽ bắt đầu. Tút."
1000104,Đầu tiên là bên trái. Tút. Tôi ở đây nè. Hãy lướt về phía bên trái màn hình xem.
1000105,Sau đó là bên phải. Tút. Hãy lướt về bên phải màn hình đi.
1000106,Bây giờ chúng ta xem thử phía trên nha. Tút. Lướt màn hình tìm thử xem tôi đang ở đâu. He he.
1000107,Sau đó là dưới đất. Tút. Đã tìm thấy tôi chưa?
1000108,Sau cùng là phía sau lưng ha. Tút. Lần này cần lướt khoảng cách dài hơn một chút.
1000111,"Quá hay! Nhảy và Lặn đều rất bình thường. Tút. Khi duy trì trạng thái Lặn, chúng ta sẽ không rơi xuống từ mé bên của Khối. Hãy nhớ nhé. Tút."
1000112,Còn một mục cuối cùng cần kiểm tra. Tút. Hãy thử chuyển hướng quay đầu về vị trí của tôi xem.
1000113,"Hãy chú ý hướng dẫn của tôi. Di chuyển hướng chuột về hướng tôi đang đứng để chuyển hướng. Khi bạn chuẩn bị xong, chúng ta sẽ bắt đầu. Tút."
1000114,Đầu tiên là bên trái. Tút. Tôi ở đây nè. Hãy di chuyển chuột hướng về bên trái đi.
1000115,Sau đó là bên phải. Tút. Hãy di chuyển chuột sang bên phải đi.
1000116,Bây giờ chúng ta xem thử phía trên nha. Tút. Hãy di chuyển chuột và tìm xem tôi đang ở đâu. He he.
1000117,Sau đó là dưới đất. Tút. Đã tìm thấy tôi chưa?
1000118,Sau cùng là phía sau lưng ha. Tút. Lần này cần di chuyển chuột khoảng cách dài hơn một chút.
1000121,"Đã hoàn thành kiểm tra toàn diện. Tút! Tốt quá! Sức khỏe bình thường! Ý, đó là gì thế nhỉ?"
1000122,"Hình như là một căn nhà đã bị phá hoại. Nếu tu sửa nó một chút, có lẽ sẽ là cứ điểm tạm thời của chúng ta. Tút!"
1000131,Tút. Tút. Lạc đề rồi. Tút. Chúng ta hãy mau ôn lại nhiệm vụ lần này nào. Tút!
1000132,Tuy bây giờ Bóng Ma Hư Không vẫn đang bị phong ấn trong Núi Lửa ở Miras. Tút.
1000133,"Nhưng Sứ Đồ của nó đã lén lút truyền cho nó một lượng lớn Lực Sáng Tạo, phong ấn đó hiện đã như đèn trước gió rồi. Tút."
1000134,"Nhưng cũng chính vì Bóng Ma Hư Không mà bây giờ việc mở Cửa Ba Góc đang rất cấp thiết, đã tốn một lượng lớn Lực Hư Không. Bây giờ là thời cơ tốt nhất để tiêu diệt nó. Tút!"
1000135,"Nhưng bây giờ chúng ta cần tụ tập đủ 3 Chìa Khóa của Phong Ấn Núi Lửa, nhân lúc nó không đề phòng để kéo hắn ra khỏi Phong Ấn, rồi mới có thể tiêu diệt hắn. Tút."
1000136,"Mà ba chiếc Chìa Khóa đó, lần lượt được đặt ở Miras, Flamas và Horas. Tút."
1000137,Sự cố trong quá trình dịch chuyển đã làm thất lạc những trang bị chúng tôi mang theo. Dựa vào trang bị hiện tại của chúng ta thì không thể hoàn thành nổi. Tút.
1000138,Nhưng đừng nản lòng nhé. Tút! Tôi đã đặt ra cho cậu một chuỗi mục tiêu. Hãy làm theo các mục tiêu đó thì chắc chắn sẽ được. Tút!
