iD,越南语,越南语
ID,Name,AttrDesc
5,Đánh Bay,"Tấn công cận chiến, sẽ đánh bay mục tiêu lên không trung đến 4 ô."
5,Đánh Bay,"Tấn công cận chiến, sẽ đánh bay mục tiêu lên không trung đến 6 ô."
5,Đánh Bay,"Tấn công cận chiến, sẽ đánh bay mục tiêu lên không trung đến 8 ô."
5,Đánh Bay,"Tấn công cận chiến, sẽ đánh bay mục tiêu lên không trung đến 10 ô."
5,Đánh Bay,"Tấn công cận chiến, sẽ đánh bay mục tiêu lên không trung đến 12 ô."
6,Sắc Nhọn,Sát thương cận chiến +5
6,Sắc Nhọn,Sát thương cận chiến +10
6,Sắc Nhọn,Sát thương cận chiến +16
6,Sắc Nhọn,Sát thương cận chiến +24
6,Sắc Nhọn,Sát thương cận chiến +35
7,Thợ Săn Người,Sát thương cận chiến +8 đối với loài người
7,Thợ Săn Người,Sát thương cận chiến +16 đối với loài người
7,Thợ Săn Người,Sát thương cận chiến +25 đối với loài người
7,Thợ Săn Người,Sát thương cận chiến +40 đối với loài người
7,Thợ Săn Người,Sát thương cận chiến +60 đối với loài người
8,Thợ Săn Động Vật,Sát thương cận chiến +8 đối với động vật
8,Thợ Săn Động Vật,Sát thương cận chiến +16 đối với động vật
8,Thợ Săn Động Vật,Sát thương cận chiến +25 đối với động vật
8,Thợ Săn Động Vật,Sát thương cận chiến +40 đối với động vật
8,Thợ Săn Động Vật,Sát thương cận chiến +60 đối với động vật
9,Thợ Săn Quái,Sát thương cận chiến +8 đối với Cung Thủ Lưu Huỳnh và Dung Nham Cự Nhân ở Lòng Đất
9,Thợ Săn Quái,Sát thương cận chiến +16 đối với Cung Thủ Lưu Huỳnh và Dung Nham Cự Nhân ở Lòng Đất
9,Thợ Săn Quái,Sát thương cận chiến +25 đối với Cung Thủ Lưu Huỳnh và Dung Nham Cự Nhân ở Lòng Đất
9,Thợ Săn Quái,Sát thương cận chiến +40 đối với Cung Thủ Lưu Huỳnh và Dung Nham Cự Nhân ở Lòng Đất
9,Thợ Săn Quái,Sát thương cận chiến +60 đối với Cung Thủ Lưu Huỳnh và Dung Nham Cự Nhân ở Lòng Đất
29,Thợ Săn Dã Nhân,Sát thương cận chiến +8 đối với tất cả Dã Nhân
29,Thợ Săn Dã Nhân,Sát thương cận chiến +16 đối với tất cả Dã Nhân
29,Thợ Săn Dã Nhân,Sát thương cận chiến +25 đối với tất cả Dã Nhân
29,Thợ Săn Dã Nhân,Sát thương cận chiến +40 đối với tất cả Dã Nhân
29,Thợ Săn Dã Nhân,Sát thương cận chiến +60 đối với tất cả Dã Nhân
10,Đốt Cháy,"Tấn công sẽ đốt cháy mục tiêu 3s, mỗi giây gây ra 5 điểm sát thương."
10,Đốt Cháy,"Tấn công sẽ thiêu đốt mục tiêu 3s, mỗi giây gây ra 10 điểm sát thương."
10,Đốt Cháy,"Tấn công sẽ thiêu đốt mục tiêu 3s, mỗi giây gây ra 15 điểm sát thương."
10,Đốt Cháy,"Tấn công sẽ thiêu đốt mục tiêu 3s, mỗi giây gây ra 20 điểm sát thương."
10,Đốt Cháy,"Tấn công sẽ thiêu đốt mục tiêu 3s, mỗi giây gây ra 25 điểm sát thương."
11,Đánh Lui,Tấn công sẽ đánh lui mục tiêu thêm 2 ô.
11,Đánh Lui,Tấn công sẽ đánh lui mục tiêu thêm 4 ô.
11,Đánh Lui,Tấn công sẽ đánh lui mục tiêu thêm 6 ô.
11,Đánh Lui,Tấn công sẽ đánh lui mục tiêu thêm 8 ô.
11,Đánh Lui,Tấn công sẽ đánh lui mục tiêu thêm 10 ô.
12,Săn May Mắn,Hạ gục sinh vật sẽ có 20% tỉ lệ nhận x2 rơi đồ.
12,Săn May Mắn,Hạ gục sinh vật sẽ có 20/15% tỉ lệ nhận x2/x3 rơi đồ.
12,Săn May Mắn,Hạ gục sinh vật sẽ có 20/15/15% tỉ lệ nhận x2/x3/x4 rơi đồ.
13,Cường Lực Xạ Kích,Tăng 25% sát thương xạ tiễn.
13,Cường Lực Xạ Kích,Tăng 50% sát thương xạ tiễn.
13,Cường Lực Xạ Kích,Tăng 75% sát thương xạ tiễn.
13,Cường Lực Xạ Kích,Tăng 100% sát thương xạ tiễn.
13,Cường Lực Xạ Kích,Tăng 125% sát thương xạ tiễn.
14,Vô Hạn Xạ Kích,"Xạ tiễn không cần tốn tên, chuyển thành tiêu hao 5 điểm bền."
14,Vô Hạn Xạ Kích,"Xạ tiễn không cần tốn tên, chuyển thành tiêu hao 4 điểm bền."
14,Vô Hạn Xạ Kích,"Xạ tiễn không cần tốn tên, chuyển thành tiêu hao 3 điểm bền."
14,Vô Hạn Xạ Kích,"Xạ tiễn không cần tốn tên, chuyển thành tiêu hao 2 điểm bền."
14,Vô Hạn Xạ Kích,"Xạ tiễn không cần tốn tên, chuyển thành tiêu hao 1 điểm bền."
15,Bền,Tăng 40% độ bền vật phẩm.
15,Bền,Tăng 80% độ bền vật phẩm.
15,Bền,Tăng 160% độ bền vật phẩm.
15,Bền,Tăng 240% độ bền vật phẩm.
15,Bền,Tăng 320% độ bền vật phẩm.
16,Kháng Cận Chiến,Tăng 1 điểm kháng cận chiến.
16,Kháng Cận Chiến,Tăng 3 điểm kháng cận chiến.
16,Kháng Cận Chiến,Tăng 5 điểm kháng cận chiến.
16,Kháng Cận Chiến,Tăng 9 điểm kháng cận chiến.
16,Kháng Cận Chiến,Tăng 15 điểm kháng cận chiến.
17,Kháng Tầm Xa,Tăng 1 điểm kháng tầm xa.
17,Kháng Tầm Xa,Tăng 3 điểm kháng tầm xa.
17,Kháng Tầm Xa,Tăng 5 điểm kháng tầm xa.
17,Kháng Tầm Xa,Tăng 9 điểm kháng tầm xa.
17,Kháng Tầm Xa,Tăng 15 điểm kháng tầm xa.
18,Kháng Nổ,Tăng 1 điểm kháng nổ.
18,Kháng Nổ,Tăng 3 điểm kháng nổ.
18,Kháng Nổ,Tăng 5 điểm kháng nổ.
18,Kháng Nổ,Tăng 9 điểm kháng nổ.
18,Kháng Nổ,Tăng 15 điểm kháng nổ.
19,Kháng Cháy,Tăng 1 điểm kháng lửa.
19,Kháng Cháy,Tăng 3 điểm kháng lửa.
19,Kháng Cháy,Tăng 5 điểm kháng lửa.
19,Kháng Cháy,Tăng 9 điểm kháng lửa.
19,Kháng Cháy,Tăng 15 điểm kháng lửa.
20,Kháng Độc,Tăng 1 điểm kháng độc.
20,Kháng Độc,Tăng 3 điểm kháng độc.
20,Kháng Độc,Tăng 5 điểm kháng độc.
20,Kháng Độc,Tăng 9 điểm kháng độc.
20,Kháng Độc,Tăng 15 điểm kháng độc.
