ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Chế độ thời tiết toàn cục hiện tại,Chế độ thời tiết toàn cục hiện tại,
100002,Khoảng cách từ vị trí đến vị trí,Khoảng cách giữa %1 và %2,
100006,Đánh giá vị trí nằm trong khu vực,%1%2 trong %3,
100007,Loại khối ở vị trí chỉ định,Loại khối của %1,
100008,Hướng từ vị trí đến vị trí,Hướng từ %1 đến %2,
100009,Hướng tọa độ ba trục tuyệt đối,"Hướng X%1, Y%2, Z%3",
10001,Chuyển vị trí thành khu vực,"Khu vực với %1 là tâm và kích thước (%2,%3,%4)",
100010,Hướng tọa độ hình cầu tuyệt đối,"Góc phương vị %1, hướng độ cao %2",
100011,Vị trí,Vị trí %1,
100012,Khu vực,Khu vực %1,
100013,Bộ hẹn giờ,Bộ hẹn giờ %1,
100014,Nhóm vị trí,Nhóm vị trí %1,
100015,Nhóm khu vực,Nhóm khu vực %1,
100016,Nhóm bộ hẹn giờ,Nhóm bộ hẹn giờ %1,
100017,Thời tiết ngẫu nhiên,Thời tiết ngẫu nhiên,
100018,Thời tiết của nhóm địa hình,Thời tiết của %1,
10002,Di chuyển khu vực,"Dịch chuyển %1 dọc theo trục tọa độ (%2, %3, %4)",
10003,Mở rộng khu vực,"Mở rộng kích thước của %1 theo ba trục X%2, Y%3, Z%4",
10005,Xác định tọa độ vị trí,Giá trị tọa độ vị trí X%1Y%2Z%3,
10006,Thay đổi vị trí (thay đổi vị trí ban đầu),"Dịch chuyển %1 dọc theo trục tọa độ (%2, %3, %4)",
10007,Vị trí trung tâm của khu vực,Vị trí trung tâm của %1,
10008,Vị trí ngẫu nhiên trong khu vực,Vị trí ngẫu nhiên của %1,
10009,Thời gian bộ hẹn giờ,Thời gian của %1,
10010,Chỉ định chiều dài của tia hướng,"Từ %1 đến %2 chiếu chùm tia %3 ô, trả về chiều dài của tia giữa khối chặn và điểm bắt đầu.",
10011,Ghép chuỗi,%1 với %2,
10012,Chuyển trị số thành chuỗi,%1 chuyển đổi thành chuỗi,
10015,Loại khối bị chạm bởi tia,Từ %1 đến %2 bắn chùm tia %3 ô va chạm loại khối,
10016,Hướng hệ tọa độ ba trục tương đối,"%1 định hướng X%2, Y%3, Z%4",
10017,Hướng hệ tọa độ hình cầu tương đối,"%1 hướng của góc phương vị %2, hướng của góc độ cao %3",
10018,Đối tượng người chơi,Đối tượng %1,
10019,Đối tượng sinh vật,Đối tượng %1,
10020,Đối tượng vật ném,Đối tượng %1,
10021,Đối tượng vật rơi,Đối tượng %1,
10022,Chuyển đổi âm sắc thành trị số,%1 chuyển đổi thành trị số,
10024,Di chuyển vị trí (không thay đổi vị trí ban đầu),"Dịch chuyển %1 dọc theo trục tọa độ (%2, %3, %4)",
10025,Giá trị Boolean,Giá trị Boolean %1,
10026,Trị số,Trị số %1,
10027,Chuỗi ký tự,Chuỗi ký tự %1,
10028,Loại ngoại hình,Loại ngoại hình %1,
10029,Nhóm Boolean,Nhóm Boolean %1,
10030,Nhóm trị số,Nhóm trị số %1,
10031,Nhóm chuỗi,Nhóm chuỗi %1,
10032,Nhận số lượng giá trị trong nhóm bất kỳ,Nhận số lượng giá trị trong %1,
10033,Nhận số lượng giá trị bất kỳ nào trong nhóm bất kỳ,Nhận trong %1 số lượng %2,
10034,Nhận ID của giá trị bất kỳ trong nhóm bất kỳ,Nhận trong %1 ID của %2,
10035,Xác định xem giá trị có tồn tại trong một nhóm hay không,Trong %1 tồn tại %2,
10036,Xác định xem ID cụ thể có tồn tại trong một nhóm hay không,Giá trị tồn tại ở vị trí được đánh số ID trong %1 là %2,
10037,Cắt chuỗi,Cắt %1 %2 - văn bản %3,
10038,Chuyển chuỗi thành trị số,%1 chuyển đổi thành trị số,
10039,Nhận thời gian thiết bị chủ,Nhận thời gian %1 thiết bị,
10040,Nhận thời gian thiết bị chủ hoàn chỉnh,Nhận thời gian thiết bị hoàn chỉnh,
10041,Loại khối ngẫu nhiên,Loại khối ngẫu nhiên,
10042,Tách chuỗi,"Tách %1, phân chia là %2, cắt đoạn %3 sau khi phân chia",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Nhận thời gian server game,Nhận thời gian %1 của thời gian server game,
10045,Chuyển đổi timestamp thành đơn vị thời gian,Chuyển đổi timestamp %1 thành %2,
10046,Nhận thời gian server hoàn chỉnh,Nhận thời gian server hoàn chỉnh,
10047,Chuyển đổi timestamp thành thời gian hoàn chỉnh,Chuyển đổi timestamp %1 thành thời gian hoàn chỉnh,
10048,Nhận độ dài chuỗi,Nhận độ dài %1,
10049,Tên loại trạng thái,Tên loại %1,
10050,Mô tả loại trạng thái,Mô tả Plugin %1,
10051,Nhận tọa độ loại khối,"Nhận khoảng cách gần nhất %1 tọa độ %2, bán kính tìm kiếm là %3 khối hướng về trục XYZ",
10052,Ô vật phẩm Balo,Nhận %1,
10053,Phím ô phím tắt,Nhận %1,
10054,Ô Trang Bị,Nhận %1,
10055,Chuyển đổi loại khối thành loại vật phẩm,Chuyển đổi %1 thành loại vật phẩm,
10056,Chuyển đổi loại vật phẩm thành loại khối,Chuyển đổi %1 thành loại khối,
10057,Nhận ID phòng hiện tại,Nhận ID phòng hiện tại,
1010001,Thời tiết thay đổi,Khi thời tiết thay đổi,"Khi thời tiết thay đổi từ Nắng sáng Mưa, Mưa sang Nắng"
1010002,Khi thời tiết nhóm địa hình thay đổi,Khi thời tiết %1 chỉ định thay đổi,"Nhóm Thường: Đồng Bằng/Rừng/Vách Đá/Rừng Rậm/Lưu Vực/Đảo Hoang/Sông; Nhóm Biển: Bãi Biển/Biển Sâu/Biển Nông/Đảo; Nhóm Sa Mạc: Sa Mạc/Ốc Đảo; Hàn đới thường: Rừng Lá Kim/Cánh Đồng Băng; Hàn đới núi cao: Núi Băng; Nhóm Núi Lửa: Núi Lửa; Nhóm Đất Ngập Nước: Rừng Mưa/Đầm Lầy; Bằng Phẳng, Đảo Hoang"
1020001,Game được tạo,Khi Game được tạo,"Sau khi vào game, đếm ngược 3,2,1, sau đó game sẽ bắt đầu"
1020002,Giờ Chơi Game,Khi thời gian Game là %1h,Khi thời gian hiện tại của Game đạt mốc giờ chỉ định
1020003,Thời gian chạy game,Sau khi game chạy được %1 giây,"Sau khi vào trò chơi, chạy sau khoảng thời gian nhất định"
1020004,Người chơi chiến thắng,Khi người chơi chiến thắng,
1020005,Người chơi Thất bại,Khi người chơi thất bại,
1020007,Người chơi đăng nhập vào game,Khi người chơi đăng nhập vào game,
1020008,Người chơi thoát khỏi game,Khi người chơi thoát khỏi game,
1020009,Thay đổi Bộ hẹn giờ,Khi Bộ hẹn giờ có thay đổi,Khi biến lượng Bộ hẹn giờ bất kỳ trong thư viện có thay đổi
1020010,Bộ hẹn giờ chỉ định thay đổi,Khi %1 thay đổi,Khi biến lượng Bộ hẹn giờ chỉ định trong thư viện có thay đổi
1020011,Khi Game đang chạy (lặp),Sau %1 giây kể từ khi game chạy,"1. Giá trị nhỏ nhất là 0.05s, 0.01-0.09 sẽ lấy 0.05
2. Trò chơi sẽ kích hoạt (vòng lặp) mỗi khi trò chơi được chỉ định."
1020012,Khi phòng Server Đám Mây nhận được bất kỳ thông tin nào,Khi phòng Server Đám Mây nhận được bất kỳ thông tin nào,
1020013,Nhận thông báo,Khi nhận Thông báo %1,
1020014,Điều kiện được thiết lập,Khi %1 được thiết lập,
1020015,Khi đặt bản thiết kế,Khi bản thiết kế được đặt,
1020016,Khi phòng Server Đám Mây nhận thông tin thông báo server,Khi phòng Server Đám Mây nhận thông tin thông báo server %1,
1030001,Người chơi bị tiêu diệt,Khi người chơi bị tiêu diệt,
1030002,Người chơi Hồi sinh,Khi người chơi hồi sinh,
1030003,Thuộc tính người chơi thay đổi,Khi thuộc tính %1 của người chơi thay đổi,"Khi thuộc tính của một người chơi, ví dụ HP, thay đổi"
1030004,Người chơi tiêu diệt mục tiêu,Khi người chơi tiêu diệt mục tiêu,"Khi người chơi đánh bại người chơi khác, sinh vật. Khi người chơi, sinh vật bị đánh bại là người chơi, sinh vật mục tiêu trong sự kiện"
1030005,Người chơi tấn công,Khi người chơi bắt đầu tấn công,
1030006,Người chơi tác động tấn công,Khi người chơi tác động tấn công,"Khi người chơi tác động tấn công người chơi khác, sinh vật. Khi người chơi, sinh vật bị đánh tác động là người chơi, sinh vật mục tiêu trong sự kiện"
1030007,Người chơi gây sát thương,Khi người chơi gây sát thương,"Khi người chơi gây sát thương tích lên người chơi khác, sinh vật. Khi người chơi, sinh vật chịu sát thương là người chơi, sinh vật mục tiêu trong sự kiện"
1030008,Người chơi nhận sát thương,Khi người chơi nhận sát thương,
1030009,Người chơi di chuyển,Khi người chơi di chuyển một khoảng cách,
1030010,Người chơi sử dụng biểu cảm động,Khi người chơi sử dụng biểu cảm động,
1030011,Người chơi sử dụng vật phẩm,Khi người chơi sử dụng vật phẩm,
1030012,Người chơi nhận vật phẩm,Khi người chơi nhận vật phẩm,
1030013,Người chơi tiêu thụ vật phẩm,Khi người chơi tiêu thụ vật phẩm,
1030014,Người chơi click vào sinh vật hoặc người chơi,Khi người chơi click vào sinh vật hoặc người chơi,
1030015,Người chơi click vào khối,Khi người chơi click vào khối,
1030016,Người chơi cưỡi/lái,Khi người chơi cưỡi thú cưỡi/lái xe,
1030017,Người chơi ngừng cưỡi/lái,Khi người chơi ngừng cưỡi/lái,
1030018,Trạng thái chuyển động của người chơi thay đổi,Khi người chơi bắt đầu %1,
1030019,Người chơi va chạm,Khi người chơi va chạm với bất kỳ người chơi/sinh vật nào,
1030020,Người chơi nhặt vật phẩm,Khi người chơi nhặt vật phẩm rơi,
1030021,Người chơi vào khu vực,Khi người chơi vào %1,"Các sự kiện tiến vào và rời khỏi khu vực không thể kích hoạt các hành động liên quan đến nhà phát triển, chẳng hạn như phát quảng cáo, hiển thị cửa sổ mua hàng, mở Tiệm Developer"
1030022,Người chơi rời khỏi khu vực,Khi người chơi rời khỏi %1,"Các sự kiện tiến vào và rời khỏi khu vực không thể kích hoạt các hành động liên quan đến nhà phát triển, chẳng hạn như phát quảng cáo, hiển thị cửa sổ mua hàng, mở Tiệm Developer"
1030023,Ô trang bị của người chơi thay đổi,Khi ô trang bị của người chơi thay đổi,
1030024,Ô balo của người chơi thay đổi,Khi ô balo của người chơi thay đổi,
1030025,Ô phím tắt của người chơi thay đổi,Khi ô phím tắt của người chơi thay đổi,
1030026,Người chơi lựa chọn phím tắt,Khi người chơi lựa chọn phím tắt,
1030027,Người chơi vứt vật phẩm,Khi người chơi vứt vật phẩm,
1030028,Người chơi mặc trang bị,Khi người chơi mặc trang bị,
1030029,Người chơi tháo trang bị,Khi người chơi tháo trang bị,
1030030,Tin nhắn của người chơi hiển thị,Khi chat box hiển thị %1,
1030031,Người chơi nhập nội dung vào chat box,Khi ở chat box gửi tin %1,
