场景名称,描述,入口是否显示（0不显示；1显示）,打开方式（0端内，1浏览器打开）,地址
ID,Desc,IsShow,OpenWith,Address
1,生存模式wiki入口,1,0,https://wiki.miniworldgame.vn/
2,创造模式wiki入口,1,0,https://wiki.miniworldgame.vn/
3,开发者编辑模式,1,0,https://wiki.miniworldgame.vn/
4,开发者玩法模式,0,,
5,任务界面,0,,
6,合成界面,0,,
7,完整工匠台,0,,
8,不完整工匠台,0,,
9,符文台,0,,
10,死亡界面,0,,
11,背包界面,0,,
12,蓝图工作台,0,,
13,模型工作台,0,,
14,道具模型工作台,0,,
15,编书台,0,,
16,自定义模型制作器,0,,
17,机械车间,0,,
18,地形编辑器,0,,
19,动作序列器,0,,
20,刷怪方块,0,,
21,地图传送方块,0,,
22,传送点核心方块,0,,
23,视角方块,0,,
24,开发者工具,0,,
25,开发者商店,0,,
26,插件库,0,,
27,加工界面,0,,
