ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,Panda Mini,"Cậu Bé Gấu Trúc tự hào, thích trúc giòn nhất!","Thẻ Skin có thể nhận trong Vườn Quả! (Vui chơi điều độ, tiêu phí hợp lý)",Hiệu ứng dấu chân: Nơi đi qua sẽ để lại dấu chân gấu,Avatar: Mở khóa avatar Panda,@Null@,,,
2,Tề Thiên Đại Thánh,"Tết năm khỉ mở bán giới hạn, Tề Thiên cùng bạn đón tết vui vẻ!","Thẻ Skin có thể nhận trong Vườn Quả! (Vui chơi điều độ, tiêu phí hợp lý)",Hiệu ứng dấu chân: Nơi đi qua sẽ để lại Tường Vân,Avatar: Mở khóa avatar Tề Thiên Đại Thánh,@Null@,,,
3,Thỏ Mini,"Cô Thỏ nhỏ xinh đẹp, những nơi đi qua sẽ để lại dấu chân Củ Cải.","Thẻ Skin có thể nhận trong Vườn Quả! (Vui chơi điều độ, tiêu phí hợp lý)",Hiệu ứng dấu chân: Nơi đi qua sẽ để lại dấu chân củ cải,Avatar: Mở khóa avatar Thỏ Mini,@Null@,,,
4,Khủng Long,Wow wow! Bạn đang ở thế giới nguyên thủy phải coi chừng Khủng Long!,"Thẻ Skin có thể nhận trong Vườn Quả! (Vui chơi điều độ, tiêu phí hợp lý)",Hiệu ứng dấu chân: Nơi đi qua sẽ để lại dấu vuốt khủng long,Avatar: Mở khóa avatar Khủng Long,@Null@,,,
5,Pha Lê,Ding... Ding! Chào mừng đến với Quán Cafe Meo Meo!,"Đạo cụ mở khóa có thể nhận trong Vườn Quả. (Vui chơi điều độ, tiêu phí hợp lý)",Hiệu ứng dấu chân: Nơi đi qua sẽ để lại dấu chân mèo,Avatar: Mở khóa avatar Pha Lê,@Null@,,,
6,George,Thiếu niên yêu thích âm nhạc và vận động,"Đạo cụ mở khóa có thể nhận trong Vườn Quả. (Vui chơi điều độ, tiêu phí hợp lý)",Hiệu ứng dấu chân: Nơi đi qua sẽ để lại tình yêu màu lam,Avatar: Mở khóa avatar George,@Null@,,,
7,Anne,Thiếu nữ yêu thích khiêu vũ và đồ ngọt,"Đạo cụ mở khóa có thể nhận trong Vườn Quả. (Vui chơi điều độ, tiêu phí hợp lý)",Hiệu ứng dấu chân: Nơi đi qua sẽ để lại tình yêu màu đỏ,Avatar: Mở khóa avatar Anne,@Null@,,,
8,Mặc Gia,"Thành viên Mặc Gia cổ xưa, là cao thủ chế tạo",@Null@,Hiệu ứng dấu chân: Nơi đi qua sẽ để lại Đôi Cánh Của Gió,Avatar: Mở khóa avatar Mặc Gia,Hành động bay đặc biệt của chế độ sáng tạo,Tạo chế độ hiệu ứng chuyến bay,,
9,Dracula VI,"Là hậu duệ của dòng dõi đế vương, tao nhã, lạnh lùng",Đạo cụ mở khóa có thể nhận trong Vườn Quả,Hiệu ứng cơ thể: Trên người phát ra dơi đen và sương máu,Avatar: Mở khóa avatar Bá Tước Dracula,@Null@,,,
