ID,购买提示
ID,BuyTips
1,Mở khóa vật phẩm có thể nhận từ Vườn Quả. (Chơi game điều độ tiêu phí hợp lý)
2,Mở khóa vật phẩm có thể nhận từ Vườn Quả. (Chơi game điều độ tiêu phí hợp lý)
3,Mở khóa thông qua các sự kiện
4,Mở khóa thông qua các sự kiện
5,Mở khóa vật phẩm có thể nhận từ Vườn Quả. (Chơi game điều độ tiêu phí hợp lý)
6,Mở khóa vật phẩm có thể nhận từ Vườn Quả. (Chơi game điều độ tiêu phí hợp lý)
7,Sau khi Vườn đạt Lv10 mở cách nhận.
8,Mở khóa vật phẩm có thể nhận từ Vườn Quả. (Chơi game điều độ tiêu phí hợp lý)
9,Mở khóa vật phẩm có thể nhận từ Vườn Quả. (Chơi game điều độ tiêu phí hợp lý)
10,Mở khóa thông qua các sự kiện
11,Mở khóa thông qua các sự kiện
12,@Null@
13,@Null@
14,@Null@
15,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
16,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
17,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
18,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
19,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
20,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
21,@Null@
22,@Null@
23,@Null@
24,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
25,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
26,@Null@
27,@Null@
28,@Null@
29,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
30,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
31,@Null@
32,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
33,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
34,@Null@
35,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
36,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
37,Quả đặc biệt giúp bạn mở khoá vật phẩm. Không đến từ quả vàng hoặc quả bình thường trong vườn.
