id,地形名称
id,Name
-1,Số lần thử tạo ra
1000,Biển Cạn
1001,Thảo Nguyên
1002,Sa Mạc
1003,Rừng
1004,Vách Núi
1006,Rừng Lá Kim
1007,Rừng Rậm
1008,Băng Tuyết
1009,Đại Dương Băng Giá
1010,Sông Băng
1011,Đất Đỏ
1012,Bờ Biển Đất Đỏ
1013,Đồi Sa Mạc
1014,Đồi Rừng
1015,Đồi Rừng Lá Kim
1016,Núi Băng
1017,Đồi Rừng Rậm
1018,Sông
1019,Bãi Biển
1020,Vùng Ven Vách Núi
1021,Vùng Đất Dung Nham
1022,Đảo Hoang
1023,Thung Lũng
1024,Vùng Ven Thung Lũng
1025,Thung Lũng Rừng Trúc
1026,Lưu Vực Cây Đào
1027,Đồng Bằng
1028,Đồi Núi
1029,Đồng Bằng Tế Đàn
1030,Núi Cao
1031,Đồi Núi
1032,Hành Tinh Đảo Hoang
1033,Hành Tinh Đảo Hoang
1034,Hành Tinh Đảo Hoang
1035,Hành Tinh Đảo Hoang
1036,Hành Tinh Đảo Hoang
1037,Hành Tinh Đảo Hoang
1038,Vùng Ven Đảo Hoang
1039,Rừng Mưa
1040,Đồng Bằng Đảo Hoang
1041,Đảo Hoang Thảo Nguyên
1042,Đỉnh Núi Lửa
1043,Đồng Bằng Núi Lửa
1044,Dãy Núi Lửa
1045,Sông Dung Nham Núi Lửa
1046,Miệng Núi Lửa
1047,Ốc Đảo Sa Mạc
1048,Hồ Sa Mạc
1049,Biển Sâu
1050,Bờ Biển Đảo Hoang
1051,Trung Tâm Đảo Hoang
1052,Bờ Biển Đảo Đất Đỏ
1053,Trung Tâm Đảo Đất Đỏ
1054,Bờ Biển Đảo San Hô
1055,Trung Tâm Đảo San Hô
1056,Rừng Lá Kim Phủ Tuyết
1057,Đỉnh Chính Núi Tuyết
1058,Đỉnh Phụ Núi Tuyết
1059,Dãy Núi Tuyết
1060,Trung Bộ Núi Tuyết
1061,Chân Núi Tuyết
1062,Trung Bộ Núi Tuyết Đỉnh Phụ
1063,Hồ Đóng Băng
1064,Hẻm núi
1065,Ranh giới hẻm núi
