迷你币ID,名称,图标,迷你币数量,限购后的获得数量,购买价格,显示顺序仅海外在用,描述,推荐/折扣显示（1推荐 2折扣）,限购ID/与storeprop同字段不可重复,购买次数,是否隐藏（1隐藏）
ID,Name,IconId,Num,MiniCoinWithLimit,Cost,Order,Desc,Tag,PurchaseLimitID,BuyNum,IsHide
21,14400迷你币,14106,19000,,288,,额外赠送4600迷你币,,,,1
17,20迷你币,14100,20,,0.4,,,,,,1
20,25迷你币,14100,25,,0.5,,,,,,1
22,33迷你币,14100,66,33,0.66,,赠送33迷你币(限购1次),1,6,1,1
23,150迷你币,14101,300,150,2.99,,赠送150迷你币(限购1次),1,7,1,1
11,12迷你币,14100,13,,0.24,,赠送1迷你币,,,,1
12,14迷你币,14100,14,,0.33,,,,,,1
13,27迷你币,14100,27,,0.51,,,,,,1
14,41迷你币,14100,41,,0.79,,,,,,1
15,礼包直购,14100,1,,3.99,,,,,,1
1,50迷你币,14100,50,,0.99,,,,,,
2,250迷你币,14101,250,,4.99,,,,,,
3,500迷你币,14102,525,,9.99,,额外赠送25迷你币,,,,
4,1000迷你币,14103,1100,,19.99,,额外赠送100迷你币,,,,
5,2500迷你币,14105,3000,,49.99,,额外赠送500迷你币,,,,
6,5000迷你币,14106,6500,,99.99,,额外赠送1500迷你币,,,,
7,100迷你币,14101,200,100,1.99,1,赠送100迷你币(限购1次),1,4,1,
8,300迷你币,14102,600,300,5.99,2,赠送300迷你币(限购1次),1,5,1,
