姓,男人名字,女人名字
Surname,Male,Female
Able,Aaron,Abigail
Active,Abbott,Ada
Adaptable,Abel,Adela
Adroit,Abner,Adelaide
Aggressive,Abraham,Afra
Alert,Adair,Agatha
Ambitious,Adam,Agnes
Amiable,Addison,Alberta
Amicable,Adolph,Alexia
Analytical,Adonis,Alice
Apprehensive,Adrian,Alma
Aspiring,Ahern,Althea
Audacious,Alan,Alva
Capable,Albert,Amanda
Careful,Aldrich,Amelia
Candid,Alexander,Amy
Charitable,Alfred,Anastasia
Competent,Alger,Andrea
Confident,Algernon,Angela
Conscientious,Allen,Ann
Considerate,Alston,Anna
Constructive,Alva,Annabelle
Contemplative,Alvin,Antonia
Cooperative,Alvis,April
Creative,Amos,Arabela
Dashing,Andre,Arlene
Dedicated,Andrew,Astrid
Devoted,Andy,Atalanta
Dependable,Angelo,Athena
Diplomatic,Augus,Audrey
Disciplined,Ansel,Aurora
Discreet,Antony,Barbara
Dutiful,Antoine,Beatrice
Dynamic,Antonio,Belinda
Earnest,Archer,Bella
Well-Educated,Archibald,Belle
Efficient,Aries,Bernice
Energetic,Arlen,Bertha
Enthusiastic,Armand,Beryl
Expressive,Armstrong,Bess
Faithful,Arno,Betsy
Forceful,Arnold,Betty
Frank,Arthur,Beulah
Friendly,Arvin,Beverly
Frugal,Asa,Blanche
Generous,Ashbur,Bblythe
Genteel,Atwood,Bonnie
Gentle,Aubrey,Breenda
Hard-Working,August,Bridget
Hearty,Augustine,Brook
Honest,Avery,Camille
Hospitable,Baird,Candance
Humble,Baldwin,Candice
Humorous,Bancroft,Cara
Impartial,Bard,Carol
Independent,Barlow,Caroline
Industrious,Barnett,Catherine
Ingenious,Baron,Cathy
Initiative,Barret,Cecilia
Have An Inquiring Mind,Barry,Celeste
Intellective,Bartholomew,Charlotte
Intelligent,Bart,Cherry
Inventive,Barton,Cheryl
Just,Bartley,Chloe
Kind-Hearted,Basil,Christine
Knowledgeable,Beacher,Claire
Learned,Beau,Clara
Liberal,Beck,Clementine
Logical,Ben,Constance
Loyal,Benedict,Cora
Methodical,Benjamin,Coral
Modest,Bennett,Cornelia
Motivated,Benson,Crystal
Objective,Berg,Cynthia
Open-Minded,Berger,Daisy
Orderly,Bernard,Dale
Original,Bernie,Dana
Painstaking,Bert,Daphne
Practical,Berton,Darlene
Precise,Bertram,Dawn
Persevering,Bevis,Debby
Punctual,Bill,Deborah
Purposeful,Bing,Deirdre
Qualified,Bishop,Delia
Rational,Blair,Denise
Realistic,Blake,Diana
Reasonable,Blithe,Dinah
Reliable,Bob,Dolores
Responsible,Booth,Dominic
Self-Conscious,Borg,Donna
Selfless,Boris,Dora
Sensible,Bowen,Doreen
Sincere,Boyce,Doris
Smart,Boyd,Dorothy
Spirited,Bradley,Eartha
Sporting,Brady,Eden
Steady,Brandon,Edith
Straightforward,Brian,Edwina
Strict,Broderick,Eileen
Systematic,Brook,Elaine
Strong-Willed,Bruce,Eleanore
Sweet-Tempered,Bruno,Elizabeth
Temperate,Buck,Ella
Tireless,Burgess,Ellen
Optimistic,Burke,Elma
Out-Going,Burnell,Elsa
Well--Educated,Burton,Elsie
Expressivity,Byron,Elva
Attractive,Caesar,Elvira
Brave,Calvin,Emily
Brilliant,Carey,Emma
Caring,Carl,Enid
Clever,Carr,Erica
Cheerful,Carter,Erin
Childish,Cash,Esther
Courageous,Cecil,Ethel
Cultured,Cedric,Eudora
Determined,Chad,Eunice
Easy-Going,Channing,Evangeline
Funny,Chapman,Eve
Happy,Charles,Evelyn
Helpful,Chasel,Faithe
Kind,Chester,Fanny
Nice,Christ,Fay
Obedient,Christian,Flora
Outgoing,Christopher,Florence
Passionate,Clare,Frances
Pessimistic,Clarence,Freda
Polite,Clark,Frederica
Popular,Claude,Gabrielle
Pushy,Clement,Gail
Romantic,Cleveland,Gemma
Sociable,Cliff,Genevieve
Supportive,Clifford,Georgia
Sympathetic,Clyde,Geraldine
Talented,Colbert,Gill
Thoughtful,Colby,Giselle
Timid,Colin,Gladys
Tolerant,Conrad,Gloria
Trustful,Corey,Grace
Porting,Cornelius,Griselda
Beautiful,Cornell,Gustave
Amazing,Craig,Gwendolyn
Handsome,Curitis,Hannah
Cute,Cyril,Harriet
,Dana,Hazel
,Daniel,Heather
,Darcy,Hedda
,Darnell,Hedy
,Darren,Helen
,Dave,Heloise
,David,Hermosa
,Dean,Hilda
,Dempsey,Hilary
,Dennis,Honey
,Derrick,Hulda
,Devin,Ida
,Dominic,Ina
,Don,Ingrid
,Donahue,Irene
,Donald,Iris
,Douglas,Irma
,Drew,Isabel
,Duke,Ivy
,Duncan,Jacqueline
,Dunn,Jamie
,Dwight,Jane
,Dylan,Janet
,Earl,Janice
,Ed,Jean
,Eden,Jennifer
,Edgar,Jenny
,Edmund,Jessie
,Edison,Jessica
,Edward,Jill
,Edwiin,Jo
,Egbert,Joa
,Eli,Joanna
,Elijah,Joanne
,Elliot,Jocelyn
,Ellis,Jodie
,Elmer,Josephine
,Elroy,Joy
,Elton,Joyce
,Elvis,Judith
,Emmanuel,Judy
,Enoch,Julia
,Eric,Julie
,Ernest,Juliet
,Eugene,June
,Evan,Kama
,Everley,Karen
,Fabian,Katherine
,Felix,Kay
,Ferdinand,Kelly
,Fitch,Kimberley
,Fitzgerald,Kitty
,Ford,Kristin
,Francis,Laura
,Frank,Laurel
,Franklin,Lauren
,Frederic,Lee
,Gabriel,Leila
,Gale,Lena
,Gary,Leona
,Gavin,Lesley
,Gene,Letitia
,Geoffrey,Lilith
,Geoff,Lillian
,George,Linda
,Gerald,Lindsay
,Gilbert,Lisa
,Giles,Liz
,Glenn,Lorraine
,Goddard,Louise
,Godfery,Lucy
,Gordon,Lydia
,Greg,Lynn
,Gregary,Mabel
,Griffith,Madeline
,Grover,Madge
,Gustave,Maggie
,Guy,Mamie
,Hale,Mandy
,Haley,Marcia
,Hamiltion,Margaret
,Hardy,Marguerite
,Harlan,Maria
,Harley,Marian
,Harold,Marina
,Harriet,Marjorie
,Harry,Martha
,Harvey,Martina
,Hayden,Mary
,Heather,Maud
,Henry,Maureen
,Herbert,Mavis
,Herman,Maxine
,Hilary,Mag
,Hiram,May
,Hobart,Megan
,Hogan,Melissa
,Horace,Meroy
,Howar,Meredith
,Hubery,Merry
,Hugh,Michelle
,Hugo,Michaelia
,Humphrey,Mignon
,Hunter,Mildred
,Hyman,Mirabelle
,Ian,Miranda
,Ingemar,Miriam
,Ingram,Modesty
,Ira,Moira
,Isaac,Molly
,Isidore,Mona
,Ivan,Monica
,Ives,Muriel
,Jack,Murray
,Jacob,Myra
,James,Myrna
,Jared,Nancy
,Jason,Naomi
,Jay,Natalie
,Jeff,Natividad
,Jeffrey,Nelly
,Jeremy,Nicola
,Jerome,Nicole
,Jerry,Nina
,Jesse,Nora
,Jim,Norma
,Jo,Novia
,John,Nydia
,Jonas,Octavia
,Jonathan,Odelette
,Joseph,Odelia
,Joshua,Olga
,Joyce,Olive
,Julian,Olivia
,Julius,Ophelia
,Justin,Pag
,Keith,Page
,Kelly,Pamela
,Ken,Pandora
,Kennedy,Patricia
,Kenneth,Paula
,Kent,Pearl
,Kerr,Penelope
