等级ID,模型,需要经验,最大存档数,好友数,解锁存档外观ID,解锁房间外观ID,解锁头像边框ID,升级奖励物品ID1,升级奖励物品数量1,升级奖励物品ID2,升级奖励物品数量2,升级奖励物品ID3,升级奖励物品数量3,升级奖励物品ID4,升级奖励物品数量4,升级奖励物品ID5,升级奖励物品数量5
ID,ModelID,Exp,ArchiveNum,BuddyNum,,,,RewardID1,RewardNum1,RewardID2,RewardNum2,RewardID3,RewardNum3,RewardID4,RewardNum4,RewardID5,RewardNum5
1,150001,0,4,30,,,,,,,,,,,,,
2,150001,50,6,40,,,,10000,70,,,,,,,,
3,150001,150,8,50,,,,10000,100,,,,,,,,
4,150001,450,10,60,,,,10000,140,,,,,,,,
5,150002,1000,12,70,,,,10000,180,,,,,,,,
6,150002,2400,,,,,,10000,260,,,,,,,,
7,150002,4500,,,,,,10000,350,,,,,,,,
8,150002,7300,,,,,,10000,460,,,,,,,,
9,150002,10800,,,,,,10000,570,,,,,,,,
10,150003,15000,,,,,,10000,690,,,,,,,,
11,150003,28500,,,,,,10000,900,,,,,,,,
12,150003,48750,,,,,,10000,1100,,,,,,,,
13,150003,75750,,,,,,10000,1400,,,,,,,,
14,150003,109500,,,,,,10000,1700,,,,,,,,
15,150004,150000,,,,,,10000,2000,,,,,,,,
16,150004,210000,,,,,,10000,2400,,,,,,,,
17,150004,300000,,,,,,10000,2800,,,,,,,,
18,150004,420000,,,,,,10000,3200,,,,,,,,
19,150004,570000,,,,,,10000,3600,,,,,,,,
20,150005,750000,,,,,,10000,4000,,,,,,,,
21,150005,1050000,,,,,,10000,4500,,,,,,,,
22,150005,1500000,,,,,,10000,5000,,,,,,,,
23,150005,2100000,,,,,,10000,5500,,,,,,,,
24,150005,2850000,,,,,,10000,6000,,,,,,,,
25,150005,3750000,,,,,,10000,6500,,,,,,,,
